pathway	pval	padj	log2err	ES	NES	size	leadingEdge
ADIPOGENESIS	1.2643879637268404e-10	2.1073132728780675e-9	0.826657301178302	-0.4692544909868022	-2.1797034899475003	190	Dhrs7, Sqor, Rab34, Sult1a1, Rmdn3, Hspb8, Pparg, Slc25a10, Mrap, Cdkn2c, Acadl, Slc5a6, Mgst3, Grpel1, Cd36, Pgm1, Por, Gpx4, Vegfb, Reep6, Gpat4, Gbe1, Phldb1, Atl2, Decr1, Aco2, Coq9, Pfkfb3, Coq5, Hibch
CHOLESTEROL_HOMEOSTASIS	0.00830247223346207	0.03193258551331566	0.3807304007227924	-0.3865618879048277	-1.561495105101508	70	Antxr2, Pparg, Trib3, Errfi1, Aldoc, Fabp5, Tmem97, Atf5, Gusb, Fdft1, Ldlr, Stard4, Fads2, Acat2, Actg1, Tm7sf2, Fasn, Stx5a, Plscr1, Mvk, Nsdhl, Lss, Pdk3, Cyp51, Idi1, Lgals3, Jag1, Mvd, Anxa5, Ech1
EPITHELIAL_MESENCHYMAL_TRANSITION	2.7244380548408004e-5	1.7027737842755002e-4	0.5756102610711286	0.4350635307174963	1.8678303371084963	152	Igfbp2, Col5a2, P3h1, Fermt2, Serpine2, Lama3, Wnt5a, Inhba, Itga5, Msx1, Prrx1, Lamc1, Itgb1, Lama1, Pdgfrb, Mcm7, Cald1, Col5a3, Bmp1, Dcn, Ecm1, Sntb1, Sparc, Cxcl12, Serpinh1, Ccn1, Bgn, Abi3bp, Tpm4, Col16a1
FATTY_ACID_METABOLISM	2.250926879020335e-15	5.627317197550838e-14	1.0073179568744748	-0.5761630051045954	-2.587721203480425	140	Fmo1, Vnn1, Fabp2, Cbr1, Acsm3, Pdha1, Acadl, Inmt, Dhcr24, Gpd1, Cryz, Suclg2, Cd36, Glul, Reep6, Prdx6, Cpt1a, Hsd17b11, Psme1, Mif, Decr1, Aco2, Acaa1a, Rdh1, Hibch, Mgll, Echs1, Eci1, Hmgcl, Fh1
GLYCOLYSIS	0.0012276108243263544	0.006138054121631772	0.45505986738722953	-0.3406770960765	-1.559113238232652	166	Galk1, Slc37a4, Gal3st1, Slc25a10, Glrx, Got1, Pcx, Aldob, Vldlr, Ang, Gne, Pmm2, Gnpda1, Mif, Got2, B4galt1, Met, Ero1a, Tpi1, Gusb, G6pdx, Gys2, Ldha, Sod1, Mdh2, Idua, P4ha2, Pfkfb1, Copb2, Gale
INTERFERON_ALPHA_RESPONSE	1.397346571866576e-8	1.397346571866576e-7	0.7477396631498854	-0.5407515751349884	-2.253441812985473	91	Usp18, Psmb9, Irf1, Ifit3, Samd9l, Ifi44, Isg15, Gbp3, Irf7, Mx2, Parp9, Psme1, Parp12, Nmi, Il15, Nub1, Lgals3bp, Irf9, Cmpk2, Oas1a, Psmb8, Ripk2, Ddx60, Rtp4, Psme2, Cd47, Epsti1, Uba7, Tent5a, Psma3
INTERFERON_GAMMA_RESPONSE	3.0657531976265656e-9	3.832191497033207e-8	0.7749390301364363	-0.45729321208799456	-2.093276709380426	171	Socs3, Znfx1, Usp18, Psmb9, St3gal5, Irf1, Ifit3, Samd9l, Ifi44, Nlrc5, Rigi, Isg15, Gbp3, Ifnar2, Irf7, Mx2, Psme1, Parp12, Nmi, Il15, Lgals3bp, Irf9, Cmpk2, Stat3, Myd88, Rnf213, Zbp1, Psmb8, Ptpn1, Ripk2
MITOTIC_SPINDLE	0.0017098384235548368	0.007771992834340168	0.45505986738722953	0.35676120108348236	1.5718636364804524	186	Pkd2, Als2, Akap13, Klc1, Sorbs2, Prex1, Epb41l2, Sun2, Rab3gap1, Myo1e, Kptn, Itsn1, Ssh2, Cdc42bpa, Tubd1, Rock1, Myh10, Smc3, Gsn, Plekhg2, Smc4, Shroom2, Rapgef6, Arhgef11, Wasf2, Tiam1, Smc1a, Wasf1, Rfc1, Rasa2
MTORC1_SIGNALING	6.29354035223887e-7	5.244616960199059e-6	0.6594443980379349	-0.410408555656955	-1.9112800872684903	187	Slc37a4, Trib3, Glrx, Dhcr24, Got1, Pgm1, Bhlhe40, Vldlr, Tomm40, Gpi1, Gbe1, Ctsc, Hspd1, Ppa1, Psmc6, Ero1a, Psmd14, Tmem97, Sord, Tpi1, Ccnf, G6pdx, Nfkbib, Skap2, Ldha, Pdk1, Shmt2, Ldlr, Stard4, Xbp1
OXIDATIVE_PHOSPHORYLATION	4.9691747501736517e-17	2.4845873750868257e-15	1.0672099868281106	-0.5523956282874685	-2.5518841695729204	182	Pdha1, Mgst3, Grpel1, Mfn2, Por, Gpx4, Glud1, Cpt1a, Gpi1, Vdac1, Vdac2, Slc25a5, Got2, Alas1, Decr1, Aco2, Acaa1a, Cox7b, Mpc1, Atp6v0e, Echs1, Eci1, Fh1, Dlat, Sdhd, Ndufv2, Tcirg1, Surf1, Cox7a2l, Suclg1
REACTIVE_OXYGEN_SPECIES_PATHWAY	0.005520523831080723	0.02300218262950301	0.40701791892395395	-0.45122574564089724	-1.6340582258378566	46	Glrx, Ftl1, Gpx4, Prdx6, Prdx2, Mgst1, Egln2, G6pdx, Sod1, Ndufs2, Hmox2, Prnp
WNT_BETA_CATENIN_SIGNALING	8.821822933237228e-4	0.004901012740687349	0.47727081536286214	0.5676186921335766	1.874305783287959	36	Notch1, Ctnnb1, Dkk4, Myc, Ppard, Adam17, Hdac5, Nkd1, Tcf7, Frat1, Hdac2, Numb, Maml1, Ccnd2, Ncor2, Wnt5b, Kat2a, Psen2, Axin1, Fzd8
XENOBIOTIC_METABOLISM	8.607176099683478e-6	6.147982928345342e-5	0.5933254763964051	-0.3836679397733077	-1.7692693635524486	180	Fmo1, Vnn1, Dhrs7, Gstt2, Cbr1, Serpina6, Cd36, Pcx, Por, Acp2, Comt, Alas1, Aco2, Hes6, Tmem97, Pts, Car2, Cyp2e1, Ptges, Slc22a1, Abcc2, Upb1, Asl, Shmt2, Igfbp4, Gstm4, Itih4, Acox1, Slc6a12, Tkfc
