pathway	pval	padj	log2err	ES	NES	size	leadingEdge
BMI1_TARGET_GENES	0.0025617442357851895	0.03527926041295735	0.4317076958033464	0.2630241630937307	1.3295018149089795	853	Lncpint, Slc30a3, Ankrd33b, P3h1, Tex12, D630045J12Rik, Ptpru, Akap13, Ssr2, Gm26684, Rfx4, Wnt5a, Pcdhgc3, Sfmbt2, Mpzl1, Npas2, Tox2, Pde7b, Mkx, Angptl4, Msx1, Abhd13, Nasp, Nebl, Tcf4, Lpl, Tbcel, Gask1a, Pam, C9, Pole2, Itgb1, Rnf144b, Mreg, Sox9, Usp28, Zeb2, Prex1, Epb41l2, Phospho1, Rspo3, Nrxn1, Cald1, Myc, Zfp91, Lmo2, Tcf21, Hes1, Cd151, Nup160, Tnrc18, Nrip1, Smad9, Nfia, Zcwpw1, Zmym4, Ednrb, Avpr1a, Cdc42bpa, Pdpk1, Ncoa1, Esam, Slc39a8, Ncam2, Ocln, Pde4dip, A630072M18Rik, Msrb3, Prob1, Galnt10, Igf1, Ccn1, Cyp4f14, Lclat1, Prex2, Mast4, Dclk2, Ccnh, Rbpms, Sec61a2, Foxp1, Irag1, Col4a1, Cic, Mapk4, Trim28, Phc1, Cry1, Mllt10, Lcp1, Rnd3, Rnf125, Abcc9, Bag2, Dock8, Dleu2, Nr3c1, Nkd1, Scmh1, Trmt9b, Pcdh1, Tbc1d8b, Thra, Ammecr1, Nrg1, Tsr1, Chd4, Robo4, Fam171b, Nrn1, Fbln5, Morf4l1, Foxf1, Hmgxb3, Evi5, Dpf3, Enpp1, Plk5, Pdgfra, Fbxo44, Adgra2, Map3k20, Sptbn1, Ripk4, Adamts2, Htra3, Pphln1, Slc11a2, Cped1, Dll4, E030030I06Rik, Gm6277, Npr2, Art3, Loxl1, Kctd1, Car3, Chsy1, Tcf7, Hs3st3b1, Rcbtb2, Fgfr2, Tshz1, Mef2c, Tgif1, Elk3, Uba2, Hyls1, Ppp6r3, Med14, Satb2, Flt4, Gcn1, Smug1, B3galnt1, Gata6os, Tmem47, Pkp4, Pnkp, Frat1, Inpp1, Pi4k2b, Lhx2, Bdp1, Gata4, Atrx, Pigb, Dhrs3, Pde1a, Mitf, Mast1, Sarm1, Ddr2, Slc17a2, Aaas
HNF4G_TARGET_GENES	9.585674404347098e-5	0.0031068961487386725	0.5384340963099162	-0.23669155310870854	-1.3122421402120878	1212	Apoc2, Rdh9, Ptpmt1, Sqor, Rmdn3, Arsa, Gal3st1, Sec22c, Cyp3a13, Fam169b, Slc5a6, Rogdi, Bnip3, Irf1, Chchd7, Fam47e, Wee1, Dop1b, Zfp872, Acot4, Slc23a2, Naprt, Tmem51, 4933434E20Rik, Ap3m1, Pgm1, Gde1, Ggt6, Pafah1b3, 2010003K11Rik, Wipf3, Resf1, Cry2, Ctso, Zyx, Sec16a, Uap1l1, Gramd1c, Ank3, Pck1, Gne, Azin1, Tmem184a, Tm6sf2, Gnpda1, Nmi, Ifit3b, As3mt, Slc25a5, Adprm, Alas1, Decr1, Sra1, Pbld2, Lgals3bp, Irf9, Tpd52, Mapkapk2, Eny2, Flot1, Hes6, Bmp2k, Slc36a1, Mpdu1, Rsrp1, Tpi1, Pts, Dlat, Ccnk, Macir, Gm14097, Dtx3l, Ngef, Crat, Plscr2, Ppme1, Golgb1, Kalrn, Stxbp2, Btf3, Tmcc3, Selenop, Vps26a, Anks4b, Adap1, Mrpl30, Nup54, Gtf3a, 4933404O12Rik, Idua, Cd302, Arhgef16, Cox19, Asah1, Pus10, Usp5, Gstm4, Dab2ip, Gnai2, Arhgap27, Cers6, Parp11, 5031439G07Rik, Tkfc, Gltpd2, Gcfc2, Gimd1, Rgs3, Prr3, Rmnd1, Arf4, Mpzl2, Cisd3, Nr1h3, Txn2, Lrp4, Slc12a7, Lypla1, Hpgd, Pstpip2, Acbd4, H2-Q4, Acat2, Mrpl35, Serpine1, Entpd5, Slc2a5, Mtfr1l, Slc25a3, Dcxr, Neurl2, Neurl4, Psmd3, 2200002D01Rik, Cblc, Tmem120a, Pmf1, Ppp5c, Chp1, Jade1, Sdc1, Ndufaf4, Brpf3, Litaf, Baat, Srsf2, Ambra1, Ccnl1, Arrdc4, Abhd14b, Mrps18b, Cd47, Ccnyl1, Ran, Tpt1, Trp53rkb, Tnfrsf1a, Rab17, Cep170b, Stub1, Rbks, Cep89, Dnajc25, Preb, Gdi2, Asah2, Usp3, Taco1, Nr1d2, Eef1b2, Timm13, Slc7a7, Elovl6, Eif3f, Pold3, 1700018L02Rik, Gnl1, Rpl22, Zfp956, Ecd, Wdcp, Socs2, Ces2a, Mettl17, Ppp1r16a, Bri3, Ankrd54, Nudt19, Rab20, Tob2, Fuom, Igtp, Sardh, Cdc27, Gadd45a, Cacul1, D630024D03Rik, Foxk2, Emp1, Pklr, Mkln1os, Rusf1, Tmem147, Orc3, Arpin, Top2b, Ap5s1, Cul4a, Rnd2, Carm1, Ucp2, Ifih1, Plekhg6, Stx16, Rapgef1, Fbxw5, Rxra, Ndufs6, Mov10, Oma1, Tsg101, Wfs1, Zfp1, D2hgdh, Lpin3, Slc41a2, Tmem143, Ube2i, Gpt, Ebpl, Mkrn1, Stxbp6, Nudt12, Mrpl13, Taok3, Cldn2, Slc47a1, Rars2, Rrp36, Ltbr, H2-Q1, Ccdc57, Cox16, Carhsp1, Ubash3b, Ggcx, Zbtb11os1, 1810019D21Rik, Ugdh, Ak2, C1rl, Psma2, Pafah2, Maip1, Sucla2, Patj, Ino80, Il13ra1, Prpf40a, Tulp4, Cyp27a1, Borcs6, Gpr35, Pex11b, Slfn2, Gcc2, Gucd1, Pabpn1, Mafg, Lman1, Glyctk, Lamtor2, Med6, Slc5a1, Seh1l, Furin, Cenpv, Ciapin1, Edf1, Ptpn3, Sgk3, Fam53b, Ogfod3, Tyw5, Apob, Tap1, Cit, Sgms1, Herpud1, Rad54b, Abhd2, Ift20, Acadm, Crip1, 9330175E14Rik, Klhdc8b, Ino80c, Golt1a, Gm15417, Ctsa, Cox7a1, Icmt, Arhgef18, Fdxr, Selenbp1, Gchfr, Gng5, Kif11, Epn1, Cdc26, Bud13, Dock7, Cers2, Mrpl34, Eif2ak2, Strap, Abr, Mttp, Nkap, Xdh
LET_7A_1_3P_LET_7C_2_3P	2.6729073360118235e-6	2.0254697812889595e-4	0.6272567397185284	0.3442398757485945	1.6548345514616858	455	Tet3, Grk5, Wnt5a, Id1, Mycl, Rsf1, Rab3gap2, Hivep2, Nasp, Dgkd, Emp2, Hbp1, Igf1r, Efna5, Sox9, Lrp6, Zfp101, Rab11fip3, Kdm7a, Hes1, Ubxn7, Herc1, Tbc1d4, Unc119b, Mbnl2, Hectd1, Eif4g3, Pde10a, Ercc5, Mast4, Larp4b, Foxp1, Cnot6l, Col4a1, Atad5, Cry1, Selenok, Mllt10, Hhip, Tcf20, Lrrc1, Atf2, Ctu2, Smo, Nr3c1, Paxbp1, Erf, Abcd3, Golga7, Tusc3, Thbs2, Rerg, Map2, S100pbp, Klhl24, Smarca5, Mospd2, Wdhd1, Cpeb2, Lin9, Ubr1, Usp31, Tasor, Dll4, Mon2, Qki, Mex3b, Cnot6, Ptpre, Fnip1, Dock1, Eea1, Nfat5, Ptbp3, Tnfrsf11b, Cbx5, Rictor, Fgfr2, Nfatc3, Myct1, Dek, Itga6, Zbtb41, Med14, Zfp518a, Rab11fip2, Cep72, Rabggtb, Bdp1, Dennd4a, Mitf, Acvr2b, Col1a2, Hacd2, Prr12, Rev3l, Cnksr3, Mdm1, Fli1, Pum2, Mcu, Rfx7, Taok1, Ppp1r21, Ino80d, Arid4b, Snrpb2, Fmnl3, Fbxo38, Adamts5, Ncoa2, Mapk1, Sde2, Spin1, Usp32, Sp4, Bltp1, Ncapg2, Ubn1, Zbtb49, Tmem39a, Laptm4a, Tec, Wdr35, Man1a2, Cnnm4, Spry2, Klhl7, Psip1, Nxt2, Rab10, Nup35, Pum1, Olfm3, Slc8a1, Thrb, Tjp1, Gria3, Dcaf1, Erbin, Frs2, Bnip2, Dcun1d4, Ccrl2, Gramd4, Efcab2, Dmxl2, Sephs1, Fam76b, Tns3, Cand1, Spred1, Spry1, Csnk1g3, Golga2
LET_7B_3P	6.348870743873409e-6	3.820526335872058e-4	0.610526878385931	0.33791662269586664	1.6227952598672402	453	Tet3, Grk5, Wnt5a, Id1, Mycl, Rsf1, Rab3gap2, Hivep2, Nasp, Dgkd, Emp2, Hbp1, Igf1r, Efna5, Sox9, Lrp6, Rab11fip3, Kdm7a, Hes1, Ubxn7, Herc1, Tbc1d4, Unc119b, Mbnl2, Hectd1, Eif4g3, Pde10a, Ercc5, Mast4, Larp4b, Foxp1, Cnot6l, Col4a1, Atad5, Cry1, Selenok, Mllt10, Hhip, Tcf20, Lrrc1, Atf2, Smo, Nr3c1, Paxbp1, Erf, Abcd3, Golga7, Tusc3, Thbs2, Rerg, Map2, S100pbp, Klhl24, Smarca5, Mospd2, Wdhd1, Cpeb2, Lin9, Ubr1, Usp31, Tasor, Dll4, Qki, Mex3b, Cnot6, Ptpre, Fnip1, Dock1, Eea1, Nfat5, Ptbp3, Tnfrsf11b, Cbx5, Rictor, Fgfr2, Nfatc3, Myct1, Dek, Itga6, Zbtb41, Med14, Zfp518a, Rab11fip2, Cep72, Rabggtb, Bdp1, Dennd4a, Mitf, Acvr2b, Col1a2, Hacd2, Prr12, Rev3l, Cnksr3, Mdm1, Fli1, Pum2, Mcu, Rfx7, Taok1, Ppp1r21, Ino80d, Arid4b, Snrpb2, Fmnl3, Fbxo38, Adamts5, Ncoa2, Mapk1, Sde2, Spin1, Usp32, Sp4, Bltp1, Ncapg2, Ubn1, Zbtb49, Tmem39a, Laptm4a, Tec, Wdr35, Man1a2, Cnnm4, Spry2, Klhl7, Psip1, Nxt2, Rab10, Nup35, Pum1, Olfm3, Slc8a1, Thrb, Tjp1, Gria3, Dcaf1, Erbin, Frs2, Bnip2, Dcun1d4, Ccrl2, Gramd4, Efcab2, Dmxl2, Sephs1, Fam76b, Tns3, Cand1, Spred1, Spry1, Csnk1g3, Golga2
LET_7C_1_3P	9.23652991223152e-6	4.97314215800676e-4	0.5933254763964051	0.35978327371306873	1.6788442343109278	340	Grid1, Sertad4, Fermt2, Garre1, Fbxl16, Mbtd1, Npas2, Hivep2, Nedd4l, Ypel2, Sox9, Stk39, Ahctf1, Sorbs2, Zeb2, Lrp6, Rspo3, Rab11fip3, Leo1, Ctdspl2, Mrtfb, Calm2, Herc1, Fam43a, Rreb1, Lmtk2, Wdfy3, Mbnl2, Dpp4, Rnft1, Samd4, Fbxl3, Elmod2, Scrib, Smg1, Snx25, Mllt10, Setd1a, Irf6, Kat6a, Zbtb33, Gtpbp2, Slc33a1, Jmjd1c, Socs4, Fbln5, Morf4l1, E2f8, Foxf1, Evi5, Gclc, Sec24d, Fmn1, Mospd2, Map3k2, Nipbl, Qki, Apc, Slc30a7, Tnfrsf11b, Usp38, Rictor, Mef2c, Lig3, Ppp6r3, Sumo2, Adnp, Dennd4c, Phf2, Zfp148, G3bp1, Otud4, Slc6a6, Stat5a, Ndn, Prr12, Strbp, Rev3l, Ppat, Pum2, Nelfa, Taok1, Trim2, Tlk1, Scamp5, Cops7b, Dmd, Setbp1, Mex3d, Arid4b, Snrpb2, Rnf216, Fmnl3, Nek7, Kmt5b, Adam19, Wnt5b, Rab40c, Pot1a, St8sia4, Gtf2ird1, 9930021J03Rik, Sf3b3, Adamtsl1, Nsd3, Acer3, Trio, Axin1, Dock4, Spry2, Rab10, Gpm6a, Pum1, Rarb, Gphn, Zbtb43, Pald1, Gna13, Gria3
LET_7F_1_3P	4.999298215484237e-6	3.210869858937006e-4	0.610526878385931	0.3424541039447362	1.6442149985807943	454	Tet3, Grk5, Wnt5a, Id1, Mycl, Rsf1, Rab3gap2, Hivep2, Nasp, Dgkd, Emp2, Hbp1, Igf1r, Efna5, Sox9, Lrp6, Rab11fip3, Kdm7a, Hes1, Ubxn7, Herc1, Tbc1d4, Unc119b, Mbnl2, Hectd1, Eif4g3, Pde10a, Ercc5, Mast4, Larp4b, Foxp1, Cnot6l, Col4a1, Atad5, Cry1, Selenok, Mllt10, Hhip, Tcf20, Lrrc1, Atf2, Smo, Nr3c1, Paxbp1, Erf, Abcd3, Golga7, Tusc3, Thbs2, Rerg, Map2, S100pbp, Klhl24, Smarca5, Mospd2, Wdhd1, Cpeb2, Lin9, Ubr1, Usp31, Tasor, Dll4, Mon2, Qki, Mex3b, Cnot6, Ptpre, Fnip1, Dock1, Eea1, Nfat5, Ptbp3, Tnfrsf11b, Cbx5, Rictor, Fgfr2, Nfatc3, Myct1, Dek, Itga6, Zbtb41, Med14, Zfp518a, Rab11fip2, Cep72, Rabggtb, Bdp1, Dennd4a, Mitf, Acvr2b, Col1a2, Hacd2, Prr12, Rev3l, Cnksr3, Mdm1, Fli1, Pum2, Mcu, Rfx7, Taok1, Ppp1r21, Ino80d, Ube2h, Arid4b, Snrpb2, Fmnl3, Fbxo38, Adamts5, Ncoa2, Mapk1, Sde2, Spin1, Usp32, Sp4, Bltp1, Ncapg2, Ubn1, Zbtb49, Tmem39a, Laptm4a, Tec, Wdr35, Man1a2, Cnnm4, Spry2, Klhl7, Psip1, Nxt2, Rab10, Nup35, Pum1, Olfm3, Slc8a1, Thrb, Tjp1, Gria3, Dcaf1, Erbin, Frs2, Bnip2, Dcun1d4, Ccrl2, Gramd4, Efcab2, Dmxl2, Sephs1, Fam76b, Tns3, Cfl2, Cand1, Spred1, Spry1, Csnk1g3, Golga2
LET_7F_2_3P	1.3058571511135674e-5	6.487880270828823e-4	0.5933254763964051	0.384949234347284	1.7432405917881137	251	Fermt2, Asap2, Sec11c, Nasp, Irx1, Dgkd, Xiap, Sash1, Sox9, Lrp6, Zbtb5, Slc4a7, Rab11fip3, Herc1, Klhl28, Mosmo, Nrip1, Osbpl3, Plxnc1, Mbnl2, Zswim6, Samd4, Rbpms, Ppt1, Rgs4, Tgfbr3, Mllt10, Hhip, Timp3, Mapk8, Smo, Erf, Letm2, Mms22l, Foxf1, Map2, Zfx, Cyp1a1, Atp8b2, Ubr1, Diaph2, Mon2, Fnip1, Eea1, Art3, Tnfrsf11b, 4930579G24Rik, Rictor, Strn4, Rftn2, Rab11fip2, Epn2, Lhx2, Bdp1, Cbx3, Atrx, Prickle1, Yme1l1, Ppp2cb, Prr12, Rev3l, Fli1, Pum2, Mcu, Irf2bp2, Dennd6a, Ino80d, Ercc3, Kmt2d, Zc2hc1a, Arid4b, Phf12, Fgd4, Sun1, Mapk1, Spin1, Usp32, Bltp1, Cflar, Spag9, Trio, Nxt2, Rab10, Rarb, Slc8a1, Gria3, Erbin, Oga, Dcun1d4, Set, Epb41l5
LET_7G_3P	3.8799874474665277e-4	0.00948325943485488	0.49849310876659025	0.3308678430493508	1.5299493643464617	306	App, Fermt2, Mbtd1, Npas2, Kdm5b, Hivep2, Ccng2, Med13, Sox9, Fat1, Sorbs2, Zeb2, Prex1, Lrp6, Cyria, Fmnl2, Leo1, Tab2, Lrch3, Casd1, Cdc42bpa, Pdpk1, Stk24, Ncoa1, Lmtk2, Dlc1, Wdfy1, Wdfy3, Lrp5, Tm2d3, Nr2c2, Snx25, Hic2, Rora, Synj2bp, Arnt, Tbx20, Gtpbp2, Unk, Rapgef6, Nedd1, Zfx, Pdgfc, Pde9a, Apc, Fnip1, Dock1, Rbms3, Hs3st3b1, Tshz1, Kat8, Taf6, Adnp, Fbxo11, Smarce1, Tmem47, Zfp148, Cemip2, Pkp4, Ptk2b, Ap2b1, Dennd4a, Tubb4b, Abca6, Pum2, Rfx7, Nelfa, Taok1, Trim2, Ptprj, Tlk1, Ppp1r16b, Cops7b, Mtmr3, Herc4, Grb7, Wdr47, Ptk2, Arid4b, Ckap5, Zfp362, Rab40c, Usp21, Sdad1, Arhgef7, Arhgef17, Adamtsl1, Trio, Septin2, Ggnbp2, Rasal2, Spry2, Sh2d3c, Zyg11b, Nol4l, Btg1, Pum1, Wdr90, Gphn, Pald1, Atp2a2, Tm9sf3, Erbin, Rab5a, Lsm8
MIR_101A_3P	2.620610385067904e-5	0.0010311093938171023	0.5756102610711286	0.3606445825204492	1.6461382733444876	278	Or2ag2b, App, Zc3h4, Zbtb34, Purg, Klf12, Atg101, Plxna2, Msx1, Dnmt3a, Emp2, Sult1d1, Nsd1, Adgrf5, Kdm7a, Mrtfb, Tnrc18, Plcb1, Trappc8, Smarcd1, Asap1, Zswim6, Fam222a, Jmy, Gab1, Bche, Tfpi2, Tgfbr3, Pds5b, Kat6a, Dipk2a, Abhd18, Npnt, Stam2, Aebp2, Mms22l, Fbxw7, Pnrc1, Lrp2, Lzic, Gclc, Pip5k1c, Cpeb2, Fgd6, Htra3, Dlg5, Tnrc6b, Qki, Rbm33, Smap1, Kif5b, Nid2, Kbtbd8, Zbtb41, Ehmt1, Nipa2, Zdhhc21, Dstyk, Sh3pxd2a, Epn2, Slc12a2, Otud4, Atrx, Nacc2, Rap2b, Acvr2b, Rev3l, Bicd2, Pbx3, Ptprj, Ino80d, Kif2a, Pals1, Cdc14a, Nek7, Tbpl1, Atxn1l, Map3k4, Il1rap, Selenoi, Phf3, Rock2, Trio, Nfe2l2, Dip2b, Ro60, Prkd3, Rarb, Purb, Slc8a1, Tm9sf3, Erbin, Rab5a, Rac1, Afap1, Arid1a, Ttbk2, Dmxl2, Fam76b, B3galt1, Spred1, Chek1, Dag1, Tubgcp4, Ap1g1, Ppp4r3b, Stag2, Papolg, Stard13, Phf20l1, Zfand3, Gja1, Piezo1, Cdyl
MIR_101B_3P	9.497135545554396e-5	0.0031068961487386725	0.5384340963099162	0.3669413984396933	1.65274220963704	246	App, Med12l, Zbtb34, Ppp1r13b, Klf12, Mycl, Emp2, Nsd1, Map3k13, Atad2b, Id4, Itgb1, Abtb2, Med13, Myo1e, Ctdspl, Zfp367, Creb1, St6galnac3, Fam168a, Trappc8, Lmtk2, Plxnc1, Clpx, Pura, Tmtc3, Ube3a, Lrat, Kat6a, Paxbp1, Dipk2a, Camsap2, Ammecr1, Usf3, E2f8, Pnrc1, Nfxl1, Gclc, Scamp1, Cpeb2, Fgd6, Htra3, Tnrc6b, Qki, Smap1, Eea1, Acsl4, Nid2, Zbtb41, Elk3, Ehmt1, Med14, Zdhhc21, Epn2, Otud4, Nacc2, Man1c1, Mitf, Acvr2b, Bicd2, Pbx3, Sumo3, Setd5, Baz2b, Trim2, Ino80d, Dmd, Kif2a, Fbn1, Cdc14a, Arid4b, Nek7, Map3k4, Sp4, Selenoi, Phf3, Hnf1b, Rock2, Trio, Nfe2l2, Dip2b, Sh2d3c, Ro60, Efnb2, Atp2b1, Rarb, Purb, Erbin, Rab5a, Afap1, Arid1a
