Database	pathway	pval	padj	foldEnrichment	overlap	size	overlapGenes
ORA_H	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.002295178112907804	0.1147589056453902	5.421686746987952	5	152	Col5a2, Fermt2, Itgb1, Lamc1, P3h1
ORA_H	HALLMARK_ANGIOGENESIS	0.010755110603738436	0.2688777650934609	12.67840593141798	2	26	Col5a2, Lpl
ORA_H	HALLMARK_UV_RESPONSE_UP	0.04532784596231605	0.564122266072313	3.7744872620251995	3	131	Bak1, Klhdc3, Ptprd
ORA_H	HALLMARK_ESTROGEN_RESPONSE_LATE	0.05241101122201571	0.564122266072313	3.5572505850741094	3	139	Emp2, Slc16a1, Unc13b
ORA_H	HALLMARK_APICAL_JUNCTION	0.05805412639817581	0.564122266072313	3.4100540091400084	3	145	Itgb1, Mpzl1, Slc30a3
ORA_H	HALLMARK_HYPOXIA	0.07443255950000265	0.564122266072313	3.071166654194417	3	161	Angptl4, Cdkn1a, Ndst1
ORA_H	HALLMARK_GLYCOLYSIS	0.08105139582525363	0.564122266072313	2.9608253372772526	3	167	Abcb6, Angptl4, Nasp
ORA_H	HALLMARK_E2F_TARGETS	0.09025956257157007	0.564122266072313	2.825473321858864	3	175	Cdkn1a, Nasp, Pan2
ORA_H	HALLMARK_APICAL_SURFACE	0.17210214418614755	0.7864482593319368	5.316750874465605	1	31	Efna5
ORA_H	HALLMARK_MYOGENESIS	0.17350403289345342	0.7864482593319368	2.6583754372328023	2	124	Cdkn1a, Itgb1
ORA_H	HALLMARK_NOTCH_SIGNALING	0.1771366171902179	0.7864482593319368	5.150602409638554	1	32	Dtx4
ORA_H	HALLMARK_UV_RESPONSE_DN	0.18874758223966484	0.7864482593319368	2.516324841350133	2	131	Col5a2, Lamc1
ORA_H	HALLMARK_KRAS_SIGNALING_UP	0.22643349535396295	0.8708980590537037	2.2272875284923477	2	148	Angptl4, Ccser2
ORA_H	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.25787296573908786	0.8971128650035787	2.034805890227577	2	162	Cdkn1a, Tubb2a
ORA_H	HALLMARK_G2M_CHECKPOINT	0.2691338595010736	0.8971128650035787	1.9738835581848353	2	167	Efna5, Nasp
ORA_H	HALLMARK_P53_PATHWAY	0.28714648247690466	0.8973327577403271	1.883648881239243	2	175	Bak1, Cdkn1a
ORA_H	HALLMARK_ADIPOGENESIS	0.3207815645133426	0.9147113111283257	1.7349397590361448	2	190	Angptl4, Lpl
ORA_H	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.34358748885213675	0.9147113111283257	2.388685175484547	1	69	Bak1
ORA_H	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.34759029822876375	0.9147113111283257	2.3545611015490535	1	70	Lpl
ORA_H	HALLMARK_KRAS_SIGNALING_DN	0.36724545053168	0.9181136263292	2.1975903614457835	1	75	Slc30a3
ORA_H	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.4436037648589377	1	1.716867469879518	1	96	Cdkn1a
ORA_H	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.470233133835676	1	1.5848007414272476	1	104	Tubb2a
ORA_H	HALLMARK_INFLAMMATORY_RESPONSE	0.5726814999717729	1	1.1857501950247031	1	139	Cdkn1a
ORA_H	HALLMARK_FATTY_ACID_METABOLISM	0.5753007626187222	1	1.1772805507745268	1	140	Erp29
ORA_H	HALLMARK_APOPTOSIS	0.5804917950288658	1	1.1606991345664348	1	142	Cdkn1a
ORA_H	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.6127383291955499	1	1.063350174893121	1	155	Slc16a1
ORA_H	HALLMARK_HEME_METABOLISM	0.6336156373434234	1	1.004995592124596	1	164	Abcb6
ORA_H	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.649081244467568	1	0.963855421686747	1	171	Cdkn1a
ORA_H	HALLMARK_MITOTIC_SPINDLE	0.6800830026356206	1	0.8861251457442674	1	186	Akap13
ORA_H	HALLMARK_MTORC1_SIGNALING	0.6820507742957099	1	0.8813865086012499	1	187	Cdkn1a
ORA_H	HALLMARK_ALLOGRAFT_REJECTION	1	1	0	0	137	
ORA_H	HALLMARK_ANDROGEN_RESPONSE	1	1	0	0	89	
ORA_H	HALLMARK_BILE_ACID_METABOLISM	1	1	0	0	105	
ORA_H	HALLMARK_COAGULATION	1	1	0	0	114	
ORA_H	HALLMARK_COMPLEMENT	1	1	0	0	157	
ORA_H	HALLMARK_DNA_REPAIR	1	1	0	0	144	
ORA_H	HALLMARK_HEDGEHOG_SIGNALING	1	1	0	0	26	
ORA_H	HALLMARK_IL2_STAT5_SIGNALING	1	1	0	0	166	
ORA_H	HALLMARK_INTERFERON_ALPHA_RESPONSE	1	1	0	0	91	
ORA_H	HALLMARK_MYC_TARGETS_V1	1	1	0	0	188	
ORA_H	HALLMARK_MYC_TARGETS_V2	1	1	0	0	56	
ORA_H	HALLMARK_OXIDATIVE_PHOSPHORYLATION	1	1	0	0	182	
