UniqueCount	AmbigCount
0	0
0	0
0	2
1	1
1	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
75	25
0	24
15	18
0	0
0	0
7	179
0	120
7	146
0	90
12	25
0	4
2	39
0	59
3	0
0	0
5	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	201
0	255
38	596
1	104
0	417
11	33
0	182
0	42
6	0
2	0
0	241
260	401
0	241
0	93
0	56
2	251
0	192
26	61
2	200
17	420
0	396
0	94
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	195
0	284
2	34
4	192
0	21
0	7
19	249
1	54
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
39	4
0	4
0	0
1	24
0	57
14	1176
1	21
0	7
0	498
0	1045
0	149
0	427
7	7
1	112
2	6
2	33
2	192
23	23
0	244
0	0
0	13
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	86
0	0
0	0
0	0
0	0
1	1
219	991
3	137
0	0
0	720
0	219
4	70
5	942
3	907
0	0
22	1
0	165
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	4
0	3
0	1
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	15
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
240	1
48	1357
4	1282
1	84
1	185
4	1156
0	2
0	1
6	0
0	2
0	2
0	789
1	0
0	0
6	5
0	5
0	0
0	0
0	3
314	3
0	4
0	0
0	0
0	0
0	4
0	0
0	4
0	4
0	179
0	166
0	183
0	0
0	134
1	154
0	179
0	4
2	10
0	150
6	12
7	25
0	1
0	0
0	24
1	83
0	37
0	35
0	14
0	66
1	39
0	56
0	17
0	18
0	21
0	14
0	14
0	56
0	2
0	55
0	14
0	56
0	23
0	14
0	27
0	56
0	46
0	1
0	2
0	2
0	2
0	2
0	0
0	0
1	1
0	1
0	0
0	0
0	3
0	3
0	3
0	0
0	3
0	0
0	0
0	0
48	677
1	389
0	364
0	202
27	279
2	120
3	53
0	0
0	0
10	56
0	0
0	0
0	5
0	0
0	5
1	4
0	0
0	5
0	0
0	0
0	48
0	2
10	0
0	4
0	3
0	10
0	7
0	0
0	2
0	18
1	0
3	11
0	2
0	9
0	0
764	1033
0	138
2	174
3	69
0	8
0	633
0	20
0	83
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
