UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
82	24
0	23
2	15
0	0
0	0
9	334
2	249
6	283
0	188
11	72
0	10
2	88
2	93
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	0
3	222
0	423
42	923
1	135
0	628
13	62
0	341
0	96
1	0
0	0
0	201
195	323
0	201
0	74
0	46
1	198
0	160
11	50
0	183
24	566
0	547
0	99
0	0
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	277
4	432
11	54
21	297
2	43
0	15
27	378
0	103
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
45	0
62	7
0	3
0	4
3	25
0	64
10	1420
3	12
0	13
0	512
1	1326
2	179
0	620
8	2
0	197
3	10
0	55
6	289
66	32
2	287
0	0
0	4
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	112
0	0
0	0
0	0
0	0
2	0
286	1066
2	105
0	2
0	772
0	187
2	55
7	1021
1	998
0	0
10	0
3	330
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	2
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	9
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
162	1
41	1642
8	1548
0	109
0	199
12	1403
1	1
0	1
2	2
0	2
0	1
3	816
0	0
0	0
5	4
1	4
0	0
0	1
0	1
176	1
0	9
0	0
0	0
0	0
0	9
0	0
0	9
0	9
1	179
0	174
0	181
0	2
0	130
0	146
0	178
0	4
1	11
0	140
3	6
1	24
0	3
0	0
0	64
1	257
0	93
0	119
0	36
0	206
1	120
0	191
0	54
0	57
0	58
0	69
0	36
0	192
0	10
0	186
0	64
0	186
0	83
0	47
0	81
0	191
0	149
5	8
0	28
0	16
2	16
1	10
0	13
0	0
0	1
0	1
0	0
0	0
1	4
2	4
0	3
0	1
0	3
0	0
0	0
0	0
48	911
1	499
1	487
0	254
19	378
0	138
1	95
0	0
0	0
34	86
2	1
0	1
0	5
0	0
1	5
5	6
0	0
0	5
0	0
0	0
0	68
0	0
19	1
1	4
1	2
0	3
0	10
0	0
0	7
0	24
2	0
2	9
0	4
2	15
0	0
685	670
0	99
0	140
6	25
0	1
0	402
0	17
0	54
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
