UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
32	9
0	9
3	7
0	0
0	0
12	278
0	216
9	249
0	132
11	43
0	4
3	59
0	69
0	0
0	0
6	0
0	0
0	0
1	0
0	0
0	1
0	0
0	0
0	0
1	273
0	367
40	725
3	125
0	456
6	63
0	289
0	74
1	0
0	0
1	289
264	488
1	291
0	133
0	81
2	325
0	230
30	58
1	247
37	601
0	578
0	126
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	239
1	384
7	52
29	269
2	43
0	12
10	330
3	87
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	0
59	9
0	3
0	5
3	72
0	154
7	2265
1	37
0	26
0	1161
0	1967
2	368
0	725
9	11
0	230
2	18
0	64
7	263
53	17
0	266
0	0
1	13
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	103
0	0
0	0
0	0
0	0
1	0
326	1337
3	192
0	2
0	958
0	339
4	87
5	1264
5	1200
0	0
9	0
0	264
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	10
0	10
0	10
0	7
0	4
0	1
0	4
0	1
0	1
0	0
0	0
0	0
0	9
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
149	2
59	1674
9	1576
0	104
1	240
11	1443
1	0
0	0
3	0
0	0
0	0
4	734
0	0
0	0
7	10
0	10
0	1
1	1
0	3
185	2
0	6
0	0
0	1
0	1
0	6
0	0
0	6
0	6
0	193
0	179
0	195
1	1
0	143
0	168
0	193
0	4
1	8
0	163
2	8
3	25
0	0
0	0
0	45
0	166
0	69
0	80
0	23
0	124
0	77
0	113
0	37
0	45
0	33
0	32
0	20
0	114
0	3
0	110
0	30
0	111
0	42
0	30
0	49
0	113
0	99
7	2
0	16
0	7
1	9
1	3
1	9
0	0
1	3
0	3
0	0
0	0
0	2
0	2
0	0
0	2
0	2
0	0
1	0
0	0
50	880
1	473
2	482
0	264
26	404
0	152
1	92
2	0
0	0
34	92
0	0
0	0
0	6
0	1
0	9
5	10
0	1
0	7
0	0
0	0
0	85
0	3
33	2
1	5
1	3
2	5
0	4
0	0
0	2
0	32
1	0
2	8
0	3
1	13
0	0
724	1333
0	140
1	180
6	60
0	6
0	936
0	43
0	138
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
