UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
68	21
0	21
5	16
0	0
0	0
16	260
1	172
13	220
0	139
12	59
0	11
4	74
1	93
2	0
0	0
7	0
0	0
0	0
0	0
0	0
2	5
0	0
0	0
0	0
0	269
0	382
54	779
2	124
0	513
9	55
1	292
0	80
3	0
0	0
0	254
268	403
0	255
0	97
0	61
3	250
0	205
9	60
0	226
38	600
0	575
0	118
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	209
1	348
2	43
12	240
0	43
0	7
14	301
4	91
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
29	0
68	8
0	5
0	3
0	56
0	125
6	2133
2	56
0	25
0	1012
0	1848
0	322
0	705
12	13
1	228
0	18
0	57
6	250
39	17
0	301
0	0
0	10
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	73
0	0
0	0
0	0
0	0
2	0
347	1346
2	205
0	3
0	971
0	315
1	93
6	1256
0	1207
0	0
11	1
2	223
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	5
0	3
0	2
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	9
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
156	0
71	1822
12	1713
0	123
1	256
15	1552
1	0
0	0
4	0
0	0
0	0
3	834
1	0
0	0
6	5
0	5
0	1
1	1
0	1
204	5
0	4
0	0
0	0
0	0
0	4
0	0
0	4
0	4
2	203
0	184
0	207
0	2
0	150
0	177
0	203
0	3
1	10
0	177
1	8
5	28
0	1
0	0
1	50
1	140
0	77
0	55
0	18
0	90
0	92
0	80
0	43
0	47
0	28
0	33
0	14
0	81
0	2
0	78
0	31
0	78
0	43
0	11
0	25
0	80
0	70
3	0
0	10
0	4
3	4
0	0
0	6
0	0
0	3
0	3
0	0
0	0
0	6
0	6
0	6
0	3
0	5
0	0
0	0
0	0
47	801
0	416
0	427
0	223
11	370
3	131
2	93
0	0
0	2
15	84
1	2
0	2
0	15
0	3
1	19
1	25
0	5
0	18
0	4
0	2
0	68
0	7
29	2
1	5
0	3
4	2
0	4
0	0
0	6
0	15
0	2
2	4
2	1
0	14
0	0
657	1121
0	107
1	166
9	47
0	3
0	795
0	21
0	96
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
