UniqueCount	AmbigCount
0	0
0	0
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
20	2
0	2
1	1
0	0
0	0
26	245
0	194
3	200
0	120
21	33
1	2
2	47
0	52
1	0
0	0
8	0
0	0
0	0
1	0
0	0
1	3
0	0
0	0
0	0
0	218
0	334
26	773
1	127
0	535
6	74
0	265
0	67
4	0
1	0
0	172
385	293
0	175
0	78
0	55
1	193
0	129
10	44
0	139
22	382
0	373
0	90
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	161
2	234
1	24
8	133
0	23
0	4
17	207
0	48
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
34	1
0	0
0	0
0	7
0	19
22	694
0	14
0	2
0	243
0	650
0	71
0	270
5	2
1	69
0	4
0	15
2	130
21	11
0	212
0	0
0	10
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	147
0	0
0	0
0	0
0	0
4	0
249	896
0	60
0	1
0	678
0	136
1	33
8	855
2	854
0	0
7	0
0	88
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	5
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
253	2
44	1276
7	1215
0	73
0	129
5	1046
1	1
1	1
5	2
0	3
0	1
1	893
2	0
0	0
7	1
0	1
0	0
0	0
0	0
215	1
0	10
0	0
0	0
0	0
0	10
0	0
0	10
0	10
0	155
0	150
0	157
0	0
0	113
0	134
0	155
0	5
0	7
0	127
5	9
5	23
0	5
0	0
0	25
1	75
0	42
0	50
0	39
0	63
0	46
1	50
0	24
0	41
0	30
0	22
0	34
0	51
0	4
0	46
0	19
0	47
0	34
0	15
0	45
0	50
0	42
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	6
0	6
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
44	790
0	508
3	364
0	182
22	291
1	111
0	76
2	0
0	0
22	50
0	0
0	0
0	2
0	0
0	2
0	3
0	1
0	3
0	0
0	0
0	44
0	1
11	2
0	2
0	0
0	0
1	2
0	0
0	2
0	16
1	0
1	6
1	4
0	10
0	0
640	622
0	106
4	124
5	33
0	1
1	347
1	11
0	47
0	0
1	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
