UniqueCount	AmbigCount
0	0
0	0
2	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
12	3
0	2
2	1
0	0
0	0
6	219
0	169
14	188
1	117
17	42
0	2
5	54
1	56
1	0
0	0
11	0
0	0
0	0
1	0
0	0
0	1
0	0
0	0
0	0
1	186
1	294
50	704
1	106
0	489
16	56
1	226
0	63
3	0
0	0
0	188
188	306
0	188
0	83
0	47
3	195
0	137
26	35
1	155
13	413
0	397
0	107
0	0
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	183
1	309
5	22
7	193
0	26
0	4
16	271
0	49
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
52	1
0	1
0	0
1	10
0	22
9	760
0	17
0	6
0	272
0	702
0	94
0	310
7	6
2	97
1	6
0	29
3	126
17	7
1	171
0	0
0	3
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	156
0	0
0	0
0	0
0	0
3	0
214	873
0	114
0	0
0	584
0	179
1	58
4	817
1	802
0	0
3	0
0	69
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	11
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
284	1
37	1256
12	1204
0	67
1	150
6	1031
6	6
0	5
15	6
3	7
0	7
2	743
0	0
0	0
4	8
0	8
0	3
0	0
0	2
231	1
0	4
0	0
0	0
0	0
0	4
0	0
0	4
0	4
1	177
0	173
0	182
0	1
0	142
0	157
0	177
0	0
0	2
0	149
5	7
7	33
0	4
0	0
0	30
1	100
0	44
0	56
0	30
0	81
1	47
0	64
0	28
0	40
0	26
0	16
0	20
0	64
0	1
0	64
0	16
0	64
0	30
0	16
0	38
0	64
0	55
0	0
0	2
0	1
0	1
0	0
0	1
0	0
0	6
0	6
0	0
0	2
0	4
0	4
0	1
0	2
0	1
0	0
0	0
0	0
64	898
0	555
1	430
0	205
32	305
1	116
1	55
0	0
0	0
17	57
0	0
0	0
0	3
0	0
0	4
1	5
0	1
0	4
0	0
0	0
0	50
0	3
7	0
0	1
0	1
2	3
1	1
0	0
0	2
0	19
1	1
2	4
1	1
1	12
0	0
724	797
0	144
2	132
5	38
0	5
0	476
0	21
0	68
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
