UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	18
0	12
0	15
0	6
1	4
0	0
0	5
0	8
0	0
0	0
2	1
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	45
1	353
36	731
17	125
0	504
25	102
5	296
0	88
4	0
1	0
3	885
723	1470
0	896
0	395
0	210
16	952
0	680
43	174
5	714
40	718
0	696
0	44
0	0
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	521
2	792
6	124
4	500
0	60
0	33
1	661
0	189
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
14	0
0	0
0	0
0	12
0	36
8	547
0	11
0	5
0	269
0	490
3	87
0	172
15	6
0	51
0	6
0	13
0	68
15	8
0	76
0	0
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	79
0	0
0	0
0	0
0	0
0	0
307	1290
0	181
0	2
0	896
0	299
4	101
11	1224
4	1171
0	0
39	0
5	10149
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	3
0	3
0	3
0	0
0	0
0	0
0	2
0	2
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	34
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
216	0
50	1980
28	1897
0	115
2	261
4	1682
2	0
0	0
3	0
0	0
0	0
3	1044
2	0
0	0
0	5
0	5
0	0
1	1
0	3
571	4
0	42
0	0
4	5
1	5
0	42
0	1
0	42
0	42
0	122
0	116
0	128
0	0
0	78
0	92
0	122
0	3
0	8
0	88
10	5
12	10
0	3
0	0
0	19
0	71
0	32
0	28
0	26
0	66
0	36
0	49
0	16
0	20
0	28
0	15
0	24
0	50
0	2
0	43
0	10
0	43
0	31
0	9
0	32
0	49
0	43
0	1
0	2
0	1
0	1
0	1
0	1
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
50	857
0	494
1	417
0	217
23	345
4	128
9	72
0	0
0	0
40	127
5	1
0	0
0	5
0	1
0	7
1	9
0	1
0	6
0	0
0	0
0	113
0	2
41	4
0	12
0	5
2	8
1	10
0	0
0	4
0	33
1	0
3	10
1	6
2	20
0	0
754	824
0	149
3	147
4	36
0	3
0	487
0	16
0	67
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
