UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	11
0	8
1	8
0	7
1	4
0	1
0	4
0	5
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	0
0	46
2	382
66	737
8	153
0	467
33	99
7	306
0	77
8	0
6	0
2	782
624	1207
0	794
0	349
0	196
8	773
3	596
50	171
3	636
51	702
1	680
0	47
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	469
5	696
1	91
1	440
0	40
0	19
0	587
0	162
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
19	1
0	1
0	0
0	14
0	26
10	450
0	9
0	9
0	203
0	402
1	68
0	147
5	5
0	50
1	5
0	13
1	67
12	7
0	77
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	104
0	0
0	0
0	0
0	0
2	0
203	954
0	124
0	3
0	667
0	229
7	67
6	913
2	880
0	0
29	0
4	6184
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	4
0	4
0	1
0	0
0	2
0	1
0	1
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	32
1	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
192	1
65	2312
33	2240
2	133
1	280
2	1951
1	1
0	1
2	0
0	1
0	1
1	1015
4	0
0	0
4	5
0	5
0	1
0	1
0	1
579	1
0	27
0	0
2	5
1	5
0	27
0	3
0	27
0	27
0	108
0	107
0	111
0	1
0	83
0	89
0	108
0	2
0	5
0	86
5	5
3	13
0	2
0	0
0	21
0	79
0	29
0	29
0	26
0	81
0	32
0	66
0	10
0	16
0	33
0	20
0	22
0	66
0	1
0	63
0	19
0	64
0	36
0	13
0	37
0	65
0	52
1	0
0	1
0	0
0	1
1	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
44	822
0	467
2	433
0	234
39	339
1	120
7	78
0	0
0	0
25	111
1	1
0	1
0	7
0	1
0	8
2	11
0	3
0	9
0	3
0	1
0	91
0	2
36	4
0	11
0	3
0	3
1	3
0	2
0	4
0	32
3	1
3	10
1	3
0	24
0	0
657	674
0	129
0	124
3	36
0	2
0	380
0	11
0	52
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
