UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	23
1	10
1	15
0	12
2	8
0	0
0	8
0	13
1	0
0	0
1	0
0	0
0	0
0	0
0	0
0	8
0	0
0	0
0	0
0	71
2	340
50	681
15	124
0	443
21	93
4	281
0	69
5	0
5	0
4	838
847	1349
0	847
0	375
2	239
11	877
1	642
34	156
0	667
53	938
1	903
0	49
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	599
3	877
12	141
0	594
1	65
0	35
2	739
0	237
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
36	2
0	2
0	0
1	14
0	51
16	887
0	23
0	5
0	444
2	791
1	145
0	285
9	3
0	74
1	6
1	18
1	82
7	6
0	129
0	0
0	2
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	91
0	0
0	0
0	0
0	0
0	0
353	1446
1	192
0	3
0	1071
0	323
6	91
7	1378
2	1321
0	0
49	0
10	9668
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	2
0	1
0	1
0	0
0	1
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	21
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
296	0
40	1361
24	1327
0	86
1	192
7	1176
1	0
1	0
2	0
0	0
0	0
1	1347
2	0
0	0
5	6
0	6
0	1
0	3
0	0
689	5
0	53
0	1
4	2
0	2
0	53
0	1
0	53
0	53
0	142
0	129
0	144
0	0
0	100
0	119
1	142
0	3
0	6
0	114
5	7
9	16
0	3
0	0
0	21
0	77
0	35
0	29
0	27
0	75
0	34
0	58
0	15
0	20
0	36
0	18
0	25
0	59
0	4
0	56
0	16
0	57
0	35
0	10
0	33
0	58
0	54
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
52	873
0	479
3	472
0	246
31	368
2	129
3	83
0	0
0	0
52	188
1	3
0	3
0	19
0	0
0	25
2	18
0	1
0	18
0	1
0	2
0	160
0	12
44	2
1	13
0	8
2	14
0	14
0	0
0	4
0	53
2	3
1	11
2	7
0	21
0	0
951	1468
0	188
1	228
6	76
0	8
0	966
0	24
0	123
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
