UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	25
0	20
1	24
0	14
1	1
0	0
0	1
0	5
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	61
2	272
34	560
18	100
0	379
38	105
5	260
0	62
5	0
1	0
1	501
509	868
0	504
0	238
1	136
9	565
0	404
24	114
2	454
51	1246
0	1214
0	44
0	0
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	786
4	1180
22	183
8	742
1	80
0	49
7	1003
1	312
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
32	1
0	0
0	0
1	30
0	65
40	1461
3	19
0	9
0	747
0	1294
2	217
0	464
45	11
0	106
1	8
0	29
1	141
23	13
0	199
0	0
0	5
0	0
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	135
0	0
0	0
0	0
0	0
4	0
370	1530
0	170
0	0
0	1132
0	272
11	84
10	1455
5	1422
0	0
31	2
6	16040
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	13
0	13
0	16
0	12
0	4
0	1
0	10
0	2
0	2
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	13
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
530	3
28	1100
22	1056
0	70
0	144
0	898
0	0
0	0
1	0
0	0
0	0
2	928
0	0
0	0
0	1
0	1
0	0
0	0
0	0
553	8
0	140
0	1
0	1
0	1
0	139
0	1
0	139
0	139
0	320
1	307
0	329
0	0
0	235
1	271
0	320
0	2
0	8
0	256
9	10
8	40
0	5
0	0
0	69
1	308
0	122
0	118
0	60
0	254
2	138
0	227
0	54
0	73
0	81
0	68
0	49
0	229
0	9
0	223
0	66
0	225
0	95
0	48
0	92
0	227
0	192
0	1
0	3
0	1
0	1
0	1
0	2
0	0
1	5
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
47	1014
0	561
2	561
0	315
55	454
3	177
2	99
0	0
0	0
73	240
0	0
0	0
0	16
0	0
2	22
6	22
0	1
0	17
0	1
0	0
0	208
0	6
56	9
3	22
2	13
2	16
0	17
0	3
0	7
0	69
5	1
4	14
0	8
0	45
0	0
1071	1312
0	198
1	227
9	84
0	7
1	785
0	30
0	114
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
