SampleID	MouseNo	Genotype	Gender	Tissue	DAB	Notes	Infered_Genotype
1	Tube_1	989	KO	Female	Ileon	153		KO
2	Tube_2	991	KO	Female	Ileon	153		KO
3	Tube_3	992	KO	Female	Ileon	153		KO
4	Tube_4	993	KO	Female	Ileon	153		KO
5	Tube_5	111	KO	Female	Ileon	155		KO
6	Tube_6	682	KO	Male	Ileon	150		KO
7	Tube_7	684	KO	Male	Ileon	150		KO
8	Tube_8	745	KO	Male	Ileon	157		KO
9	Tube_9	912	KO	Male	Ileon	150		KO
10	Tube_10	913	KO	Male	Ileon	150		KO
11	Tube_11	156	WT	Female	Ileon	147		WT
12	Tube_12	157	WT	Female	Ileon	147		WT
13	Tube_13	158	WT	Female	Ileon	147		WT
14	Tube_14	181	WT	Female	Ileon	144		WT
15	Tube_15	182	WT	Female	Ileon	144	Se uso toda la muestra	WT
16	Tube_16	178	WT	Male	Ileon	144		WT
17	Tube_17	235	WT	Male	Ileon	147		WT
18	Tube_18	252	WT	Male	Ileon	141		WT
19	Tube_19	322	WT	Male	Ileon	147		WT
20	Tube_20	385	WT	Male	Ileon	141		WT
21	Tube_21	989	KO	Female	Kidney	153		KO
22	Tube_22	991	KO	Female	Kidney	153		KO
23	Tube_23	992	KO	Female	Kidney	153		KO
24	Tube_24	993	KO	Female	Kidney	153		KO
25	Tube_25	111	KO	Female	Kidney	155		KO
26	Tube_26	682	KO	Male	Kidney	150		KO
27	Tube_27	684	KO	Male	Kidney	150		KO
28	Tube_28	745	KO	Male	Kidney	157		KO
29	Tube_29	912	KO	Male	Kidney	150		KO
30	Tube_30	913	KO	Male	Kidney	150		KO
31	Tube_31	156	WT	Female	Kidney	147		WT
32	Tube_32	157	WT	Female	Kidney	147		WT
33	Tube_33	158	WT	Female	Kidney	147		WT
34	Tube_34	181	WT	Female	Kidney	144		WT
35	Tube_35	182	WT	Female	Kidney	144		WT
36	Tube_36	178	WT	Male	Kidney	144		WT
37	Tube_37	235	WT	Male	Kidney	147		WT
38	Tube_38	252	WT	Male	Kidney	141		WT
39	Tube_39	322	WT	Male	Kidney	147		WT
40	Tube_40	385	WT	Male	Kidney	141		WT
