UniqueCount	AmbigCount
0	0
0	0
0	12
2	5
11	10
0	0
2	0
1	0
0	0
0	0
1	0
0	0
6	0
6	0
0	0
0	0
0	0
0	0
0	0
39	5
0	4
12	1
3	0
2	0
25	153
2	122
6	120
0	101
12	46
0	1
2	59
0	31
12	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	18
8	290
149	712
0	23
0	481
20	17
0	253
0	46
0	0
5	0
2	383
936	647
0	383
0	74
3	38
7	339
0	214
12	25
0	214
124	1213
3	1182
0	81
0	0
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	235
8	431
22	53
31	263
5	24
0	1
35	347
8	121
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
217	41
0	16
0	25
0	62
0	130
45	2704
2	200
0	5
0	920
0	2191
48	384
1	786
9	6
1	248
0	0
2	29
12	203
20	3
0	399
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14
0	0
0	0
0	0
0	0
0	0
597	1945
11	136
1	3
0	1368
0	388
11	23
24	1862
0	1673
0	0
140	0
4	64
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	5
0	6
0	5
0	0
0	0
0	1
3	5
0	5
1	0
0	0
0	0
0	1
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
103	0
52	995
13	883
0	14
0	54
1	828
18	13
0	12
13	0
2	6
0	6
0	82
0	0
0	0
32	13
0	13
0	1
0	2
0	5
961	2
2	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
16	422
0	421
0	451
34	0
0	329
5	368
0	423
0	3
3	18
1	355
20	8
17	17
0	1
0	0
0	10
110	25
0	16
0	6
0	33
1	38
18	20
0	26
0	6
0	9
0	29
0	11
0	30
0	28
0	0
0	9
0	5
0	9
0	33
1	0
0	30
0	27
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	21
0	21
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
190	618
0	336
4	245
0	188
12	298
3	77
1	19
2	0
0	0
34	88
18	13
0	12
0	38
0	1
2	57
15	54
0	5
0	40
4	3
0	1
1	63
0	9
48	3
0	3
5	0
1	0
2	2
0	0
0	0
0	7
1	1
2	3
0	0
0	13
0	0
1871	2058
0	146
4	288
21	52
1	0
1	1566
5	11
0	83
0	0
20	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
