Sex	gene_id	gene_name	target_id	target_name	corrPower	changeCorr	signTissues	signTissuesN	medianLFC	corrTissuesN	corrTissues	medianLFC_target
Male	ENSMUSG00000098708.9	Gm27252	ENSMUSG00000052040.11	Klf13	5	1	Ileon, Kidney, Muscle, Liver, Heart	5	2.9761388432676923	5	Ileon, Kidney, Muscle, Liver, Heart	0.6211581368998546
Female	ENSMUSG00000109644.3	0610005C13Rik	ENSMUSG00000059824.13	Dbp	4	1	Ileon, Kidney, Muscle, Liver	4	1.106653072816608	4	Ileon, Kidney, Muscle, Liver	3.669327617619287
Male	ENSMUSG00000121472.1	ENSMUSG00000121472	ENSMUSG00000038550.11	Ciart	4	1	Ileon, Kidney, Muscle, Colon	4	4.654502531107905	4	Ileon, Kidney, Muscle, Colon	3.255166311333026
Male	ENSMUSG00000084846.2	A730011C13Rik	ENSMUSG00000038550.11	Ciart	4	1	Ileon, Kidney, Muscle, Liver	4	1.357800054470862	4	Ileon, Kidney, Muscle, Liver	2.7501213016513244
Male	ENSMUSG00000085956.3	4930481B07Rik	ENSMUSG00000038550.11	Ciart	4	1	Kidney, Muscle, Liver, Colon	4	1.610668269873802	4	Kidney, Muscle, Liver, Colon	2.7501213016513244
Male	ENSMUSG00000080727.4	C920021L13Rik	ENSMUSG00000038550.11	Ciart	4	1	Ileon, Kidney, Muscle, Heart	4	1.7463303419146081	4	Ileon, Kidney, Muscle, Heart	2.159099929503435
Male	ENSMUSG00000091994.3	E130317F20Rik	ENSMUSG00000045193.14	Cirbp	4	1	Ileon, Kidney, Muscle, Liver	4	0.9458564093987698	4	Ileon, Kidney, Muscle, Liver	1.7787678062488104
Male	ENSMUSG00000097164.4	Cep83os	ENSMUSG00000020027.19	Socs2	4	1	Ileon, Kidney, Muscle, Liver	4	0.9001880494956712	4	Ileon, Kidney, Muscle, Liver	1.4207462125428938
Male	ENSMUSG00000066175.4	2510046G10Rik	ENSMUSG00000030711.17	Sult1a1	4	1	Ileon, Kidney, Muscle, Liver	4	1.5741180779746746	4	Ileon, Kidney, Muscle, Liver	1.4000089125545827
Male	ENSMUSG00000120029.1	ENSMUSG00000120029	ENSMUSG00000024352.13	Spata24	4	1	Kidney, Muscle, Liver, Heart	4	1.0460076414027193	4	Kidney, Muscle, Liver, Heart	1.3888882780050573
Male	ENSMUSG00000043993.8	2900052L18Rik	ENSMUSG00000048445.7	Ccdc57	4	1	Ileon, Kidney, Muscle, Liver, Heart	5	1.2596464839002115	4	Ileon, Kidney, Muscle, Liver	1.1833430915555374
Male	ENSMUSG00000075389.5	Reno1	ENSMUSG00000048445.7	Ccdc57	4	1	Ileon, Kidney, Muscle, Liver, Heart	5	1.0181884533021341	4	Ileon, Kidney, Muscle, Liver	1.1833430915555374
Female	ENSMUSG00000043993.8	2900052L18Rik	ENSMUSG00000048445.7	Ccdc57	4	1	Ileon, Kidney, Muscle, Liver	4	0.97878954996987	4	Ileon, Kidney, Muscle, Liver	1.1808505009874086
Male	ENSMUSG00000086629.10	2810403D21Rik	ENSMUSG00000031245.9	Hmgn5	4	1	Kidney, Muscle, Liver, Heart	4	1.3643267868269189	4	Kidney, Muscle, Liver, Heart	0.8846270155422552
Male	ENSMUSG00000085148.2	Mir22hg	ENSMUSG00000006127.10	Inpp5k	4	1	Kidney, Muscle, Liver, Heart	4	1.1222184655803955	4	Kidney, Muscle, Liver, Heart	0.7847801887460442
Male	ENSMUSG00000108825.2	Gm45838	ENSMUSG00000046027.18	Stard5	4	1	Ileon, Kidney, Muscle, Liver	4	1.9957549498882345	4	Ileon, Kidney, Muscle, Liver	0.7642162941491732
Male	ENSMUSG00000084846.2	A730011C13Rik	ENSMUSG00000028106.14	Rprd2	4	1	Ileon, Kidney, Muscle, Liver	4	1.357800054470862	4	Ileon, Kidney, Muscle, Liver	0.7567187153926678
Male	ENSMUSG00000080727.4	C920021L13Rik	ENSMUSG00000028106.14	Rprd2	4	1	Ileon, Kidney, Muscle, Heart	4	1.7463303419146081	4	Ileon, Kidney, Muscle, Heart	0.7338576870407916
Male	ENSMUSG00000102780.2	Gm38253	ENSMUSG00000056260.16	Lrif1	4	1	Ileon, Kidney, Muscle, Liver	4	1.1973151869932503	4	Ileon, Kidney, Muscle, Liver	0.6191737340206289
Male	ENSMUSG00000103611.2	Gm37195	ENSMUSG00000032410.14	Xrn1	4	1	Ileon, Kidney, Muscle, Liver	4	2.220791571179555	4	Ileon, Kidney, Muscle, Liver	0.55469672834487
