Sex	gene_id	gene_name	gene_type	sign(log2FoldChange)	nTissues	signTissues	medianLFC
Female	ENSMUSG00000000031.18	H19	lncRNA	-1	1	Muscle	-1.423285132128729
Female	ENSMUSG00000000031.18	H19	lncRNA	1	1	Heart	1.6673816333919576
Female	ENSMUSG00000015451.17	C4a	lncRNA	-1	1	Liver	-1.4020851556793328
Female	ENSMUSG00000015451.17	C4a	lncRNA	1	1	Muscle	2.257618467078166
Female	ENSMUSG00000021268.19	Meg3	lncRNA	1	1	Muscle	0.9134914193641646
Female	ENSMUSG00000022639.16	Dubr	lncRNA	-1	1	Muscle	-0.580988334805048
Female	ENSMUSG00000030623.5	Prss23os	lncRNA	-1	1	Muscle	-1.0032619545046932
Female	ENSMUSG00000031270.2	4930513O06Rik	lncRNA	1	1	Liver	1.4763795734078655
Female	ENSMUSG00000031802.10	Phxr4	TEC	1	1	Muscle	1.0179036300542847
Female	ENSMUSG00000034587.10	8430429K09Rik	lncRNA	1	1	Muscle	0.6886324779597297
Female	ENSMUSG00000037096.7	Gm9762	processed_pseudogene	1	1	Kidney	1.6452458457082042
Female	ENSMUSG00000037982.18	Gm9725	lncRNA	1	1	Kidney	0.7187622822702945
Female	ENSMUSG00000038408.16	1700018A04Rik	lncRNA	1	1	Ileon	1.258556135645155
Female	ENSMUSG00000038917.6	3930402G23Rik	lncRNA	-1	2	Ileon, Liver	-2.31909562015262
Female	ENSMUSG00000041596.14	Nlrp5-ps	transcribed_unprocessed_pseudogene	-1	5	Ileon, Kidney, Muscle, Liver, Colon	-2.219681364371301
Female	ENSMUSG00000042087.6	4933440N22Rik	TEC	1	1	Kidney	1.0220791653490102
Female	ENSMUSG00000042549.12	Map2k3os	lncRNA	-1	1	Muscle	-0.7337440392047998
Female	ENSMUSG00000042579.4	4632404H12Rik	lncRNA	1	3	Kidney, Muscle, Liver	0.7773603261641607
Female	ENSMUSG00000042857.5	Gm9776	lncRNA	1	1	Kidney	0.5971110297897403
Female	ENSMUSG00000042874.3	D930007J09Rik	lncRNA	-1	2	Kidney, Liver	-1.4176465306453867
Female	ENSMUSG00000043168.13	4930426D05Rik	lncRNA	1	1	Kidney	0.7134260531573787
Female	ENSMUSG00000043488.7	Frmd8os	lncRNA	1	3	Kidney, Muscle, Heart	1.213328575397435
Female	ENSMUSG00000043993.8	2900052L18Rik	lncRNA	1	4	Ileon, Kidney, Muscle, Liver	0.9787895499698701
Female	ENSMUSG00000044068.9	Zrsr1	transcribed_processed_pseudogene	1	1	Muscle	0.4719981656381465
Female	ENSMUSG00000044125.8	9530080O11Rik	lncRNA	1	1	Kidney	0.8743677506482612
Female	ENSMUSG00000044211.10	Gm7887	processed_pseudogene	1	1	Kidney	9.060716761225285
Female	ENSMUSG00000044285.10	Ubb-ps	transcribed_processed_pseudogene	-1	1	Kidney	-1.060527683334881
Female	ENSMUSG00000044285.10	Ubb-ps	transcribed_processed_pseudogene	1	1	Muscle	0.29968382547453576
Female	ENSMUSG00000044694.3	2010007H06Rik	lncRNA	1	2	Kidney, Muscle	1.18105531030504
Female	ENSMUSG00000045238.10	A730035I17Rik	lncRNA	-1	1	Muscle	-1.3847331821634896
Female	ENSMUSG00000045709.13	Smkr-ps	transcribed_unitary_pseudogene	1	1	Muscle	2.4185580092984673
Female	ENSMUSG00000045746.4	B230317F23Rik	lncRNA	1	1	Muscle	1.0938496418404715
Female	ENSMUSG00000046005.6	D830044D21Rik	lncRNA	-1	1	Liver	-1.4323151445379447
Female	ENSMUSG00000046764.9	A530053G22Rik	lncRNA	1	1	Muscle	2.624625008609329
Female	ENSMUSG00000047061.7	Gm9817	TEC	-1	3	Kidney, Muscle, Liver	-1.5022312249652898
Female	ENSMUSG00000047370.6	Gm7367	processed_pseudogene	-1	1	Kidney	-8.11076783150457
Female	ENSMUSG00000048106.9	4632415L05Rik	transcribed_unprocessed_pseudogene	1	1	Muscle	4.382096351383076
Female	ENSMUSG00000048406.6	B330016D10Rik	pseudogene	1	1	Kidney	0.6577697937529375
Female	ENSMUSG00000048603.10	Gm9828	lncRNA	1	2	Kidney, Muscle	0.6985932541019024
Female	ENSMUSG00000050765.4	Gm5084	lncRNA	1	1	Muscle	0.8732690619913143
Female	ENSMUSG00000052005.9	Gm9864	pseudogene	1	1	Muscle	0.899721951574163
Female	ENSMUSG00000052188.7	Gm14964	lncRNA	1	1	Kidney	0.841850553148518
Female	ENSMUSG00000052291.10	5330438D12Rik	lncRNA	1	2	Kidney, Muscle	0.9721198417790048
Female	ENSMUSG00000052563.14	D930048N14Rik	lncRNA	1	1	Kidney	0.6423335967257406
Female	ENSMUSG00000052673.3	Gm9887	lncRNA	-1	1	Muscle	-0.922208416844822
Female	ENSMUSG00000052730.8	Gm5111	lncRNA	1	1	Muscle	3.852597106969644
Female	ENSMUSG00000053332.15	Gas5	lncRNA	1	2	Kidney, Muscle	0.7177810283906912
Female	ENSMUSG00000053358.3	Gm9905	TEC	1	1	Kidney	0.48386477450023385
Female	ENSMUSG00000053615.2	Gm9913	lncRNA	-1	1	Muscle	-1.4517130178005735
Female	ENSMUSG00000053714.10	4732471J01Rik	lncRNA	1	1	Muscle	0.6865784346444871
Female	ENSMUSG00000053925.6	Gm9929	lncRNA	1	2	Kidney, Muscle	2.018954825134986
Female	ENSMUSG00000054057.3	A930004D18Rik	lncRNA	-1	2	Muscle, Heart	-1.3848244538032333
Female	ENSMUSG00000054135.3	A430110L20Rik	lncRNA	1	2	Kidney, Muscle	1.0315123140300988
Female	ENSMUSG00000054181.12	A930012O16Rik	lncRNA	1	2	Kidney, Muscle	0.9203204506792795
Female	ENSMUSG00000054514.5	Atad3aos	lncRNA	1	1	Muscle	0.9437143430468417
Female	ENSMUSG00000054598.15	9130230L23Rik	lncRNA	1	1	Muscle	2.037247843382594
Female	ENSMUSG00000054945.6	Gm9958	lncRNA	1	2	Kidney, Muscle	0.8151796143791795
Female	ENSMUSG00000055323.7	Gm9967	lncRNA	1	1	Muscle	1.5775501401911347
Female	ENSMUSG00000055676.5	Gm5069	transcribed_processed_pseudogene	-1	1	Kidney	-1.069934084678506
Female	ENSMUSG00000056145.6	AI504432	lncRNA	1	1	Kidney	1.289617089022128
Female	ENSMUSG00000056468.5	5730596B20Rik	TEC	1	1	Kidney	1.1970233482876476
Female	ENSMUSG00000056716.11	Gm5420	lncRNA	-1	1	Muscle	-5.734518260304031
Female	ENSMUSG00000056753.4	C330011M18Rik	lncRNA	1	1	Kidney	0.5282832536986718
Female	ENSMUSG00000057036.8	Gm7536	processed_pseudogene	1	2	Kidney, Muscle	0.4550281530588729
Female	ENSMUSG00000058603.11	Rpl28-ps1	processed_pseudogene	-1	1	Kidney	-0.4052231102700853
Female	ENSMUSG00000058603.11	Rpl28-ps1	processed_pseudogene	1	2	Muscle, Liver	0.835810855269788
Female	ENSMUSG00000059027.16	9630013D21Rik	lncRNA	1	1	Muscle	2.691259063813105
Female	ENSMUSG00000060149.9	BC002059	lncRNA	1	1	Kidney	0.5371995986565586
Female	ENSMUSG00000060419.9	Rps16-ps2	processed_pseudogene	1	2	Kidney, Liver	1.1970235281467836
Female	ENSMUSG00000060530.4	A930017M01Rik	transcribed_processed_pseudogene	-1	1	Kidney	-1.6265357031364729
Female	ENSMUSG00000061331.6	Gm17132	unprocessed_pseudogene	1	2	Kidney, Liver	0.9281979364517511
Female	ENSMUSG00000062319.3	Gm10115	lncRNA	1	1	Muscle	0.8458442863431296
Female	ENSMUSG00000062933.8	Gm10123	processed_pseudogene	1	2	Kidney, Liver	0.3719316958294937
Female	ENSMUSG00000063087.16	Gm10125	lncRNA	1	1	Kidney	1.457708036831434
Female	ENSMUSG00000063286.10	Gvin-ps7	transcribed_unprocessed_pseudogene	-1	3	Ileon, Kidney, Muscle	-0.6138663127340901
Female	ENSMUSG00000063388.6	BC023105	processed_pseudogene	-1	2	Kidney, Liver	-1.9417903275464354
Female	ENSMUSG00000063611.6	Gm10134	lncRNA	-1	1	Muscle	-0.8451002397239419
Female	ENSMUSG00000063714.17	Sp3os	lncRNA	1	1	Kidney	0.4648051739097882
Female	ENSMUSG00000064339.1	mt-Rnr2	Mt_rRNA	1	2	Kidney, Liver	0.5094733620886019
Female	ENSMUSG00000064945.3	Rny3	misc_RNA	-1	1	Kidney	-1.6914203014105198
Female	ENSMUSG00000065353.3	Snora73b	snoRNA	1	1	Heart	1.1707749314081368
Female	ENSMUSG00000065649.3	Snora74a	snoRNA	-1	2	Kidney, Colon	-2.0247679174607205
Female	ENSMUSG00000066057.9	Gm1976	lncRNA	1	1	Kidney	0.7462197383254772
Female	ENSMUSG00000066175.4	2510046G10Rik	lncRNA	1	3	Kidney, Muscle, Liver	1.4888689451082269
Female	ENSMUSG00000066443.6	Gm10163	processed_pseudogene	1	1	Muscle	2.7594165188600934
Female	ENSMUSG00000066477.14	Gm16551	lncRNA	-1	1	Liver	-0.729649671792707
Female	ENSMUSG00000066724.5	Gm10175	transcribed_processed_pseudogene	1	1	Muscle	0.4827005605793051
Female	ENSMUSG00000067356.6	B430203G13Rik	TEC	1	1	Ileon	1.2065036329126089
Female	ENSMUSG00000067870.6	Rpl31-ps8	processed_pseudogene	1	3	Kidney, Muscle, Heart	0.56816408002754
Female	ENSMUSG00000068463.6	B630019A10Rik	lncRNA	-1	1	Liver	-0.27123531667690204
Female	ENSMUSG00000069540.5	Gm4925	transcribed_processed_pseudogene	1	1	Muscle	1.3179141729073165
Female	ENSMUSG00000069682.8	Gm10275	transcribed_processed_pseudogene	1	3	Kidney, Muscle, Liver	0.6992974515924542
Female	ENSMUSG00000069713.4	4933406P04Rik	lncRNA	1	1	Kidney	0.5328635235253135
Female	ENSMUSG00000069972.7	Rps13-ps2	processed_pseudogene	1	1	Liver	1.0912731953973782
Female	ENSMUSG00000070315.14	4930581F22Rik	lncRNA	1	1	Muscle	0.9396002347503388
Female	ENSMUSG00000070392.6	Gm20634	lncRNA	-1	3	Kidney, Muscle, Liver	-1.4927080164166455
Female	ENSMUSG00000070461.4	9230112E08Rik	lncRNA	1	1	Kidney	0.5234888378701142
Female	ENSMUSG00000070960.5	Gm19680	processed_pseudogene	1	1	Liver	0.9962608674271218
Female	ENSMUSG00000070997.5	1700055D18Rik	lncRNA	1	1	Kidney	0.6513328710364311
Female	ENSMUSG00000071181.3	3830408C21Rik	lncRNA	1	1	Muscle	1.0316575244125263
Female	ENSMUSG00000071793.14	2610005L07Rik	transcribed_unprocessed_pseudogene	1	1	Ileon	0.8591946686930749
Female	ENSMUSG00000072109.13	A530040E14Rik	lncRNA	-1	1	Ileon	-2.686787966896809
Female	ENSMUSG00000072591.12	Fzd10os	lncRNA	-1	1	Muscle	-1.413950346801357
Female	ENSMUSG00000072618.4	Gm10384	lncRNA	-1	1	Ileon	-1.644779822954381
Female	ENSMUSG00000072761.12	Gm6712	lncRNA	1	2	Kidney, Muscle	0.5139225808653396
Female	ENSMUSG00000072809.3	9330160F10Rik	lncRNA	1	1	Kidney	0.655028159864541
Female	ENSMUSG00000072893.13	4933439C10Rik	lncRNA	1	2	Kidney, Muscle	0.8869867208391036
Female	ENSMUSG00000072962.4	Gm16401	lncRNA	-1	1	Ileon	-1.330031781020072
Female	ENSMUSG00000072963.3	Gm10447	lncRNA	1	1	Liver	1.2921767974755427
Female	ENSMUSG00000073000.4	Gm10451	lncRNA	-1	1	Kidney	-0.976522283218125
Female	ENSMUSG00000073060.5	Zxda	unprocessed_pseudogene	-1	1	Liver	-0.5003191243967523
Female	ENSMUSG00000073147.5	5031425E22Rik	lncRNA	1	1	Muscle	0.33420083214212526
Female	ENSMUSG00000073403.13	Gm10499	transcribed_unprocessed_pseudogene	1	1	Ileon	1.9345210518433027
Female	ENSMUSG00000073405.7	H2-T-ps	unprocessed_pseudogene	-1	1	Kidney	-1.4798575451578415
Female	ENSMUSG00000073405.7	H2-T-ps	unprocessed_pseudogene	1	1	Ileon	1.1925039358050793
Female	ENSMUSG00000073437.12	D330041H03Rik	lncRNA	1	1	Ileon	1.500696780881931
Female	ENSMUSG00000073478.8	D730003I15Rik	lncRNA	1	3	Kidney, Muscle, Liver	0.8722232696112314
Female	ENSMUSG00000073535.7	Gm5532	lncRNA	-1	1	Muscle	-3.5713199154670665
Female	ENSMUSG00000073627.8	C130036L24Rik	lncRNA	1	1	Muscle	0.8655359539191934
Female	ENSMUSG00000073647.5	Gm10557	processed_pseudogene	1	1	Kidney	0.555230771840841
Female	ENSMUSG00000073867.3	AA474408	TEC	1	1	Kidney	0.5662747501928581
Female	ENSMUSG00000073902.6	Gvin3	unprocessed_pseudogene	-1	1	Kidney	-1.4490056824142696
Female	ENSMUSG00000073985.3	Gm10602	lncRNA	1	2	Kidney, Liver	1.0017342045634223
