Sex	gene_id	gene_name	gene_type	sign(log2FoldChange)	nTissues	signTissues	medianLFC
Male	ENSMUSG00000010492.11	Uckl1os	lncRNA	-1	1	Heart	-1.4342945033132046
Male	ENSMUSG00000015451.17	C4a	lncRNA	-1	1	Liver	-1.608660986617602
Male	ENSMUSG00000015451.17	C4a	lncRNA	1	1	Muscle	2.1385514732692026
Male	ENSMUSG00000020812.20	Snhg16	lncRNA	1	3	Kidney, Muscle, Liver	1.6290988804223343
Male	ENSMUSG00000022543.11	Dnaaf8	transcribed_unitary_pseudogene	1	1	Liver	1.7446330894671904
Male	ENSMUSG00000022639.16	Dubr	lncRNA	-1	2	Muscle, Colon	-0.7370809939394076
Male	ENSMUSG00000027694.11	Gm8325	transcribed_processed_pseudogene	-1	2	Kidney, Liver	-0.857983745504123
Male	ENSMUSG00000027694.11	Gm8325	transcribed_processed_pseudogene	1	1	Heart	1.348530895996655
Male	ENSMUSG00000028177.14	1810013D15Rik	lncRNA	1	1	Liver	2.5287662684558865
Male	ENSMUSG00000029409.8	U90926	lncRNA	-1	1	Ileon	-2.5912693550711663
Male	ENSMUSG00000029878.7	Dbpht2	lncRNA	-1	1	Ileon	-1.1280928747414336
Male	ENSMUSG00000030623.5	Prss23os	lncRNA	-1	1	Muscle	-1.1936802439923415
Male	ENSMUSG00000030623.5	Prss23os	lncRNA	1	1	Colon	1.862200888719025
Male	ENSMUSG00000030664.4	Sox6os	lncRNA	-1	1	Liver	-1.4559052849220084
Male	ENSMUSG00000037735.8	2810032G03Rik	lncRNA	-1	1	Muscle	-1.389431931922517
Male	ENSMUSG00000037982.18	Gm9725	lncRNA	1	1	Kidney	0.6842611787148641
Male	ENSMUSG00000038152.6	5033430I15Rik	lncRNA	-1	1	Muscle	-0.947507743606006
Male	ENSMUSG00000038917.6	3930402G23Rik	lncRNA	1	1	Muscle	3.2401704747311277
Male	ENSMUSG00000039339.6	Mfsd4b2	transcribed_unprocessed_pseudogene	1	1	Ileon	1.6334719348828146
Male	ENSMUSG00000041596.14	Nlrp5-ps	transcribed_unprocessed_pseudogene	-1	3	Kidney, Muscle, Heart	-1.312851925685537
Male	ENSMUSG00000041878.4	8430432A02Rik	lncRNA	1	1	Kidney	0.9749390936461204
Male	ENSMUSG00000042087.6	4933440N22Rik	TEC	1	3	Kidney, Muscle, Liver	1.1908398219009306
Male	ENSMUSG00000042579.4	4632404H12Rik	lncRNA	1	3	Kidney, Muscle, Liver	0.6948734172498539
Male	ENSMUSG00000042874.3	D930007J09Rik	lncRNA	-1	1	Colon	-1.554256909104932
Male	ENSMUSG00000043126.6	D830039M14Rik	lncRNA	-1	1	Heart	-1.3840652038298051
Male	ENSMUSG00000043168.13	4930426D05Rik	lncRNA	1	1	Kidney	0.9162894084965776
Male	ENSMUSG00000043488.7	Frmd8os	lncRNA	1	2	Kidney, Muscle	1.100603177270132
Male	ENSMUSG00000043644.6	0610009L18Rik	lncRNA	-1	1	Kidney	-0.5184225058908419
Male	ENSMUSG00000043773.6	1700048O20Rik	lncRNA	1	1	Kidney	1.5884237463271529
Male	ENSMUSG00000043794.9	D830025C05Rik	lncRNA	1	2	Kidney, Muscle	1.1765039780582442
