Ileon.Male UP	Ileon.Male DOWN	Ileon.Female UP	Ileon.Female DOWN	Kidney.Male UP	Kidney.Male DOWN	Kidney.Female UP	Kidney.Female DOWN	Muscle.Male UP	Muscle.Male DOWN	Muscle.Female UP	Muscle.Female DOWN	Liver.Male UP	Liver.Male DOWN	Liver.Female UP	Liver.Female DOWN	Colon.Male UP	Colon.Male DOWN	Colon.Female UP	Colon.Female DOWN	Heart.Male UP	Heart.Male DOWN	Heart.Female UP	Heart.Female DOWN
ENSMUSG00000029409.8	ENSMUSG00000039339.6	ENSMUSG00000038917.6	ENSMUSG00000038408.16	ENSMUSG00000027694.11	ENSMUSG00000020812.20	ENSMUSG00000041596.14	ENSMUSG00000037096.7	ENSMUSG00000022639.16	ENSMUSG00000015451.17	ENSMUSG00000000031.18	ENSMUSG00000015451.17	ENSMUSG00000015451.17	ENSMUSG00000020812.20	ENSMUSG00000015451.17	ENSMUSG00000031270.2	ENSMUSG00000022639.16	ENSMUSG00000030623.5	ENSMUSG00000041596.14	ENSMUSG00000086287.2	ENSMUSG00000010492.11	ENSMUSG00000027694.11	ENSMUSG00000054057.3	ENSMUSG00000000031.18
ENSMUSG00000029878.7	ENSMUSG00000043993.8	ENSMUSG00000041596.14	ENSMUSG00000043993.8	ENSMUSG00000041596.14	ENSMUSG00000037982.18	ENSMUSG00000042874.3	ENSMUSG00000037982.18	ENSMUSG00000030623.5	ENSMUSG00000020812.20	ENSMUSG00000022639.16	ENSMUSG00000021268.19	ENSMUSG00000027694.11	ENSMUSG00000022543.11	ENSMUSG00000038917.6	ENSMUSG00000042579.4	ENSMUSG00000042874.3	ENSMUSG00000050334.14	ENSMUSG00000065649.3	ENSMUSG00000093622.3	ENSMUSG00000041596.14	ENSMUSG00000043993.8	ENSMUSG00000075010.7	ENSMUSG00000043488.7
ENSMUSG00000055676.5	ENSMUSG00000044471.14	ENSMUSG00000063286.10	ENSMUSG00000067356.6	ENSMUSG00000043644.6	ENSMUSG00000041878.4	ENSMUSG00000044285.10	ENSMUSG00000042087.6	ENSMUSG00000037735.8	ENSMUSG00000038917.6	ENSMUSG00000030623.5	ENSMUSG00000031802.10	ENSMUSG00000030664.4	ENSMUSG00000028177.14	ENSMUSG00000041596.14	ENSMUSG00000043993.8	ENSMUSG00000052563.14	ENSMUSG00000056753.4	ENSMUSG00000077714.3	ENSMUSG00000116815.2	ENSMUSG00000043126.6	ENSMUSG00000056687.11	ENSMUSG00000106734.5	ENSMUSG00000065353.3
ENSMUSG00000056032.13	ENSMUSG00000045345.8	ENSMUSG00000072109.13	ENSMUSG00000071793.14	ENSMUSG00000044285.10	ENSMUSG00000042087.6	ENSMUSG00000047061.7	ENSMUSG00000042579.4	ENSMUSG00000038152.6	ENSMUSG00000042087.6	ENSMUSG00000041596.14	ENSMUSG00000034587.10	ENSMUSG00000044125.8	ENSMUSG00000042087.6	ENSMUSG00000042874.3	ENSMUSG00000058603.11	ENSMUSG00000053714.10	ENSMUSG00000069972.7	ENSMUSG00000080058.3	ENSMUSG00000120312.1	ENSMUSG00000043801.8	ENSMUSG00000065353.3	ENSMUSG00000107879.3	ENSMUSG00000067870.6
ENSMUSG00000062933.8	ENSMUSG00000052188.7	ENSMUSG00000072618.4	ENSMUSG00000073403.13	ENSMUSG00000052248.18	ENSMUSG00000042579.4	ENSMUSG00000047370.6	ENSMUSG00000042857.5	ENSMUSG00000041596.14	ENSMUSG00000042579.4	ENSMUSG00000042549.12	ENSMUSG00000042579.4	ENSMUSG00000047061.7	ENSMUSG00000042579.4	ENSMUSG00000046005.6	ENSMUSG00000060419.9	ENSMUSG00000055676.5	ENSMUSG00000079993.3	ENSMUSG00000092746.5	NA	ENSMUSG00000044285.10	ENSMUSG00000075389.5	ENSMUSG00000111080.2	ENSMUSG00000080727.4
ENSMUSG00000073000.4	ENSMUSG00000052563.14	ENSMUSG00000072962.4	ENSMUSG00000073405.7	ENSMUSG00000054618.10	ENSMUSG00000043168.13	ENSMUSG00000055676.5	ENSMUSG00000043168.13	ENSMUSG00000045008.3	ENSMUSG00000043488.7	ENSMUSG00000045238.10	ENSMUSG00000043488.7	ENSMUSG00000057802.10	ENSMUSG00000043833.8	ENSMUSG00000047061.7	ENSMUSG00000061331.6	ENSMUSG00000070315.14	ENSMUSG00000084844.5	ENSMUSG00000106986.2	NA	ENSMUSG00000075010.7	ENSMUSG00000078247.7	ENSMUSG00000111765.2	ENSMUSG00000085022.4
ENSMUSG00000074171.3	ENSMUSG00000053049.4	ENSMUSG00000075010.7	ENSMUSG00000073437.12	ENSMUSG00000055676.5	ENSMUSG00000043488.7	ENSMUSG00000058603.11	ENSMUSG00000043488.7	ENSMUSG00000046413.16	ENSMUSG00000043794.9	ENSMUSG00000047061.7	ENSMUSG00000043993.8	ENSMUSG00000063388.6	ENSMUSG00000043993.8	ENSMUSG00000063388.6	ENSMUSG00000062933.8	ENSMUSG00000072999.10	ENSMUSG00000085024.3	ENSMUSG00000115783.3	NA	ENSMUSG00000075027.12	ENSMUSG00000080727.4	ENSMUSG00000112327.3	ENSMUSG00000085162.9
ENSMUSG00000075611.6	ENSMUSG00000060419.9	ENSMUSG00000085603.4	ENSMUSG00000074373.7	ENSMUSG00000056145.6	ENSMUSG00000043773.6	ENSMUSG00000060530.4	ENSMUSG00000043993.8	ENSMUSG00000049349.4	ENSMUSG00000043993.8	ENSMUSG00000052673.3	ENSMUSG00000044068.9	ENSMUSG00000063714.17	ENSMUSG00000044471.14	ENSMUSG00000066477.14	ENSMUSG00000064339.1	ENSMUSG00000073144.6	ENSMUSG00000085241.8	ENSMUSG00000115801.2	NA	ENSMUSG00000078648.4	ENSMUSG00000085148.2	ENSMUSG00000120773.1	ENSMUSG00000085779.2
ENSMUSG00000076749.3	ENSMUSG00000062319.3	ENSMUSG00000086706.9	ENSMUSG00000075389.5	ENSMUSG00000063286.10	ENSMUSG00000043794.9	ENSMUSG00000063286.10	ENSMUSG00000044125.8	ENSMUSG00000053615.2	ENSMUSG00000044068.9	ENSMUSG00000053615.2	ENSMUSG00000044285.10	ENSMUSG00000066477.14	ENSMUSG00000045746.4	ENSMUSG00000068463.6	ENSMUSG00000066175.4	ENSMUSG00000075029.8	ENSMUSG00000085360.2	ENSMUSG00000118406.2	NA	ENSMUSG00000081752.4	ENSMUSG00000085162.9	NA	ENSMUSG00000086320.2
ENSMUSG00000083380.2	ENSMUSG00000062470.11	ENSMUSG00000087107.9	ENSMUSG00000075511.11	ENSMUSG00000063388.6	ENSMUSG00000043833.8	ENSMUSG00000063388.6	ENSMUSG00000044211.10	ENSMUSG00000056716.11	ENSMUSG00000044285.10	ENSMUSG00000054057.3	ENSMUSG00000044694.3	ENSMUSG00000069755.7	ENSMUSG00000048406.6	ENSMUSG00000070392.6	ENSMUSG00000069682.8	ENSMUSG00000080058.3	ENSMUSG00000085651.2	ENSMUSG00000118698.1	NA	ENSMUSG00000082292.4	ENSMUSG00000085779.2	NA	ENSMUSG00000086451.10
