Sex	gene_id	gene_name	gene_type	CorrDir	corrTissueN	corrTissues	medianEstimate
Female	ENSMUSG00000000031	H19	lncRNA	-1	1	Mesenteric_adipose	-0.8295150620062532
Female	ENSMUSG00000015451	C4a	lncRNA	1	1	Pancreas	0.7709342531250698
Female	ENSMUSG00000019836	Amd-ps4	processed_pseudogene	1	1	Spleen	1
Female	ENSMUSG00000020812	Snhg16	lncRNA	-1	1	Gonadal_adipose	-0.9271050693011067
Female	ENSMUSG00000020992	4930512B01Rik	lncRNA	1	1	Lung	0.8827348295047496
Female	ENSMUSG00000021268	Meg3	lncRNA	-1	4	Pancreas, Mesenteric_adipose, Spleen, Gonadal_adipose	-0.9499753372175617
Female	ENSMUSG00000022543	Dnaaf8	transcribed_unitary_pseudogene	-1	1	Small_intestine	-0.7807200583588266
Female	ENSMUSG00000023795	Pisd-ps2	transcribed_unprocessed_pseudogene	1	4	Liver, Spleen, Gonadal_adipose, Brown_adipose	0.8805224475792148
Female	ENSMUSG00000025450	Gm9752	lncRNA	-1	1	Marrow	-0.8366600265340755
Female	ENSMUSG00000025783	4930412O13Rik	lncRNA	-1	1	Mesenteric_adipose	-0.7807200583588266
Female	ENSMUSG00000026729	4930562F07Rik	lncRNA	-1	2	Marrow, Mesenteric_adipose	-0.7842925406227377
Female	ENSMUSG00000028177	1810013D15Rik	lncRNA	1	1	Liver	0.7319250547113999
Female	ENSMUSG00000029633	Gm5578	processed_pseudogene	1	2	Pancreas, Gonadal_adipose	0.9011803335701349
Female	ENSMUSG00000031736	Crnde	lncRNA	1	1	Limb_muscle	0.8295150620062532
Female	ENSMUSG00000031802	Phxr4	TEC	1	1	Skin	0.9121593238215746
Female	ENSMUSG00000034587	8430429K09Rik	lncRNA	-1	1	Pancreas	-0.9728456051340167
Female	ENSMUSG00000034587	8430429K09Rik	lncRNA	1	1	Lung	0.8827348295047496
Female	ENSMUSG00000037735	2810032G03Rik	lncRNA	1	2	Mesenteric_adipose, Gonadal_adipose	0.8539125638299667
Female	ENSMUSG00000039617	Gm7488	processed_pseudogene	1	1	Liver	0.7807200583588266
Female	ENSMUSG00000039684	Gm5422	transcribed_processed_pseudogene	1	1	Lung	0.9710083124552245
Female	ENSMUSG00000039798	2600006K01Rik	lncRNA	1	1	Spleen	1
Female	ENSMUSG00000040705	A930016O22Rik	lncRNA	1	1	Lung	0.8827348295047496
Female	ENSMUSG00000040775	Gm9772	processed_pseudogene	-1	1	Spleen	-1
Female	ENSMUSG00000041789	2700046A07Rik	lncRNA	1	1	Brain	0.8783100656536801
Female	ENSMUSG00000042549	Map2k3os	lncRNA	-1	2	Lung, WBC	-0.8170151967733756
Female	ENSMUSG00000043168	4930426D05Rik	lncRNA	-1	2	Marrow, Spleen	-0.9183300132670378
Female	ENSMUSG00000043192	Gpi-ps	processed_pseudogene	1	1	Skin	0.9121593238215746
Female	ENSMUSG00000043488	Frmd8os	lncRNA	-1	1	Brown_adipose	-0.8827348295047496
Female	ENSMUSG00000043770	Gm12481	processed_pseudogene	-1	1	Lung	-0.9710083124552245
Female	ENSMUSG00000043770	Gm12481	processed_pseudogene	1	1	Small_intestine	0.7319250547113999
Female	ENSMUSG00000043773	1700048O20Rik	lncRNA	1	1	Spleen	1
Female	ENSMUSG00000043794	D830025C05Rik	lncRNA	-1	1	Brown_adipose	-0.8827348295047496
Female	ENSMUSG00000043794	D830025C05Rik	lncRNA	1	2	Limb_muscle, Spleen	0.8903600291794134
Female	ENSMUSG00000043801	Oaz1-ps	processed_pseudogene	-1	1	Mesenteric_adipose	-0.7319250547113999
Female	ENSMUSG00000043801	Oaz1-ps	processed_pseudogene	1	2	Kidney, Spleen	0.9038227040178937
Female	ENSMUSG00000043833	2900005J15Rik	lncRNA	-1	1	Small_intestine	-0.7319250547113999
Female	ENSMUSG00000043833	2900005J15Rik	lncRNA	1	1	Mesenteric_adipose	0.7319250547113999
Female	ENSMUSG00000043889	Gm8399	processed_pseudogene	-1	1	Skin	-0.8827348295047496
Female	ENSMUSG00000044068	Zrsr1	transcribed_processed_pseudogene	1	1	WBC	0.8783100656536801
Female	ENSMUSG00000044081	Zfp85os	lncRNA	1	1	Marrow	0.9561828874675149
Female	ENSMUSG00000044285	Ubb-ps	transcribed_processed_pseudogene	1	1	Kidney	0.8443565629465051
Female	ENSMUSG00000044522	A730020M07Rik	lncRNA	-1	1	Lung	-0.8533103351879245
Female	ENSMUSG00000044867	Gimap1os	lncRNA	-1	1	Marrow	-0.9561828874675149
Female	ENSMUSG00000044867	Gimap1os	lncRNA	1	1	Pancreas	0.9177788727679403
Female	ENSMUSG00000045104	Ldhb-ps	processed_pseudogene	1	1	Lung	0.8827348295047496
Female	ENSMUSG00000045178	4933411O13Rik	lncRNA	1	1	Spleen	1
