Sex	gene_id	gene_name	gene_type	CorrDir	corrTissueN	corrTissues	medianEstimate
Male	ENSMUSG00000000031	H19	lncRNA	-1	3	Lung, Bone_marrow, Brown_Adipose	-0.620453387463585
Male	ENSMUSG00000000031	H19	lncRNA	1	1	Epididymal_WAT	0.5506523813739317
Male	ENSMUSG00000020812	Snhg16	lncRNA	-1	1	Gastric_muscle	-0.5041183773141628
Male	ENSMUSG00000020812	Snhg16	lncRNA	1	1	Heart	0.6980100608965332
Male	ENSMUSG00000020887	A230052G05Rik	TEC	-1	1	Inginal_WAT	-0.5351410466873421
Male	ENSMUSG00000021268	Meg3	lncRNA	-1	6	Gastric_muscle, Epididymal_WAT, Lung, Bone_marrow, Brown_Adipose, Hypothalamus	-0.7600553996428916
Male	ENSMUSG00000022543	Dnaaf8	transcribed_unitary_pseudogene	1	1	Brain	0.6049420527769954
Male	ENSMUSG00000022639	Dubr	lncRNA	-1	1	Brown_Adipose	-0.6980100608965332
Male	ENSMUSG00000022639	Dubr	lncRNA	1	2	Heart, Bone_marrow	0.5816750507471109
Male	ENSMUSG00000023795	Pisd-ps2	transcribed_unprocessed_pseudogene	1	2	Bone_marrow, Liver	0.5118740446574577
Male	ENSMUSG00000025450	Gm9752	lncRNA	-1	1	Brain	-0.7212770629264175
Male	ENSMUSG00000025644	Gm7628	lncRNA	-1	1	Hypothalamus	-0.5894307180904057
Male	ENSMUSG00000025783	4930412O13Rik	lncRNA	-1	1	Gastric_muscle	-0.4653400405976887
Male	ENSMUSG00000027694	Gm8325	transcribed_processed_pseudogene	1	1	Lung	0.5196297120007524
Male	ENSMUSG00000028009	1700061I17Rik	lncRNA	-1	1	Heart	-0.620453387463585
Male	ENSMUSG00000029092	D5Ertd615e	lncRNA	1	1	Gastric_muscle	0.5816750507471109
Male	ENSMUSG00000029360	Gm9754	lncRNA	-1	1	Hypothalamus	-0.45758437325439394
Male	ENSMUSG00000029360	Gm9754	lncRNA	1	3	Brain, Heart, Lung	0.5739193834038161
Male	ENSMUSG00000029633	Gm5578	processed_pseudogene	-1	1	Bone_marrow	-0.5816750507471109
Male	ENSMUSG00000029878	Dbpht2	lncRNA	-1	1	Kidney	-0.6126977201202902
Male	ENSMUSG00000030178	Klra13-ps	transcribed_unprocessed_pseudogene	1	1	Liver	0.5351410466873421
Male	ENSMUSG00000030623	Prss23os	lncRNA	1	2	Heart, Lung	0.6941322272248858
Male	ENSMUSG00000030664	Sox6os	lncRNA	-1	1	Bone_marrow	-0.5816750507471109
Male	ENSMUSG00000031294	D630029K05Rik	lncRNA	-1	1	Gastric_muscle	-0.7522997322995968
Male	ENSMUSG00000031736	Crnde	lncRNA	1	1	Heart	0.7988337363593656
Male	ENSMUSG00000034587	8430429K09Rik	lncRNA	-1	1	Bone_marrow	-0.49636270997086795
Male	ENSMUSG00000034587	8430429K09Rik	lncRNA	1	1	Inginal_WAT	0.620453387463585
Male	ENSMUSG00000034764	1700006J14Rik	lncRNA	-1	1	Bone_marrow	-0.45758437325439394
Male	ENSMUSG00000035983	Gm7008	lncRNA	-1	1	Gastric_muscle	-0.5739193834038161
Male	ENSMUSG00000035983	Gm7008	lncRNA	1	3	Brain, Lung, Brown_Adipose	0.6049420527769954
Male	ENSMUSG00000036162	Fam219aos	lncRNA	-1	1	Hypothalamus	-0.7212770629264175
Male	ENSMUSG00000036162	Fam219aos	lncRNA	1	1	Lung	0.7678110669861864
Male	ENSMUSG00000037735	2810032G03Rik	lncRNA	-1	1	Kidney	-0.5196297120007524
Male	ENSMUSG00000037735	2810032G03Rik	lncRNA	1	5	Heart, Lung, Bone_marrow, Brown_Adipose, Hypothalamus	0.7678110669861864
Male	ENSMUSG00000037982	Gm9725	lncRNA	-1	1	Bone_marrow	-0.45758437325439394
Male	ENSMUSG00000037982	Gm9725	lncRNA	1	1	Inginal_WAT	0.5428967140306369
Male	ENSMUSG00000038917	3930402G23Rik	lncRNA	1	1	Lung	0.5506523813739317
Male	ENSMUSG00000039563	2210406O10Rik	lncRNA	-1	2	Lung, Bone_marrow	-0.5661637160605213
Male	ENSMUSG00000039617	Gm7488	processed_pseudogene	-1	2	Bone_marrow, Liver	-0.47697354161263095
Male	ENSMUSG00000039798	2600006K01Rik	lncRNA	-1	1	Liver	-0.5273853793440473
Male	ENSMUSG00000040323	Gm15429	processed_pseudogene	-1	1	Heart	-0.5262059519453014
Male	ENSMUSG00000041878	8430432A02Rik	lncRNA	-1	1	Bone_marrow	-0.6669873915233538
Male	ENSMUSG00000042087	4933440N22Rik	TEC	-1	1	Gastric_muscle	-0.4653400405976887
Male	ENSMUSG00000042087	4933440N22Rik	TEC	1	2	Heart, Lung	0.6010642191053479
Male	ENSMUSG00000042549	Map2k3os	lncRNA	-1	1	Brown_Adipose	-0.5273853793440473
Male	ENSMUSG00000042579	4632404H12Rik	lncRNA	-1	2	Heart, Lung	-0.7018878945681806
Male	ENSMUSG00000042857	Gm9776	lncRNA	-1	1	Bone_marrow	-0.5196297120007524
Male	ENSMUSG00000042857	Gm9776	lncRNA	1	1	Epididymal_WAT	0.5196297120007524
Male	ENSMUSG00000042938	Gm14117	processed_pseudogene	-1	3	Lung, Bone_marrow, Brown_Adipose	-0.6227991553292185
Male	ENSMUSG00000042976	9930038B18Rik	lncRNA	-1	1	Bone_marrow	-0.5739193834038161
Male	ENSMUSG00000043126	D830039M14Rik	lncRNA	1	1	Epididymal_WAT	0.6669873915233538
Male	ENSMUSG00000043168	4930426D05Rik	lncRNA	-1	1	Gastric_muscle	-0.5428967140306369
Male	ENSMUSG00000043623	4933412A08Rik	pseudogene	-1	3	Heart, Lung, Bone_marrow	-0.6359647221501745
Male	ENSMUSG00000043644	0610009L18Rik	lncRNA	1	1	Lung	0.5894307180904057
Male	ENSMUSG00000043770	Gm12481	processed_pseudogene	-1	3	Epididymal_WAT, Hypothalamus, Liver	-0.5041183773141628
Male	ENSMUSG00000043773	1700048O20Rik	lncRNA	-1	3	Brain, Heart, Liver	-0.5971863854337005
Male	ENSMUSG00000043794	D830025C05Rik	lncRNA	-1	3	Brain, Heart, Bone_marrow	-0.5428967140306369
Male	ENSMUSG00000043801	Oaz1-ps	processed_pseudogene	-1	2	Heart, Liver	-0.5428967140306369
Male	ENSMUSG00000043801	Oaz1-ps	processed_pseudogene	1	1	Hypothalamus	0.44982870591109914
Male	ENSMUSG00000043833	2900005J15Rik	lncRNA	1	3	Epididymal_WAT, Brown_Adipose, Hypothalamus	0.49636270997086795
Male	ENSMUSG00000043993	2900052L18Rik	lncRNA	-1	1	Bone_marrow	-0.5661637160605213
Male	ENSMUSG00000043993	2900052L18Rik	lncRNA	1	1	Brown_Adipose	0.4886070426275731
Male	ENSMUSG00000044068	Zrsr1	transcribed_processed_pseudogene	-1	1	Bone_marrow	-0.49636270997086795
Male	ENSMUSG00000044068	Zrsr1	transcribed_processed_pseudogene	1	3	Epididymal_WAT, Brown_Adipose, Kidney	0.5661637160605213
Male	ENSMUSG00000044081	Zfp85os	lncRNA	-1	1	Bone_marrow	-0.4653400405976887
Male	ENSMUSG00000044125	9530080O11Rik	lncRNA	1	1	Brown_Adipose	0.7755667343294812
Male	ENSMUSG00000044276	4933427E11Rik	lncRNA	1	1	Gastric_muscle	0.4886070426275731
Male	ENSMUSG00000044285	Ubb-ps	transcribed_processed_pseudogene	-1	3	Epididymal_WAT, Bone_marrow, Hypothalamus	-0.5196297120007524
Male	ENSMUSG00000044285	Ubb-ps	transcribed_processed_pseudogene	1	2	Heart, Brown_Adipose	0.5351410466873421
Male	ENSMUSG00000044306	4930500M09Rik	lncRNA	1	1	Kidney	0.5816750507471109
Male	ENSMUSG00000044471	Lncpint	lncRNA	-1	1	Hypothalamus	-0.44982870591109914
Male	ENSMUSG00000044471	Lncpint	lncRNA	1	1	Lung	0.6049420527769954
Male	ENSMUSG00000044522	A730020M07Rik	lncRNA	-1	2	Heart, Hypothalamus	-0.5933085517620531
Male	ENSMUSG00000044633	B530045E10Rik	lncRNA	-1	1	Hypothalamus	-0.5894307180904057
Male	ENSMUSG00000044694	2010007H06Rik	lncRNA	-1	2	Heart, Bone_marrow	-0.6824987262099436
Male	ENSMUSG00000044867	Gimap1os	lncRNA	1	2	Bone_marrow, Liver	0.7135213955831228
Male	ENSMUSG00000045075	Gm9796	lncRNA	-1	1	Kidney	-0.5196297120007524
Male	ENSMUSG00000045075	Gm9796	lncRNA	1	3	Bone_marrow, Brown_Adipose, Inginal_WAT	0.5196297120007524
Male	ENSMUSG00000045231	BC106179	lncRNA	-1	1	Brain	-0.6669873915233538
Male	ENSMUSG00000045231	BC106179	lncRNA	1	3	Lung, Bone_marrow, Liver	0.6437203894934693
Male	ENSMUSG00000045327	6330549D23Rik	transcribed_processed_pseudogene	-1	1	Liver	-0.5041183773141628
Male	ENSMUSG00000045327	6330549D23Rik	transcribed_processed_pseudogene	1	2	Brain, Hypothalamus	0.5506523813739317
Male	ENSMUSG00000045464	2810002D19Rik	lncRNA	-1	1	Liver	-0.45758437325439394
Male	ENSMUSG00000045464	2810002D19Rik	lncRNA	1	1	Brain	0.7135213955831227
Male	ENSMUSG00000045709	Smkr-ps	transcribed_unitary_pseudogene	-1	1	Bone_marrow	-0.7367883976130072
Male	ENSMUSG00000045709	Smkr-ps	transcribed_unitary_pseudogene	1	1	Heart	0.44982870591109914
Male	ENSMUSG00000045746	B230317F23Rik	lncRNA	-1	1	Kidney	-0.5971863854337005
Male	ENSMUSG00000045813	Gm9801	lncRNA	-1	1	Inginal_WAT	-0.4653400405976887
Male	ENSMUSG00000046005	D830044D21Rik	lncRNA	1	1	Brain	0.5894307180904057
Male	ENSMUSG00000046415	B430212C06Rik	lncRNA	-1	2	Heart, Kidney	-0.5273853793440472
Male	ENSMUSG00000046415	B430212C06Rik	lncRNA	1	1	Brain	0.9243154084829346
Male	ENSMUSG00000046687	Gm5424	processed_pseudogene	-1	2	Brain, Gastric_muscle	-0.5002405436425155
Male	ENSMUSG00000046764	A530053G22Rik	lncRNA	-1	1	Bone_marrow	-0.7678110669861864
Male	ENSMUSG00000046764	A530053G22Rik	lncRNA	1	2	Kidney, Inginal_WAT	0.8848298854205232
Male	ENSMUSG00000047061	Gm9817	TEC	1	2	Heart, Lung	0.6747430588666486
Male	ENSMUSG00000048406	B330016D10Rik	pseudogene	-1	3	Lung, Bone_marrow, Hypothalamus	-0.5584080487172264
