TMS DirCorr	TMS InvCorr	Zhou InvCorr	Zhou DirCorr
Gm17167	Meg3	Gm49980	ENSMUSG00000121500
A530040E14Rik	B430010I23Rik	AI480526	Gm45351
ENSMUSG00000121478	Gm44597	NA	Gm10275
Gm16025	Oaz1-ps	NA	ENSMUSG00000121378
ENSMUSG00000121342	Malat1	NA	Gm20559
ENSMUSG00000121482	2810013P06Rik	NA	Gm37795
ENSMUSG00000121485	Ubb-ps	NA	ENSMUSG00000121382
Gvin-ps6	Rps4l	NA	Gm15500
Gvin-ps7	Gm9917	NA	Gas5
Gvin3	Gm43189	NA	1110046J04Rik
ENSMUSG00000121500	NA	NA	Malat1
Gm21860	NA	NA	NA
Ccl19-ps2	NA	NA	NA
AW112010	NA	NA	NA
Gm45351	NA	NA	NA
2410018L13Rik	NA	NA	NA
Trac	NA	NA	NA
Gm36816	NA	NA	NA
Gm38699	NA	NA	NA
1700030C10Rik	NA	NA	NA
Gm14421	NA	NA	NA
1700001L05Rik	NA	NA	NA
Gm12250	NA	NA	NA
Gm16001	NA	NA	NA
Gm26740	NA	NA	NA
A130071D04Rik	NA	NA	NA
