Kidney_Male.LAKI UP	Kidney_Male.LAKI DOWN	Kidney_Male.TMS UP	Kidney_Male.TMS DOWN	Kidney_Male.Zhou UP	Kidney_Male.Zhou DOWN	Liver_Male.LAKI UP	Liver_Male.LAKI DOWN	Liver_Male.TMS UP	Liver_Male.TMS DOWN	Liver_Male.Zhou UP	Liver_Male.Zhou DOWN	Heart_Male.LAKI UP	Heart_Male.LAKI DOWN	Heart_Male.TMS UP	Heart_Male.TMS DOWN	Heart_Male.Zhou UP	Heart_Male.Zhou DOWN	Small_intestine_Male.LAKI UP	Small_intestine_Male.LAKI DOWN	Small_intestine_Male.TMS UP	Small_intestine_Male.TMS DOWN	Small_intestine_Male.Zhou UP	Small_intestine_Male.Zhou DOWN	Kidney_Female.LAKI UP	Kidney_Female.LAKI DOWN	Kidney_Female.TMS UP	Kidney_Female.TMS DOWN	Kidney_Female.Zhou UP	Kidney_Female.Zhou DOWN	Liver_Female.LAKI UP	Liver_Female.LAKI DOWN	Liver_Female.TMS UP	Liver_Female.TMS DOWN	Liver_Female.Zhou UP	Liver_Female.Zhou DOWN	Heart_Female.LAKI UP	Heart_Female.LAKI DOWN	Heart_Female.TMS UP	Heart_Female.TMS DOWN	Heart_Female.Zhou UP	Heart_Female.Zhou DOWN	Small_intestine_Female.LAKI UP	Small_intestine_Female.LAKI DOWN	Small_intestine_Female.TMS UP	Small_intestine_Female.TMS DOWN	Small_intestine_Female.Zhou UP	Small_intestine_Female.Zhou DOWN
Lncpint	Ubb-ps	A530040E14Rik	Oaz1-ps	AI504432	Gm9796	Snhg16	C4a	Gm5422	Snhg16	Pisd-ps2	Gm7488	2900052L18Rik	Uckl1os	Gas5	4933434M16Rik	Snhg16	H19	2900052L18Rik	Rps4l	4632404H12Rik	3930402G23Rik	NA	NA	5330438D12Rik	Ubb-ps	Oaz1-ps	Rpl15-ps3	NA	NA	4632404H12Rik	C4a	Pisd-ps2	4931422A03Rik	NA	NA	H19	A930004D18Rik	Ubb-ps	Atcayos	NA	NA	2900052L18Rik	A530040E14Rik	Gm12481	Meg3	NA	NA
5330438D12Rik	Zeb2os	5031425E22Rik	Ubb-ps	Gvin-ps7	Gm10419	Dnaaf8	Gm10030	Gm5087	B330016D10Rik	Klra13-ps	Gm12481	Gm11696	D830039M14Rik	Gm7536	5530401A14Rik	Dubr	1700061I17Rik	Lncpint	Gm6658	Lncpint	Oaz1-ps	NA	NA	Gas5	Gm5069	Ubb-ps	Gm10275	NA	NA	2900052L18Rik	3930402G23Rik	1810013D15Rik	4632415L05Rik	NA	NA	Rpl31-ps8	AW112010	Gm12895	Nctc1	NA	NA	mt-Rnr1	AW112010	Gas5	Dnaaf8	NA	NA
Gas5	Gm5069	Gm13848	Gm10076	4930581F22Rik	6330403L08Rik	1810013D15Rik	BC023105	E230016K23Rik	2810025M15Rik	Gimap1os	1700048O20Rik	Reno1	Oaz1-ps	Rpl15-ps3	4930512B01Rik	Crnde	4632404H12Rik	Rps16-ps2	4933423P22Rik	Gm9826	2900005J15Rik	NA	NA	AI504432	Rpl28-ps1	Gm10244	Trbc1	NA	NA	Rpl28-ps1	BC023105	Gm7488	4930579K19Rik	NA	NA	C920021L13Rik	Gm20559	Gm3654	Ctcflos	NA	NA	2610005L07Rik	AI662270	Gvin-ps6	2900005J15Rik	NA	NA
Gm7536	AI504432	Gm16001	Gm10275	D730003I15Rik	Snhg15	4933440N22Rik	Sp3os	Gvin-ps6	Fbxl12os	BC106179	Oaz1-ps	Airn	Ubb-ps	Rpl31-ps8	Meg3	2810032G03Rik	1700048O20Rik	2510046G10Rik	Gm379	Gvin-ps6	Ubb-ps	NA	NA	Gm7536	Gvin-ps7	Gm10371	Trbc2	NA	NA	Rps16-ps2	B630019A10Rik	Rpsa-ps10	Gm12592	NA	NA	Gm5860	9330102E08Rik	Gm55594	Gm17334	NA	NA	Gm10557	Gm45351	A930005H10Rik	Gm15542	NA	NA
Rps16-ps2	Gvin-ps7	1110046J04Rik	Gm10371	4632427E13Rik	4930481A15Rik	4632404H12Rik	Zfp125	A930004D18Rik	Rps4l	F730043M19Rik	6330549D23Rik	C920021L13Rik	AW112010	Gm20634	4933402D24Rik	4933440N22Rik	D830025C05Rik	4930518I15Rik	Gm16793	Gvin-ps7	B230317F23Rik	NA	NA	Rps16-ps2	Gm20634	Cyp4b1-ps2	Trac	NA	NA	Gm17132	Gm20634	E230016K23Rik	A930004D18Rik	NA	NA	Gm12295	Gm20300	Gm47283	2310040G24Rik	NA	NA	Gm10602	Gm379	A730036I17Rik	Ino80dos	NA	NA
Gm10123	Gm20634	Gm13206	F930017D23Rik	Zfas1	4932441J04Rik	2900005J15Rik	Gm20634	9630013D21Rik	2510046G10Rik	Gm14964	2810002D19Rik	Mir22hg	4631405J19Rik	1110002L01Rik	4930555F03Rik	Ubb-ps	Oaz1-ps	Reno1	Gm28437	Zfp125	D930048N14Rik	NA	NA	Gm10123	Gvin3	Oip5os1	Gm15500	NA	NA	mt-Rnr2	Zxda	Gm9894	Gm9967	NA	NA	Atcayos	Gm10635	NA	Gm38226	NA	NA	AA386476	Gm16793	Rpl28-ps1	Firre	NA	NA
Sp3os	Gvin3	Etohd2	Trbc2	AW112010	Snhg6	2900052L18Rik	Gm15417	Pantr1	Gm10163	Kirrel3os	2810025M15Rik	Gm12295	Gm17546	Gm12895	4930510E17Rik	Lncpint	A730020M07Rik	1700001L05Rik	4732465J04Rik	A530040E14Rik	Gm7536	NA	NA	Sp3os	AW112010	Gm13206	Gm15501	NA	NA	2510046G10Rik	AW112010	Kirrel3os	BC043934	NA	NA	Gm12840	Gm36827	NA	ENSMUSG00000120878	NA	NA	Reno1	Gm7160	Rpl15-ps3	Gm15638	NA	NA
mt-Rnr1	Gm10642	AI480526	Trac	Gm17344	Gm10925	Lncpint	AW112010	Gvin-ps7	H3f3aos	A930012O16Rik	E230016K23Rik	Atcayos	Gm12250	Tpt1-ps3	Gm5422	F730043M19Rik	2010007H06Rik	Gm13375	Gm28438	AW112010	Cyp2d41-ps	NA	NA	mt-Rnr2	Trbc1	AI662270	Gm26740	NA	NA	Gm10275	Trbc1	Gm17494	C030014I23Rik	NA	NA	4933431K23Rik	Gm32113	NA	NA	NA	NA	1700001L05Rik	4732465J04Rik	Gvin-ps7	Gm15622	NA	NA
mt-Rnr2	AW112010	Gm26532	AW011738	AW011738	AI506816	B230317F23Rik	Mrpl23-ps1	Sp3os	Zfas1	Gm14461	Zeb2os	Gm12840	Foxo6os	Ino80dos	9230106D20Rik	Zeb2os	B430212C06Rik	Gm11400	Gm20559	1700001L05Rik	9630013D21Rik	NA	NA	Rpl31-ps8	Trbc2	Gm10177	Kcnq1ot1	NA	NA	Gm19680	AW011738	Gm10076	2610005L07Rik	NA	NA	4930481A15Rik	NA	NA	NA	NA	NA	C730034F03Rik	Ube2n-ps1	Sp3os	Gm5970	NA	NA
Rpl31-ps8	Trbc2	Gm37352	Cyp4b1-ps2	1110046J04Rik	Gm45552	B330016D10Rik	AW011738	Gm1976	Gm14207	4931415C17Rik	5330438D12Rik	4933431K23Rik	A730017L22Rik	C130046K22Rik	1700048O20Rik	Gas5	4732471J01Rik	Gm16344	Ube2n-ps1	Prox1os	Gm16551	NA	NA	Gm10275	F630028O10Rik	2310010J17Rik	C230085N15Rik	NA	NA	D730003I15Rik	Gm12250	BC002059	Gm10382	NA	NA	Gata6os	NA	NA	NA	NA	NA	Gm11400	Gm48885	Gm1976	9030622O22Rik	NA	NA
