Sex	Tissue	gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Chr	start	end	width	strand	gene_id.y	gene_type	gene_name	mgi_id
Female	Bone	ENSMUSG00000072692	37.898905954851145	7.503733849322118	1.5985622466427234	4.6940517112057085	2.6784627885277515e-6	0.017601518214810118	chr5	115240982	115248327	7346	-	ENSMUSG00000072692.8	transcribed_processed_pseudogene	Rpl37rt	MGI:3651519
Male	Bone	ENSMUSG00000089875	258.00020191256823	4.557558151476766	1.3773302872043283	3.308979838617785	9.363657968393078e-4	0.20683806353332865	chr13	59917311	59923221	5911	+	ENSMUSG00000089875.4	lncRNA	Etohd2	MGI:1261417
Male	Bone	ENSMUSG00000106037	14.915854166144767	3.341058104505857	1.0151690199181467	3.2911348149446558	9.978408009555014e-4	0.21457568583747103	chr3	119503165	119503510	346	+	ENSMUSG00000106037.2	processed_pseudogene	Gm4332	MGI:3782515
Male	Bone	ENSMUSG00000084910	26.277976520369176	2.543271541124866	0.8135389660244312	3.126182822628916	0.0017709142068144733	0.23277887210435305	chr4	72119481	72133589	14109	+	ENSMUSG00000084910.3	lncRNA	C630043F03Rik	MGI:1915535
Male	Bone	ENSMUSG00000057359	36.23602507337449	2.680869824136595	0.9092307158043157	2.9485033639289973	0.0031931666441911027	0.30526902915852966	chr3	122049607	122087369	37763	-	ENSMUSG00000057359.8	lncRNA	Gm17494	MGI:4937128
Male	Bone	ENSMUSG00000045464	18.883975947431065	2.0390790522577507	0.7658401946683091	2.6625385641202737	0.007755368240115848	0.4016159812759945	chr2	94236496	94253110	16615	+	ENSMUSG00000045464.7	lncRNA	2810002D19Rik	MGI:1913707
Female	Bone	ENSMUSG00000060419	26.93098500627931	7.966397017769912	2.4428367297038913	3.2611254452259524	0.0011097093419954215	0.6907603013939749	chr5	129205141	129205581	441	-	ENSMUSG00000060419.9	processed_pseudogene	Rps16-ps2	MGI:3704259
Female	Bone	ENSMUSG00000087412	52.134771294433094	3.621608342588883	1.1072915468383144	3.2706908608936636	0.0010728511904145273	0.6907603013939749	chr7	92828190	92833383	5194	-	ENSMUSG00000087412.6	transcribed_processed_pseudogene	Gm15501	MGI:3704296
Male	Bone	ENSMUSG00000108738	22.74001969168901	2.4828126487727897	1.3415176866843976	1.8507490981420736	0.06420565705208411	0.692894860946224	chr7	115933490	115937868	4379	+	ENSMUSG00000108738.2	lncRNA	Gm44777	MGI:5753353
Male	Bone	ENSMUSG00000097884	25.226909798263726	2.085630274042317	1.3735023260752068	1.518475967930845	0.12889445335945365	0.7763297133998368	chr10	49095518	49101749	6232	-	ENSMUSG00000097884.2	lncRNA	Gm26543	MGI:5477037
Female	Bone	ENSMUSG00000043770	16.59848821754177	2.044946248902406	1.7063358079780129	1.1984430258928005	0.2307445907575419	0.9999520394544122	chr4	43664043	43664339	297	+	ENSMUSG00000043770.11	processed_pseudogene	Gm12481	MGI:3650743
