group	seqnames	start	end	n_reads	strand	n_uniq	uniq_bridges	best_qual_left	best_qual_right	edits	anchor_overlap	breakpoints	signal	strandmatch	category	N	ID
79	chr1	5159232	5168356	175	+	124	20	40	35,37,4,40,5	0	0	1	GTAG	MATCH	ANCHOR_UNIQUE,CANONICAL,CIRCULAR,GOOD_EXT,OK_EXT,PERFECT_EXT,STRANDMATCH,UNAMBIGUOUS_BP	175	chr1:5159232-5168356
161	chr1	7190418	7190839	1052	+	678	48	40	40,5	0	0	1	GTAG	MATCH	ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,STRANDMATCH,UNAMBIGUOUS_BP	1052	chr1:7190418-7190839
534	chr1	13291531	13356249	241	-	173	12	40	35,36,37,4,40,5	0	0	1	GTAG	MISMATCH	ANCHOR_UNIQUE,CANONICAL,CIRCULAR,GOOD_EXT,OK_EXT,PERFECT_EXT,UNAMBIGUOUS_BP	241	chr1:13291531-13356249
610	chr1	13708455	13721108	296	-	197	15	40	4,40,5	0	0	1	GTAG	MISMATCH	ANCHOR_UNIQUE,CANONICAL,CIRCULAR,GOOD_EXT,PERFECT_EXT,UNAMBIGUOUS_BP	296	chr1:13708455-13721108
705	chr1	16510547	16556374	199	-	139	13	40	37,4,40,5	0	0	1	GTAG	MISMATCH	ANCHOR_UNIQUE,CANONICAL,CIRCULAR,OK_EXT,PERFECT_EXT,UNAMBIGUOUS_BP	199	chr1:16510547-16556374
707	chr1	16510547	16579632	286	-	207	14	40	40,5	0	0	1	GTAG	MISMATCH	ANCHOR_UNIQUE,CANONICAL,CIRCULAR,GOOD_EXT,OK_EXT,PERFECT_EXT,UNAMBIGUOUS_BP	286	chr1:16510547-16579632
714	chr1	16533259	16579632	142	-	107	11	40	37,40,5	0	0	1	GTAG	MISMATCH	ANCHOR_UNIQUE,CANONICAL,CIRCULAR,GOOD_EXT,PERFECT_EXT,UNAMBIGUOUS_BP	142	chr1:16533259-16579632
823	chr1	20268242	20293196	94	-	68	8	40	4,40,5	0	0	1	GTAG	MISMATCH	ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP	94	chr1:20268242-20293196
825	chr1	20268242	20309662	838	-	506	70	40	40,5	0	0	1	GTAG	MISMATCH	ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP	838	chr1:20268242-20309662
827	chr1	20268242	20358485	84	-	54	10	40	2,4,40,5	0	0	1	GTAG	MISMATCH	ANCHOR_UNIQUE,CANONICAL,CIRCULAR,GOOD_EXT,OK_EXT,PERFECT_EXT,UNAMBIGUOUS_BP	84	chr1:20268242-20358485
886	chr1	20417435	20434455	110	-	75	12	40	40,5	0	0	1	GTAG	MISMATCH	ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP	110	chr1:20417435-20434455
891	chr1	20417435	20451818	146	-	105	21	40	4,40,5	0	0	1	GTAG	MISMATCH	ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP	146	chr1:20417435-20451818
926	chr1	20444080	20447724	109	-	73	10	40	3,40,5	0	0	1	GTAG	MISMATCH	ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP	109	chr1:20444080-20447724
927	chr1	20444080	20451818	98	-	67	8	40	40,5	0	0	1	GTAG	MISMATCH	ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP	98	chr1:20444080-20451818
965	chr1	20573166	20579336	503	-	297	36	40	40,5	0	0	1	GTAG	MISMATCH	ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP	503	chr1:20573166-20579336
968	chr1	20573166	20594489	372	-	256	33	40	40,5	0	0	1	GTAG	MISMATCH	ANCHOR_UNIQUE,CANONICAL,CIRCULAR,PERFECT_EXT,UNAMBIGUOUS_BP	372	chr1:20573166-20594489
