gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	gene_type	tag	TargetScan_nseed	miRDB_score	miRDB_miRNA	microT_miRNA	microT_score	isTarget
ENSMUSG00000000001.5	330.1327548593256	0.0378301821043869	0.12277581527775902	0.30812405536711496	0.7579879375832119	0.9708935388165819	Gnai3	protein_coding	NA	NA	NA	NA	mmu-miR-29b-3p	0.821084176684987	TRUE
ENSMUSG00000000028.16	34.73080682580448	0.26652510781570765	0.41382122421716067	0.6440585746173412	0.5195374515803364	0.9190091638692243	Cdc45	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000031.18	179.85470669863244	-0.8235719545776393	0.2884251876197646	-2.855409270508535	0.004298140156970986	0.14714933746324363	H19	lncRNA	ncRNA_host	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000037.18	17.926934439363354	-0.3827615927682002	0.5968359339073851	-0.64131794187110025	0.5213161345540704	0.9190091638692243	Scml2	protein_coding	NA	1	NA	NA	NA	NA	TRUE
ENSMUSG00000000056.8	1621.7906278493144	0.6217947675393511	0.07354732694820725	8.454348966036864	2.806488053106305e-17	4.717355606265061e-14	Narf	protein_coding	NA	1	93.14518	mmu-miR-29a-3p, mmu-miR-29b-3p, mmu-miR-29c-3p	mmu-miR-29b-3p,mmu-miR-29c-3p,mmu-miR-29a-3p	0.996273210890373	TRUE
ENSMUSG00000000058.7	1150.8692144900092	0.022443802439229138	0.08412297768257848	0.2667975273523533	0.7896250581592588	0.9746471064437242	Cav2	protein_coding	NA	1	79.797	mmu-miR-29a-3p, mmu-miR-29b-3p, mmu-miR-29c-3p	mmu-miR-29b-3p,mmu-miR-29c-3p,mmu-miR-29a-3p	0.892641968971935	TRUE
ENSMUSG00000000078.8	913.5508670479063	0.42212125251187527	0.1563026146970282	2.700666609641183	0.006920066711358813	0.18723166412000394	Klf6	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000085.17	435.1283625886524	0.03566298743679552	0.14812528668076438	0.24076231841262474	0.8097393361541394	0.9758894764858096	Scmh1	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000088.8	7421.286800667237	-0.060882186169533926	0.06233376215691186	-0.9767128448989827	0.3287113342216797	0.8553594614082437	Cox5a	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000093.7	81.78115362227838	-0.08555386522094476	0.22605228130186053	-0.3784693732274252	0.7050819413284091	0.9618701115872075	Tbx2	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000126.12	49.41422196797088	-0.31904524328364536	0.264188796047117	-1.2076410811408709	0.22718535015380178	0.7911987765598592	Wnt9a	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000127.16	229.94582320298844	0.005878965706270089	0.13450793220698037	0.043707204547785	0.9651377963079448	0.9956630391553597	Fer	protein_coding	NA	1	90.89372	mmu-miR-29a-3p, mmu-miR-29b-3p, mmu-miR-29c-3p	mmu-miR-29a-3p,mmu-miR-29c-3p,mmu-miR-29b-3p	0.998280383252732	TRUE
ENSMUSG00000000131.16	524.762095557016	-0.2819639443542127	0.16960068574577294	-1.6625165347318782	0.09640925084932218	0.6091236181627979	Xpo6	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000134.18	188.32813021784182	0.1120464976284713	0.17256419992152378	0.6493032603484742	0.5161423788000412	0.9186671380719772	Tfe3	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000142.16	41.105649868288474	0.013647694525324439	0.373484391172864	0.036541539212565706	0.9708505573098067	0.995954769638015	Axin2	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000148.18	87.27072620695985	0.08395118544450753	0.19717630683277146	0.4257671055564903	0.6702775584645925	0.9542838109153093	Brat1	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000149.11	1140.8850435703434	0.012102675950107868	0.07767619917296893	0.15580932227589683	0.8761833222601676	0.9848731199893399	Gna12	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000168.11	4856.8205092712005	0.07907638481777594	0.06900633198966227	1.1459294029658358	0.2518243640495284	0.8150450251115691	Dlat	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000171.6	5973.227169708066	-0.04739907901153351	0.08508853265762181	-0.5570560160234204	0.5774891576583535	0.9347843208027257	Sdhd	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000183.7	20.824791252935093	1.2271715640309848	0.46308270053064315	2.65000519912486	0.008049053219886155	0.20258548394617382	Fgf6	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000184.13	1546.2330743041289	0.028179185623214264	0.12911138520452725	0.21825484699567896	0.82723055323559	0.9781671005570179	Ccnd2	protein_coding	NA	1	61.1958960913	mmu-miR-29a-3p, mmu-miR-29b-3p, mmu-miR-29c-3p	NA	NA	TRUE
ENSMUSG00000000194.14	428.79622382537525	-0.0027380663350205685	0.12166112306164806	-0.022505680254432118	0.9820445809609297	0.9983524443860678	Gpr107	protein_coding	ncRNA_host	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000197.9	17.097454267293838	-0.25668235188528365	0.46491937196711153	-0.552100788571661	0.5808793016875716	0.9348653035654101	Nalcn	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000253.14	1299.6796461149206	0.16345331761619236	0.11443851698040043	1.428306849206955	0.15320355729511734	0.7155707658726791	Gmpr	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000266.12	322.1904485400786	-0.1286519388124358	0.13666055198899824	-0.9413977694367344	0.34650105624897637	0.8642922840623233	Mid2	protein_coding	ncRNA_host	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000275.17	443.333729135218	0.056328777593644255	0.11408262219009592	0.49375423278563485	0.6214797590615887	0.9420925840205963	Trim25	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000276.12	304.8363621774976	-0.14785576261156844	0.15381608198715552	-0.9612503497775687	0.3364263057323797	0.8601631601744841	Dgke	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000278.11	158.81971535460423	-0.03397722998807112	0.15333702816408457	-0.2215852908777676	0.8246367340406198	0.9778594665670586	Scpep1	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000282.13	130.77441509299058	-0.05329502136325969	0.18526334132320738	-0.2876717054901977	0.773598050619448	0.9722425792692281	Mnt	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000290.14	84.80367455543737	-0.9505996863040921	0.3026037510766575	-3.1414008680390753	0.0016814171897496317	0.08631471685846301	Itgb2	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000295.14	29.313368076752226	-0.35154855302134497	0.3495319195002909	-1.0057695260677113	0.3145264495966149	0.8454693237430477	Hddc2	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000296.9	112.31166046831478	-0.04753927074776466	0.18851272658050494	-0.2521806968160469	0.8009013977184483	0.9757609512515553	Tpd52l1	protein_coding	overlapping_locus	NA	NA	NA	NA	NA	FALSE
