Tissue	circID	Cons_coords	type	gene_id	gene_type	gene_name	Change	circAtlas	circBase	circPedia	NtoolsDE	medianLFC	medianPadj	medianStat	LFC_lineal	padj_lineal	changeLineal	NtissuesDE	Tissues
Colon	cRNA_0029	chr13:41492053-41492496	FULLEX	ENSMUSG00000021365.16	protein_coding	Nedd9	UP	mmu-Nedd9_0001	NA	MMU_CIRCpedia_19616	4	1.5568919920631914	0.0119532600713964	3.907589394079917	-0.06658945576115129	0.8945521037204512	NS	4	Colon, Heart, Kidney, Muscle
Colon	cRNA_0078	chr12:82387436-82389273	FULLEX	ENSMUSG00000042700.17	protein_coding	Sipa1l1	UP	mmu-Sipa1l1_0031	mm9_circ_007155	MMU_CIRCpedia_31036	3	1.1770209467625192	4.1665058653521e-7	6.247032560206851	-0.17505228413465088	0.2713954563240973	NS	4	Colon, Ileon, Kidney, Liver
Colon	cRNA_0108	chr11:12293744-12328359	JNC-JNC	ENSMUSG00000020173.18	protein_coding	Cobl	UP	mmu-Cobl_0002	mm9_circ_018049	MMU_CIRCpedia_6080	3	1.5578995561305595	0.02982573332035606	3.269326427660758	1.2651852383048947	0.025263007497416765	UP	2	Colon, Ileon
Colon	cRNA_0155	chr10:12312025-12331308	JNC-JNC	ENSMUSG00000019820.12	protein_coding	Utrn	DOWN	mmu-Utrn_0025	mm9_circ_009056	MMU_CIRCpedia_6294	4	-1.5408878794692011	4.323194719103141e-4	-4.625180417130914	-0.03551670013976857	0.8994317800666511	NS	2	Colon, Ileon
Colon	cRNA_0234	chr16:13515197-13516939	JNC-JNC	ENSMUSG00000022684.16	protein_coding	Bfar	UP	mmu-Bfar_0002	mm9_circ_009604	MMU_CIRCpedia_8487	4	2.4506671573049443	9.410835159179563e-6	5.5136443837135065	-0.1551448051693402	0.37843553388848944	NS	5	Colon, Ileon, Kidney, Liver, Muscle
Colon	cRNA_0240	chr16:32770662-32782114	JNC-JNC	ENSMUSG00000022801.14	protein_coding	Lrch3	DOWN	mmu-Lrch3_0004	mm9_circ_007087	MMU_CIRCpedia_16720	3	-0.6405550514666389	0.00228965618107586	-4.1451088593693415	-0.3181963598931849	0.09069948956759158	DOWN	2	Colon, Liver
Colon	cRNA_0271	chr15:57915620-57918478	FULLEX	ENSMUSG00000022361.15	protein_coding	Zhx1	UP	mmu-Zhx1_0001	NA	MMU_CIRCpedia_24066	4	1.3187793479977226	0.03447863578301593	3.1658276783464316	0.19919483943514799	0.15445933434589273	NS	2	Colon, Kidney
Colon	cRNA_0284	chr15:99717375-99717839	FULLEX	ENSMUSG00000023022.15	protein_coding	Lima1	UP	mmu-Lima1_0005	NA	MMU_CIRCpedia_36195	3	1.244787134134467	0.02800346987129214	3.276575806704307	0.007547469626175388	0.9837690763220174	NS	1	Colon
Colon	cRNA_0285	chr15:99717375-99724718	JNC-JNC	ENSMUSG00000023022.15	protein_coding	Lima1	UP	mmu-Lima1_0003	NA	MMU_CIRCpedia_36196	3	1.0951122730931429	2.516143064238583e-4	4.755860534114692	0.007547469626175388	0.9837690763220174	NS	2	Colon, Ileon
Colon	cRNA_0299	chr14:34398911-34417062	JNC-JNC	ENSMUSG00000041408.19	protein_coding	Wapl	UP	mmu-Wapal_0026	NA	MMU_CIRCpedia_17425	4	1.6886793095591146	0.0238835977188311	3.381163058283365	0.2941419399045408	0.18475124718903296	NS	2	Colon, Liver
