ID	seqnames	end	start	jxntype	overlapL	overlapR	MedianAS	GenomicSize	SplicedSize	LeftBorder	RightBorder	LeftEnvelope	RightEnvelope	EnvelopingStrand	EnvelopingJxnType	Exons	ExonStarts	Exonsizes
chr1:155828900-155838306	chr1	155838306	155828900	1	2	2	297	9406	1019	8941	10288	.	.	.	.	5	0,5406,6565,7989,9320	614,161,113,45,86
chr11:8428225-8429665	chr11	8429665	8428225	2	2	2	298	1440	361	24974	12427	.	.	.	.	3	0,167,1279	81,119,161
chr11:98154296-98158684	chr11	98158684	98154296	2	0	2	297.75	4388	323	13369	9512	.	.	.	.	3	0,723,4281	101,115,107
chr12:108124013-108131431	chr12	108131431	108124013	2	0	2	297	7418	685	38589	2100	.	.	.	.	5	0,521,2478,5218,7308	257,74,150,94,110
chr12:52562862-52566750	chr12	52566750	52562862	2	1	2	296	3888	3888	4608	22521	.	.	.	.	1	0	3888
chr13:104020651-104025793	chr13	104025793	104020651	2	0	1	297	5142	365	4612	4131	.	.	.	.	3	0,1997,5094	118,199,48
chr13:35999892-36000558	chr13	36000558	35999892	2	3	2	296.75	666	666	25733	40087	.	.	.	.	1	0	666
chr15:82735714-82741485	chr15	82741485	82735714	2	1	1	296	5771	5771	26188	42217	.	.	.	.	1	0	5771
chr16:33241691-33255344	chr16	33255344	33241691	2	1	0	296.5	13653	568	20762	21901	.	.	.	.	3	0,5872,13304	82,137,349
chr17:26955763-26962105	chr17	26962105	26955763	2	0	3	296	6342	1412	20960	14673	26934749	26976778	1	1	3	0,2753,5252	195,127,1090
chr17:26958517-26962105	chr17	26962105	26958517	2	0	2	296	3588	1216	2559	14673	.	.	.	.	2	0,2498	126,1090
chr17:6187486-6189431	chr17	6189431	6187486	2	0	2	296	1945	1945	14866	37672	.	.	.	.	1	0	1945
chr18:35743924-35746555	chr18	35746555	35743924	2	2	1	297	2631	344	1197	2696	.	.	.	.	2	0,2451	164,180
chr18:35926518-35934420	chr18	35934420	35926518	2	1	0	300	7902	377	20863	4150	.	.	.	.	5	0,6375,6486,6644,7808	64,33,79,107,94
chr1:87291826-87307730	chr1	87307730	87291826	2	1	3	296	15904	497	9617	9129	.	.	.	.	5	0,1079,9892,14867,15863	130,97,116,113,41
chr18:75247861-75259990	chr18	75259990	75247861	2	0	2	297	12129	700	32282	23761	.	.	.	.	5	0,4320,8667,10633,12034	183,180,127,115,95
chr19:4842426-4844037	chr19	4844037	4842426	2	2	2	296	1611	617	2087	7541	.	.	.	.	2	0,1417	423,194
chr2:139884014-139899419	chr2	139899419	139884014	1	2	2	297	15405	351	11230	8987	.	.	.	.	3	0,6147,15192	69,69,213
chr2:25855675-25856960	chr2	25856960	25855675	2	0	2	297	1285	425	9335	15833	.	.	.	.	2	0,1022	162,263
chr2:34322015-34334418	chr2	34334418	34322015	2	3	2	297	12403	568	2376	34288	.	.	.	.	3	0,3129,12254	328,91,149
chr2:92044394-92061069	chr2	92061069	92044394	2	1	3	299	16675	399	627	89504	.	.	.	.	5	0,1414,7422,14399,16609	41,113,145,34,66
chr3:135361261-135375100	chr3	135375100	135361261	2	3	0	300	13839	329	28756	21783	.	.	.	.	5	0,3527,7414,12252,13769	99,39,80,41,70
chr3:51215471-51233456	chr3	51233456	51215471	1	2	0	295.5	17985	485	8164	14378	.	.	.	.	3	0,15171,17897	166,231,88
chr4:130445465-130446662	chr4	130446662	130445465	2	0	0	297	1197	288	17043	8646	.	.	.	.	2	0,1018	109,179
chr4:34839332-34839986	chr4	34839986	34839332	2	0	2	299	654	371	12436	7824	.	.	.	.	3	0,236,499	136,80,155
chr4:59514274-59524476	chr4	59524476	59514274	1	0	0	297	10202	400	12799	21672	.	.	.	.	3	0,3311,10120	147,171,82
chr4:9583812-9610938	chr4	9610938	9583812	1	3	1	300	27126	535	6838	13421	.	.	.	.	9	0,10850,11564,14456,17494,18656,20703,23984,27030	45,37,40,34,58,34,115,76,96
chr5:106765937-106767508	chr5	106767508	106765937	2	0	0	297	1571	461	.	15188	.	.	.	.	2	0,1468	358,103
chr5:3797021-3822787	chr5	3822787	3797021	1	1	0	296.25	25766	875	12836	22641	.	.	.	.	4	0,8572,22407,25495	118,184,302,271
chr5:65723332-65751891	chr5	65751891	65723332	2	0	1	298	28559	468	28442	326	.	.	.	.	5	0,5542,15396,25886,28430	94,60,84,101,129
chr6:52596962-52607334	chr6	52607334	52596962	2	0	1	297	10372	394	62064	9811	.	.	.	.	3	0,2873,10211	122,111,161
chr6:8537817-8582790	chr6	8582790	8537817	2	0	2	297	44973	720	17715	8754	.	.	.	.	5	0,20682,35367,41769,44762	152,88,115,154,211
chr7:120647061-120656622	chr7	120656622	120647061	2	0	1	297	9561	587	462	1681	.	.	.	.	3	0,4248,9376	191,211,185
