Sex	circID	Cons_coords	type	gene_id	gene_type	gene_name	Change	circAtlas	circBase	circPedia	NtissuesDE	Tissues	medianLFC	medianPadj
Female	cRNA_0021	chr13:17937689-17947542	JNC-JNC	ENSMUSG00000041297.9	protein_coding	Cdk13	UP	mmu-Cdk13_0012	mm9_circ_016768	MMU_CIRCpedia_12127	1	Kidney	1.2953489169028294	0.02365863751360565
Female	cRNA_0044	chr13:101893834-101894547	FULLEX	ENSMUSG00000041417.16	protein_coding	Pik3r1	UP	mmu-Pik3r1_0005	NA	MMU_CIRCpedia_568	1	Muscle	1.7339688919372218	0.02904644271899555
Female	cRNA_0103	chr11:6143154-6143476	FULLEX	ENSMUSG00000053838.15	protein_coding	Nudcd3	UP	mmu-Nudcd3_0002	mm9_circ_005786	MMU_CIRCpedia_25157	1	Kidney	1.3771384338471147	0.0256896870984959
Female	cRNA_0108	chr11:12293744-12328359	JNC-JNC	ENSMUSG00000020173.18	protein_coding	Cobl	UP	mmu-Cobl_0002	mm9_circ_018049	MMU_CIRCpedia_6080	1	Ileon	5.264687404424573	5.1171036015611624e-5
Female	cRNA_0125	chr11:68720741-68736250	JNC-JNC	ENSMUSG00000018736.15	protein_coding	Ndel1	UP	mmu-Ndel1_0012	NA	MMU_CIRCpedia_27059	1	Kidney	1.8618577076392777	0.001972813430819445
Female	cRNA_0127	chr11:70765572-70775794	JNC-JNC	ENSMUSG00000020817.17	protein_coding	Rabep1	DOWN	mmu-Rabep1_0026	mm9_circ_001848	MMU_CIRCpedia_27619	1	Liver	-1.3039895384430764	0.015058284247826416
Female	cRNA_0128	chr11:70765572-70777997	JNC-JNC	ENSMUSG00000020817.17	protein_coding	Rabep1	DOWN	mmu-Rabep1_0027	mm9_circ_001327	MMU_CIRCpedia_27620	1	Liver	-1.215725159010685	0.01142566503510861
Female	cRNA_0195	chr17:26958517-26962105	JNC-JNC	ENSMUSG00000048249.15	protein_coding	Crebrf	UP	mmu-Crebrf_0009	mm9_circ_004122	MMU_CIRCpedia_14835	1	Liver	1.4603102003435922	0.008342299949562725
Female	cRNA_0225	chr17:81955238-81957067	FULLEX	ENSMUSG00000054640.16	protein_coding	Slc8a1	DOWN	mmu-intergenic_000192,mmu-intergenic_023916	mm9_circ_014302	MMU_CIRCpedia_30902	1	Kidney	-1.3110399226030731	8.712223503469799e-28
Female	cRNA_0234	chr16:13515197-13516939	JNC-JNC	ENSMUSG00000022684.16	protein_coding	Bfar	UP	mmu-Bfar_0002	mm9_circ_009604	MMU_CIRCpedia_8487	4	Colon, Ileon, Kidney, Liver	2.567516790327317	0.002862763612008695
Female	cRNA_0262	chr15:4076947-4089478	JNC-JNC	ENSMUSG00000022186.15	protein_coding	Oxct1	UP	mmu-Oxct1_0001	mm9_circ_000453	MMU_CIRCpedia_19364	1	Kidney	1.5971116902192788	5.995453682852199e-4
Female	cRNA_0277	chr15:82735714-82741485	FULLEX	ENSMUSG00000041852.16	protein_coding	Tcf20	DOWN	mmu-Tcf20_0003,mmu-Tcf20_0032	mm9_circ_001424	MMU_CIRCpedia_31130	1	Heart	-2.16768235107575	0.00571106206997578
Female	cRNA_0300	chr14:34413639-34417062	JNC-JNC	ENSMUSG00000041408.19	protein_coding	Wapl	UP	mmu-Wapal_0027	mm9_circ_002816	MMU_CIRCpedia_17430	1	Kidney	0.7838499418039845	0.03197934475994027
