circID	Cons_coords	seqnames	start	end	width	Ntools	CIRI2	Terrace	circExplorer2	find_circ	starchip
cRNA_0001	chrX:23622679-23628599	chrX	23622679	23628599	5921	3	chrX:23622679-23628599	NA	chrX:23622679-23628599	NA	chrX:23622679-23628599
cRNA_0002	chrX:47280098-47283597	chrX	47280098	47283597	3500	3	chrX:47280098-47283597	NA	chrX:47280098-47283597	NA	chrX:47280098-47283597
cRNA_0003	chrX:59349585-59366913	chrX	59349585	59366913	17329	4	chrX:59349585-59366913	NA	chrX:59349585-59366913	chrX:59349585-59366913	chrX:59349585-59366913
cRNA_0004	chrX:82921653-82930839	chrX	82921653	82930839	9187	4	chrX:82921653-82930839	NA	chrX:82921653-82930839	chrX:82921653-82930839	chrX:82921653-82930839
cRNA_0005	chrX:83315558-83356232	chrX	83315558	83356232	40675	3	chrX:83315558-83356232	NA	chrX:83315558-83356232	NA	chrX:83315558-83356232
cRNA_0006	chrX:84192736-84234308	chrX	84192736	84234308	41573	3	chrX:84192736-84234308	NA	chrX:84192736-84234308	NA	chrX:84192736-84234308
cRNA_0007	chrX:84789831-84805013	chrX	84789831	84805013	15183	3	chrX:84789831-84805013	NA	chrX:84789831-84805013	NA	chrX:84789831-84805013
cRNA_0008	chrX:84797938-84805013	chrX	84797938	84805013	7076	3	chrX:84797938-84805013	NA	chrX:84797938-84805013	NA	chrX:84797938-84805013
cRNA_0009	chrX:93141889-93145986	chrX	93141889	93145986	4098	2	NA	NA	chrX:93141889-93145986	NA	chrX:93141889-93145986
cRNA_0010	chrX:93141889-93157869	chrX	93141889	93157869	15981	4	chrX:93141889-93157869	NA	chrX:93141889-93157869	chrX:93141889-93157869	chrX:93141889-93157869
cRNA_0011	chrX:95541454-95574031	chrX	95541454	95574031	32578	4	chrX:95541454-95574031	NA	chrX:95541454-95574031	chrX:95541454-95574031	chrX:95541454-95574031
