ID	Tube_1	Tube_10	Tube_100	Tube_101	Tube_102	Tube_103	Tube_104	Tube_105	Tube_106	Tube_107	Tube_108	Tube_109	Tube_11	Tube_110	Tube_111	Tube_112	Tube_113	Tube_114	Tube_12	Tube_13	Tube_14	Tube_15	Tube_16	Tube_17	Tube_18	Tube_19	Tube_2	Tube_20	Tube_21	Tube_22	Tube_23	Tube_24	Tube_25	Tube_26	Tube_27	Tube_28	Tube_29	Tube_3	Tube_30	Tube_31	Tube_32	Tube_33	Tube_34	Tube_35	Tube_36	Tube_37	Tube_38	Tube_39	Tube_4	Tube_40	Tube_41	Tube_42	Tube_43	Tube_44	Tube_45	Tube_46	Tube_47	Tube_48	Tube_49	Tube_5	Tube_50	Tube_51	Tube_52	Tube_53	Tube_54	Tube_55	Tube_56	Tube_57	Tube_58	Tube_59	Tube_6	Tube_60	Tube_61	Tube_62	Tube_63	Tube_64	Tube_65	Tube_66	Tube_67	Tube_68	Tube_69	Tube_7	Tube_70	Tube_71	Tube_72	Tube_73	Tube_74	Tube_75	Tube_76	Tube_77	Tube_78	Tube_79	Tube_8	Tube_80	Tube_81	Tube_82	Tube_83	Tube_84	Tube_85	Tube_86	Tube_87	Tube_88	Tube_89	Tube_9	Tube_90	Tube_91	Tube_92	Tube_93	Tube_94	Tube_95	Tube_96	Tube_97	Tube_98	Tube_99
JH584304.1:25369-59773	153	56	162	24	8	11	17	18	15	26	20	0	61	21	0	10	22	12	30	0	62	45	33	41	24	78	36	140	52	50	20	45	47	108	56	85	57	35	30	74	22	17	41	52	41	17	38	45	80	37	55	30	29	28	77	55	68	90	22	58	31	80	0	0	16	24	35	14	13	55	115	28	30	27	13	33	44	45	54	45	30	96	23	22	16	12	9	25	15	6	13	22	73	19	68	33	37	0	40	20	71	74	18	57	82	69	47	18	87	53	56	44	53	97
JH584304.1:25369-60857	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	8	0	0	0	0	0	2	12	0	0	7	0	0	0	8	16	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	4	2	0	0	0	6
chr10:102972968-102982154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7	11	0	3	16	3	3	0	0	7	3	4	7	21	9	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:105249078-105249648	0	0	0	5	0	0	0	0	0	0	3	0	4	0	0	5	2	4	2	2	0	0	0	0	0	0	2	0	0	0	5	0	3	8	4	0	0	7	0	2	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	5	0	3	0	0	0	2	0	8	5	4	0	0	0	0	0
chr10:10658303-10812322	0	0	0	2	0	9	12	8	12	3	6	0	0	5	7	2	4	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:106859515-106889377	0	0	0	0	0	3	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	3	4	0	11	0	4	0	6	5	0	0	0	3	0	3	13	4	2	8	0	4	0	7	0	0	10	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	4	10	4	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:106881074-106889377	0	0	0	3	0	0	5	3	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	6	6	3	0	0	4	3	0	5	3	5	0	3	0	0	0	8	17	7	0	13	6	13	3	7	4	0	24	2	2	0	4	2	0	0	0	5	0	0	0	2	0	0	0	3	0	0	0	0	0	5	2	10	7	4	2	16	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
chr10:106881074-106920812	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	2	3	16	0	8	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	4	7	5	8	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:108075966-108078991	0	0	0	4	8	11	9	10	10	3	10	3	7	3	0	10	8	4	10	4	4	0	8	4	0	4	0	9	0	0	0	8	0	5	7	0	2	13	8	4	5	0	0	0	2	0	4	0	0	0	0	2	0	5	5	4	5	3	2	4	3	3	0	0	4	2	0	10	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	3	5	0	0	6	0	12	4	0	3	0	0	0	7	0	3	7	8	2	0	0	0	0
chr10:108075966-108086869	0	0	0	2	4	0	3	5	4	0	6	0	4	0	0	0	0	8	4	7	0	0	3	4	0	3	7	0	6	2	10	14	2	8	5	0	5	4	2	0	0	4	2	9	5	0	0	0	2	4	3	0	0	0	0	0	0	2	0	0	7	4	4	3	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	4	7	6	2	0	0	0	5	3	0	0	0	9
chr10:108075966-108089356	0	2	0	6	8	0	9	0	12	6	5	3	2	0	4	0	0	0	2	0	0	2	3	0	0	0	0	0	0	6	3	3	8	4	6	0	0	5	8	5	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	4	3	2	2	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	2	0	3	2	4	0	0	0	8	0	3	0	2	3	0	0	0	0	2	6
chr10:108085296-108096897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	7	2	4	11	5	10	11	6	0	7	18	6	9	20	12	5	8	5	12	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:108104433-108110049	3	7	5	32	28	15	18	31	11	5	20	9	9	14	24	15	17	16	21	7	12	0	22	10	12	12	17	13	19	7	6	11	8	29	10	10	14	15	11	13	10	11	7	11	7	3	4	6	3	8	22	5	11	0	5	16	11	4	14	10	19	9	20	17	9	14	9	13	10	9	11	22	2	3	0	0	2	0	5	5	6	10	3	0	8	4	2	4	6	2	3	4	7	6	7	4	8	17	7	4	13	8	6	15	11	16	10	14	28	0	10	8	2	0
chr10:115242258-115242803	0	4	0	0	0	3	0	3	0	0	6	4	0	0	0	4	0	0	0	0	0	0	7	0	0	4	0	0	3	6	4	6	0	7	6	3	0	4	7	0	6	0	0	0	0	5	5	0	5	0	4	0	0	4	3	0	0	0	0	2	0	2	0	0	0	0	0	0	4	0	6	3	0	2	0	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	3	7	5	0	2	0	0	0	0	7	8	0	2	0	0	0	0	2
