ID	Tube_100	Tube_101	Tube_102	Tube_103	Tube_104	Tube_105	Tube_106	Tube_107	Tube_108	Tube_109	Tube_10	Tube_110	Tube_111	Tube_112	Tube_113	Tube_114	Tube_11	Tube_12	Tube_13	Tube_14	Tube_15	Tube_16	Tube_17	Tube_18	Tube_19	Tube_1	Tube_20	Tube_21	Tube_22	Tube_23	Tube_24	Tube_25	Tube_26	Tube_27	Tube_28	Tube_29	Tube_2	Tube_30	Tube_31	Tube_32	Tube_33	Tube_34	Tube_35	Tube_36	Tube_37	Tube_38	Tube_39	Tube_3	Tube_40	Tube_41	Tube_42	Tube_43	Tube_44	Tube_45	Tube_46	Tube_47	Tube_48	Tube_49	Tube_4	Tube_50	Tube_51	Tube_52	Tube_53	Tube_54	Tube_55	Tube_56	Tube_57	Tube_58	Tube_59	Tube_5	Tube_60	Tube_61	Tube_62	Tube_63	Tube_64	Tube_65	Tube_66	Tube_67	Tube_68	Tube_69	Tube_6	Tube_70	Tube_71	Tube_72	Tube_73	Tube_74	Tube_75	Tube_76	Tube_77	Tube_78	Tube_79	Tube_7	Tube_80	Tube_81	Tube_82	Tube_83	Tube_84	Tube_85	Tube_86	Tube_87	Tube_88	Tube_89	Tube_8	Tube_90	Tube_91	Tube_92	Tube_93	Tube_94	Tube_95	Tube_96	Tube_97	Tube_98	Tube_99	Tube_9
chr1:155828900-155838306	10	9	7	14	12	13	18	11	7	9	8	5	10	10	11	18	12	24	11	6	20	25	15	9	14	4	8	27	31	40	50	32	37	42	20	25	4	30	36	33	26	25	22	23	16	23	16	17	17	17	10	10	11	2	7	8	11	13	7	16	3	8	1	6	3	2	4	2	13	12	10	21	4	7	7	11	5	6	9	10	18	10	6	7	8	7	13	1	6	6	4	13	16	11	16	10	15	18	4	7	12	13	17	24	14	15	14	4	19	11	7	5	12	8
chr11:8428225-8429665	20	5	5	9	16	3	6	13	13	8	12	7	10	3	13	16	37	35	25	16	27	30	21	34	29	3	6	62	42	65	111	50	76	102	57	33	18	75	81	58	73	48	127	81	56	35	25	45	29	13	4	11	5	3	10	6	1	8	11	10	8	4	8	11	6	3	8	3	7	25	1	7	8	2	8	6	3	2	5	5	33	1	4	5	9	10	7	9	7	7	8	13	3	30	21	45	10	44	21	25	38	14	29	15	20	36	11	35	13	24	9	11	26	9
chr11:98154296-98158684	6	35	36	25	43	54	28	23	39	18	12	23	30	33	39	51	21	13	17	10	10	25	18	12	18	5	7	19	25	38	33	14	18	34	17	12	8	22	21	31	22	20	24	29	20	17	7	20	16	19	4	9	16	10	14	21	11	13	8	11	3	14	26	23	9	16	11	9	13	12	18	25	12	16	8	6	3	6	13	14	19	5	20	10	19	16	14	12	15	7	20	5	27	6	18	13	8	11	5	13	11	11	17	27	7	22	9	18	12	10	9	3	5	14
chr12:108124013-108131431	22	40	20	19	27	47	25	12	24	23	19	18	25	26	21	36	29	41	25	18	15	38	26	19	18	11	18	23	33	35	41	36	65	52	27	31	16	39	43	38	35	19	49	35	18	21	22	28	14	23	13	22	4	7	24	13	18	19	14	18	20	18	24	7	9	18	6	6	12	18	15	11	18	13	9	2	7	15	3	8	23	9	11	11	14	8	3	5	6	11	6	18	1	17	11	25	23	24	8	17	11	18	23	20	26	34	15	19	19	9	2	9	8	11
chr12:52562862-52566750	80	49	30	34	19	57	61	28	38	15	119	14	13	12	11	22	150	200	152	136	126	154	158	109	145	77	134	316	394	393	398	412	554	400	316	508	99	341	314	330	372	234	439	309	315	324	302	137	316	130	61	12	91	19	49	12	86	17	79	189	10	10	11	12	7	12	3	4	11	104	4	155	188	112	95	136	491	177	178	307	167	352	64	111	91	85	51	103	69	60	86	88	75	75	45	71	122	119	23	102	79	95	164	173	161	223	156	112	100	108	145	80	67	141
chr13:104020651-104025793	53	40	36	27	34	50	35	18	33	11	33	13	64	75	20	35	52	123	63	49	80	109	97	50	118	19	58	67	93	132	104	112	100	150	99	112	41	94	56	48	103	59	123	69	40	43	49	88	51	27	21	7	19	10	11	7	17	12	38	36	10	16	10	6	15	17	7	3	21	52	21	21	38	19	17	29	11	16	30	13	77	7	13	16	13	20	18	14	25	20	20	32	12	52	70	80	86	86	24	74	56	60	67	68	42	60	65	122	58	33	25	19	18	39
chr13:35999892-36000558	21	31	27	31	30	24	41	25	40	34	19	24	68	78	38	49	12	37	21	7	3	18	32	14	15	14	8	10	19	22	19	21	23	21	24	19	25	32	44	31	27	24	27	25	24	25	15	30	14	30	21	16	34	17	20	21	34	15	10	53	27	25	16	30	31	21	24	13	29	18	13	16	4	19	16	7	16	9	12	22	28	17	21	31	10	24	11	24	14	17	14	13	25	26	11	16	22	20	3	10	25	13	24	23	25	17	23	21	18	8	17	6	16	13
chr15:82735714-82741485	35	25	8	10	9	1	16	10	11	28	22	31	33	36	35	32	52	54	44	35	11	39	65	33	23	21	28	83	91	70	101	106	65	115	118	87	24	70	96	117	127	66	118	93	105	86	76	41	127	19	14	9	32	11	10	10	28	9	26	47	36	29	23	31	24	16	25	20	13	23	22	9	21	24	9	16	11	16	14	11	27	36	31	18	24	18	11	10	25	10	14	17	10	43	27	68	41	49	3	51	34	15	49	19	33	75	23	38	22	19	27	21	17	16
chr16:33241691-33255344	11	40	36	23	28	20	22	14	20	13	14	13	32	34	40	20	25	33	34	6	16	27	19	16	27	8	20	13	38	57	46	61	39	61	25	55	20	49	50	46	40	13	54	41	35	27	16	22	24	16	5	6	13	8	2	8	20	15	13	12	18	21	17	20	17	11	6	5	13	14	17	22	6	12	12	14	11	22	11	14	16	17	15	17	17	14	9	11	16	18	26	12	14	11	23	17	5	25	5	23	21	13	15	15	22	18	7	16	12	10	7	9	3	15
chr17:26955763-26962105	3	29	33	23	39	34	32	16	32	15	3	15	34	35	26	17	26	33	27	11	14	32	23	18	20	9	22	35	34	60	54	53	55	52	36	35	25	49	56	47	64	39	50	21	46	30	32	21	33	29	8	13	29	22	20	18	29	18	24	25	26	23	20	30	26	35	19	18	29	20	23	10	17	7	7	7	3	13	5	9	10	10	4	4	15	6	7	9	11	9	4	11	13	10	14	20	19	19	1	17	20	6	13	22	15	37	9	17	20	10	7	6	8	16
