circID	seqnames	start	end	width	type	gene_id	strand	SameGflag	OverGflag	OverGeneID	OverGeneName
cRNA_0001	chrX	23622679	23628599	5921	JNC-JNC	ENSMUSG00000036769.15	+	TRUE	1	NA	NA
cRNA_0002	chrX	47280098	47283597	3500	JNC-JNC	ENSMUSG00000036985.13	-	TRUE	1	NA	NA
cRNA_0003	chrX	59349585	59366913	17329	JNC-JNC	ENSMUSG00000062949.14	-	TRUE	1	NA	NA
cRNA_0004	chrX	82921653	82930839	9187	JNC-JNC	ENSMUSG00000045103.20	+	TRUE	1	NA	NA
cRNA_0005	chrX	83315558	83356232	40675	JNC-JNC	ENSMUSG00000045103.20	+	TRUE	1	NA	NA
cRNA_0006	chrX	84192736	84234308	41573	JNC-JNC	ENSMUSG00000045103.20	+	TRUE	1	NA	NA
cRNA_0007	chrX	84789831	84805013	15183	JNC-JNC	ENSMUSG00000025059.17	-	TRUE	1	NA	NA
cRNA_0008	chrX	84797938	84805013	7076	JNC-JNC	ENSMUSG00000025059.17	-	TRUE	1	NA	NA
cRNA_0009	chrX	93141889	93145986	4098	JNC-JNC	ENSMUSG00000079509.11	-	TRUE	1	NA	NA
cRNA_0010	chrX	93141889	93157869	15981	JNC-JNC	ENSMUSG00000079509.11	-	TRUE	1	NA	NA
cRNA_0011	chrX	95541454	95574031	32578	JNC-JNC	ENSMUSG00000031209.15	+	TRUE	1	NA	NA
cRNA_0012	chrX	133162326	133168310	5985	JNC-JNC	ENSMUSG00000067369.13	-	TRUE	1	NA	NA
cRNA_0013	chrX	141535036	141617389	82354	JNC-JNC	ENSMUSG00000047045.18	+	TRUE	1	NA	NA
cRNA_0014	chrX	141615497	141617389	1893	JNC-JNC	ENSMUSG00000047045.18	+	TRUE	1	NA	NA
cRNA_0015	chrX	150618220	150626151	7932	JNC-JNC	ENSMUSG00000025261.19	+	TRUE	1	NA	NA
cRNA_0016	chrX	151036420	151036857	438	JNC-JNC	ENSMUSG00000025332.15	+	TRUE	1	NA	NA
cRNA_0017	chr13	11695852	11702899	7048	JNC-JNC	ENSMUSG00000021313.17	-	TRUE	1	NA	NA
cRNA_0018	chr13	11784738	11800027	15290	JNC-JNC	ENSMUSG00000021313.17	-	TRUE	1	NA	NA
cRNA_0019	chr13	12469616	12474197	4582	JNC-JNC	ENSMUSG00000057554.14	-	TRUE	1	NA	NA
cRNA_0020	chr13	17924842	17947542	22701	JNC-JNC	ENSMUSG00000041297.9	-	TRUE	1	NA	NA
cRNA_0021	chr13	17937689	17947542	9854	JNC-JNC	ENSMUSG00000041297.9	-	TRUE	1	NA	NA
cRNA_0022	chr13	18994602	18998463	3862	JNC-JNC	ENSMUSG00000041236.9	+	TRUE	1	NA	NA
cRNA_0023	chr13	24248560	24278553	29994	JNC-JNC	ENSMUSG00000021338.18	-	TRUE	1	NA	NA
cRNA_0024	chr13	32284340	32312082	27743	JNC-JNC	ENSMUSG00000038372.15	-	TRUE	1	NA	NA
cRNA_0025	chr13	35974084	36000558	26475	JNC-JNC	ENSMUSG00000059288.15	+	TRUE	1	NA	NA
cRNA_0026	chr13	35999892	36000558	667	FULLEX	ENSMUSG00000059288.15	+	TRUE	NA	NA	NA
cRNA_0027	chr13	36416105	36430477	14373	JNC-JNC	ENSMUSG00000021420.14	+	TRUE	1	NA	NA
cRNA_0028	chr13	38072847	38083763	10917	JNC-JNC	ENSMUSG00000039087.18	+	TRUE	1	NA	NA
cRNA_0029	chr13	41492053	41492496	444	FULLEX	ENSMUSG00000021365.16	-	TRUE	NA	NA	NA
