circID	Cons_coords	type	gene_id	gene_type	gene_name	Change	circAtlas	circBase	circPedia	NtissuesDE	Tissues	medianLFC	medianPadj	medianBMean
cRNA_0004	chrX:82921653-82930839	JNC-JNC	ENSMUSG00000045103.20	protein_coding	Dmd	UP	mmu-Dmd_0056	NA	MMU_CIRCpedia_31435	1	Heart	2.7790463051778813	0.00635468008192035	4.303858178924634
cRNA_0021	chr13:17937689-17947542	JNC-JNC	ENSMUSG00000041297.9	protein_coding	Cdk13	UP	mmu-Cdk13_0012	mm9_circ_016768	MMU_CIRCpedia_12127	2	Kidney, Liver	1.126702546744672	0.015611389919535755	7.910213951764883
cRNA_0026	chr13:35999892-36000558	FULLEX	ENSMUSG00000059288.15	protein_coding	Cdyl	DOWN	mmu-Cdyl_0006	mm9_circ_003780	MMU_CIRCpedia_17892	1	Kidney	-0.5971945452570806	0.03207400988016185	21.97021045829782
cRNA_0028	chr13:38072847-38083763	JNC-JNC	ENSMUSG00000039087.18	protein_coding	Rreb1	DOWN	mmu-Rreb1_0001	mm9_circ_011756	MMU_CIRCpedia_18690	1	Kidney	-0.8872855030246612	0.01584814446695376	17.60339236735904
cRNA_0029	chr13:41492053-41492496	FULLEX	ENSMUSG00000021365.16	protein_coding	Nedd9	UP	mmu-Nedd9_0001	NA	MMU_CIRCpedia_19616	3	Colon, Heart, Kidney	2.0985231029632274	0.019162944304092037	4.090864210236925
cRNA_0043	chr13:98402659-98409360	JNC-JNC	ENSMUSG00000021661.17	protein_coding	Ankra2	DOWN	mmu-Ankra2_0001	NA	MMU_CIRCpedia_35770	1	Muscle	-2.610151614400434	0.00233464334870749	3.818224176599098
cRNA_0044	chr13:101893834-101894547	FULLEX	ENSMUSG00000041417.16	protein_coding	Pik3r1	UP	mmu-Pik3r1_0005	NA	MMU_CIRCpedia_568	1	Muscle	1.867128229848443	0.0071070552695793945	7.010964495755189
cRNA_0046	chr13:104020651-104025793	JNC-JNC	ENSMUSG00000021709.15	protein_coding	Erbin	UP	mmu-Erbb2ip_0035	mm9_circ_013774	MMU_CIRCpedia_1069	1	Kidney	0.47569806160503736	0.0050385255500806	77.13900236065362
cRNA_0064	chr12:51702185-51708496	JNC-JNC	ENSMUSG00000020954.17	protein_coding	Strn3	UP	mmu-Strn3_0031	mm9_circ_004275	MMU_CIRCpedia_22143	1	Kidney	1.3295413029914476	0.01691345807915386	5.672910580255418
cRNA_0065	chr12:51806002-51807953	JNC-JNC	ENSMUSG00000035247.17	protein_coding	Hectd1	UP	mmu-Hectd1_0012	mm9_circ_002888	MMU_CIRCpedia_22183	1	Kidney	0.8865746719798797	0.005569609357488945	22.324036072749177
