circID	circAtlas	circBank	circBase	circPedia	Ntools
cRNA_0001	mmu-Wdr44_0013	mmu_Wdr44_0017000		MMU_CIRCpedia_13975	3
cRNA_0002	mmu-Zdhhc9_0001	mmu_Zdhhc9_0007000		MMU_CIRCpedia_21273	3
cRNA_0003	mmu-Atp11c_0019	mmu_Atp11c_0045000		MMU_CIRCpedia_24870	3
cRNA_0004	mmu-Dmd_0056	mmu_Dmd_0130000		MMU_CIRCpedia_31435	3
cRNA_0005	mmu-Dmd_0010	mmu_Dmd_0173000		MMU_CIRCpedia_31584	3
cRNA_0006	mmu-Dmd_0001	mmu_Dmd_0229000		MMU_CIRCpedia_31993	3
cRNA_0007	mmu-Gyk_0003	mmu_Gk_0030000		MMU_CIRCpedia_32144	3
cRNA_0008	mmu-Gyk_0007	mmu_Gk_0031000		MMU_CIRCpedia_32145	3
cRNA_0009	mmu-Zfx_0004	mmu_Zfx_0007000		MMU_CIRCpedia_34707	3
cRNA_0010	mmu-Zfx_0003	mmu_Zfx_0009000		MMU_CIRCpedia_34709	3
cRNA_0011	mmu-Heph_0006	mmu_Heph_0009000	mm9_circ_000211	MMU_CIRCpedia_35369	4
cRNA_0012	mmu-Trmt2b_0001	mmu_Trmt2b_0007000		MMU_CIRCpedia_8062	3
cRNA_0013	mmu-Tmem164_0009	mmu_Tmem164_0020000	mm9_circ_004752	MMU_CIRCpedia_9223	4
cRNA_0014		mmu_Tmem164_0036000	mm9_circ_014687	MMU_CIRCpedia_9253	3
cRNA_0015	mmu-Huwe1_0055	mmu_Huwe1_0026000	mm9_circ_016719	MMU_CIRCpedia_10255	4
cRNA_0016	mmu-Kdm5c_0015	mmu_Kdm5c_0022000		MMU_CIRCpedia_10337	3
cRNA_0017	mmu-Ryr2_0098	mmu_Ryr2_0149000		MMU_CIRCpedia_4152	3
cRNA_0018	mmu-Ryr2_0100	mmu_Ryr2_0261000		MMU_CIRCpedia_4325	3
cRNA_0019	mmu-Lgals8_0001	mmu_Lgals8_0016000		MMU_CIRCpedia_6338	3
cRNA_0020	mmu-Cdk13_0003	mmu_Cdk13_0030000	mm9_circ_005864	MMU_CIRCpedia_12122	4
cRNA_0021	mmu-Cdk13_0012	mmu_Cdk13_0041000	mm9_circ_016768	MMU_CIRCpedia_12127	4
cRNA_0022	mmu-Vps41_0007	mmu_Vps41_0030000	mm9_circ_008691	MMU_CIRCpedia_12569	4
cRNA_0023	mmu-Lrrc16a_0004	mmu_Carmil1_0028000		MMU_CIRCpedia_14034	3
cRNA_0024	mmu-Gmds_0005	mmu_Gmds_0012000		MMU_CIRCpedia_227979	3
cRNA_0025	mmu-Cdyl_0005	mmu_Cdyl_0006000		MMU_CIRCpedia_17876	3
cRNA_0026	mmu-Cdyl_0006	mmu_Cdyl_0008000	mm9_circ_003780	MMU_CIRCpedia_17892	4
cRNA_0027	mmu-Fars2_0001	mmu_Fars2_0032000	mm9_circ_012541	MMU_CIRCpedia_18072	4
cRNA_0028	mmu-Rreb1_0001	mmu_Rreb1_0008000	mm9_circ_011756	MMU_CIRCpedia_18690	4
cRNA_0029	mmu-Nedd9_0001	mmu_Nedd9_0005000		MMU_CIRCpedia_19616	3
cRNA_0030				MMU_CIRCpedia_20667	1
cRNA_0031	mmu-Fam120a_0006	mmu_Fam120a_0004000		MMU_CIRCpedia_21410	3
cRNA_0032	mmu-Cdhr2_0001	mmu_Cdhr2_0001000		MMU_CIRCpedia_40267	3
cRNA_0033	mmu-Nsd1_0028	mmu_Nsd1_0039000	mm9_circ_000476	MMU_CIRCpedia_23107	4
cRNA_0034	mmu-Nsd1_0026	mmu_Nsd1_0054000		MMU_CIRCpedia_23113	3
cRNA_0035	mmu-Klhl3_0001	mmu_Klhl3_0013000		MMU_CIRCpedia_24055	3
cRNA_0036	NA	NA	NA	NA	0
cRNA_0037	mmu-Agtpbp1_0001	mmu_Agtpbp1_0092000		MMU_CIRCpedia_24537	3
cRNA_0038	mmu-Ankrd32_0010	mmu_Slf1_0031000		MMU_CIRCpedia_29507	3
cRNA_0039	mmu-Tmem161b_0007	mmu_Tmem161b_0003000	mm9_circ_007721	MMU_CIRCpedia_31573	4
cRNA_0040	mmu-Homer1_0005	mmu_Homer1_0005000	mm9_circ_010239	MMU_CIRCpedia_34495	4
cRNA_0041	mmu-Scamp1_0001	mmu_Scamp1_0012000		MMU_CIRCpedia_34729	3
cRNA_0042	mmu-Ap3b1_0005	mmu_Ap3b1_0100000		MMU_CIRCpedia_34868	3
cRNA_0043	mmu-Ankra2_0001	mmu_Ankra2_0001000		MMU_CIRCpedia_35770	3
cRNA_0044	mmu-Pik3r1_0005	mmu_Pik3r1_0019000		MMU_CIRCpedia_568	3
cRNA_0045	mmu-Erbb2ip_0002	mmu_Erbin_0078000		MMU_CIRCpedia_1066	3
cRNA_0046	mmu-Erbb2ip_0035	mmu_Erbin_0089000	mm9_circ_013774	MMU_CIRCpedia_1069	4
cRNA_0047	mmu-Kif2a_0004	mmu_Kif2a_0039000		MMU_CIRCpedia_1967	3
cRNA_0048	mmu-Zswim6_0009	mmu_Zswim6_0011000	mm9_circ_010567	MMU_CIRCpedia_2159	4
cRNA_0049	mmu-Pde4d_0001	mmu_Pde4d_0085000		MMU_CIRCpedia_2649	3
