gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	gene_type	tag	TargetScan_nseed	miRDB_score	miRDB_miRNA	microT_miRNA	microT_score	isTarget
ENSMUSG00000000001.5	109.37374764925254	-0.38086315021603917	0.3382426512887791	-1.1260056907810607	0.260163110557612	0.7388142044221467	Gnai3	protein_coding	NA	NA	NA	NA	mmu-miR-29b-3p	0.821084176684987	TRUE
ENSMUSG00000000028.16	34.962767401798054	0.962334433994846	0.5299398956886722	1.8159312816866988	0.06938091404100565	0.5151532449078043	Cdc45	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000031.18	107.29270594848697	-0.38272378047060024	0.3789262637108671	-1.0100217829256375	0.31248485390981545	0.7827911599607296	H19	lncRNA	ncRNA_host	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000056.8	2648.062069447472	1.4302147382552814	0.27237834742957423	5.25083859180501	1.514083120160215e-7	3.674471015389516e-5	Narf	protein_coding	NA	1	93.14518	mmu-miR-29a-3p, mmu-miR-29b-3p, mmu-miR-29c-3p	mmu-miR-29b-3p,mmu-miR-29c-3p,mmu-miR-29a-3p	0.996273210890373	TRUE
ENSMUSG00000000058.7	90.7292964023042	-0.13411709764644317	0.4685850036814692	-0.2862172211930456	0.7747117546303094	0.9549233335448242	Cav2	protein_coding	NA	1	79.797	mmu-miR-29a-3p, mmu-miR-29b-3p, mmu-miR-29c-3p	mmu-miR-29b-3p,mmu-miR-29c-3p,mmu-miR-29a-3p	0.892641968971935	TRUE
ENSMUSG00000000078.8	600.632996454245	-0.2852171279377706	0.3440098761597855	-0.8290957548128447	0.407050225736763	0.8346773124238475	Klf6	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000085.17	641.5833151246351	-0.24840202391870972	0.2658422777932255	-0.9343962366735326	0.35009953828046775	0.8045751130210231	Scmh1	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000088.8	10060.221685849669	-0.6745851166753031	0.3212952416504587	-2.099580165613511	0.03576578906183749	0.3955826490003955	Cox5a	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000093.7	21.8437471944997	-0.8860065484402223	0.6422025348489431	-1.3796372645097486	0.16769835780014944	0.6642029964414397	Tbx2	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000126.12	110.27116185314468	0.3586579201284906	0.3647766584075414	0.9832260696017048	0.3254961868729006	0.7896569520528295	Wnt9a	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000127.16	217.60295495502334	0.1668860868019347	0.30368294737802615	0.5495405265353738	0.5826345605919212	0.8942873333750372	Fer	protein_coding	NA	1	90.89372	mmu-miR-29a-3p, mmu-miR-29b-3p, mmu-miR-29c-3p	mmu-miR-29a-3p,mmu-miR-29c-3p,mmu-miR-29b-3p	0.998280383252732	TRUE
ENSMUSG00000000131.16	619.8353335018385	-0.2593852814078073	0.3492698200278787	-0.7426501419077755	0.45769352264514157	0.8529058188295066	Xpo6	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000134.18	150.25367459089736	-0.08510107169295604	0.3718271996606123	-0.22887263699544466	0.8189679086206559	0.9632541608239287	Tfe3	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000142.16	45.683300405536116	0.603932675718929	0.5390633689783648	1.1203370706926437	0.2625701504681871	0.7405439137545958	Axin2	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000148.18	115.30808403850278	0.17918659536443315	0.33956956106252506	0.527687448791794	0.5977162860657439	0.9007944187525755	Brat1	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000149.11	2399.5397483861902	-0.04590901420789928	0.23174280414459905	-0.19810329980841057	0.8429642431258814	0.9701126863871582	Gna12	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
