Tissue	Sex	circID	Cons_coords	type	gene_id	gene_type	gene_name	Change	circAtlas	circBase	circPedia	NtoolsDE	medianLFC	medianPadj	medianStat	LFC_lineal	padj_lineal	changeLineal	NtissuesDE	Tissues
Colon	Female	cRNA_0155	chr10:12312025-12331308	JNC-JNC	ENSMUSG00000019820.12	protein_coding	Utrn	DOWN	mmu-Utrn_0025	mm9_circ_009056	MMU_CIRCpedia_6294	4	-1.7194229742118443	0.01072422670780959	-3.749787129108704	0.014683972541623633	0.9935122840632188	NS	1	Colon
Colon	Female	cRNA_0234	chr16:13515197-13516939	JNC-JNC	ENSMUSG00000022684.16	protein_coding	Bfar	UP	mmu-Bfar_0002	mm9_circ_009604	MMU_CIRCpedia_8487	4	2.3548566416845262	0.00710960975827796	3.9801984898538865	-0.17706049208181593	0.8541929497159868	NS	4	Colon, Ileon, Kidney, Liver
Colon	Female	cRNA_0645	chr3:122575216-122611716	JNC-JNC	ENSMUSG00000053965.11	protein_coding	Pde5a	UP	mmu-Pde5a_0007	mm9_circ_007474	MMU_CIRCpedia_5887	4	1.9755483043495736	4.845927170206945e-4	4.830212667163604	-0.09425835889282681	0.9622088635441903	NS	1	Colon
Colon	Female	cRNA_0819	chr9:65701904-65702777	FULLEX	ENSMUSG00000040524.10	protein_coding	Zfp609	UP	mmu-Zfp609_0001	mm9_circ_004501	MMU_CIRCpedia_26291	4	2.431316002847381	8.061271682786753e-4	4.749361604226731	0.2780821089850918	0.5900284801284066	NS	2	Colon, Kidney
Colon	Female	cRNA_0854	chr8:3308383-3308934	FULLEX	ENSMUSG00000005534.11	protein_coding	Insr	UP	mmu-Insr_0016	NA	MMU_CIRCpedia_16558	3	1.5766283123355342	0.04040081781421818	3.1859317428705594	0.0751234628189515	0.9648753765660579	NS	4	Colon, Ileon, Kidney, Muscle
Colon	Female	cRNA_0869	chr8:58036801-58037261	FULLEX	ENSMUSG00000031608.14	protein_coding	Galnt7	UP	mmu-Galnt7_0001	NA	MMU_CIRCpedia_23862	3	2.830687187430244	0.00980637117131312	3.697283002367029	-0.08407716782926551	0.9729811914462927	NS	1	Colon
Colon	Male	cRNA_0234	chr16:13515197-13516939	JNC-JNC	ENSMUSG00000022684.16	protein_coding	Bfar	UP	mmu-Bfar_0002	mm9_circ_009604	MMU_CIRCpedia_8487	4	3.695434327628041	0.00764439749857161	3.9970456584300593	-0.12517260500736113	0.7357338619251019	NS	2	Colon, Ileon
Colon	Male	cRNA_0643	chr3:122541538-122542126	FULLEX	ENSMUSG00000053965.11	protein_coding	Pde5a	UP	mmu-Pde5a_0009	mm9_circ_007906	MMU_CIRCpedia_5878	4	2.584401727331435	0.00487638253967244	4.168002778346089	0.2895064885637608	0.28887680432189217	NS	1	Colon
Heart	Female	cRNA_0277	chr15:82735714-82741485	FULLEX	ENSMUSG00000041852.16	protein_coding	Tcf20	DOWN	mmu-Tcf20_0003,mmu-Tcf20_0032	mm9_circ_001424	MMU_CIRCpedia_31130	3	-2.16768235107575	0.00571106206997578	-4.149655132688751	-0.47488280184555903	0.10167094407734463	NS	1	Heart
Heart	Female	cRNA_1788	chr2:76688248-76714541	JNC-JNC	ENSMUSG00000051747.16	protein_coding	Ttn	DOWN	mmu-Ttn_0119	NA	MMU_CIRCpedia_216831	3	-2.4886777357924164	0.00622645458787872	-4.14219143570191	-0.8161059543301491	0.24695691284083532	NS	1	Heart
Heart	Male	cRNA_0065	chr12:51806002-51807953	JNC-JNC	ENSMUSG00000035247.17	protein_coding	Hectd1	DOWN	mmu-Hectd1_0012	mm9_circ_002888	MMU_CIRCpedia_22183	3	-1.662123364609936	0.03173859153146434	-3.3066899847350504	0.40683460440187597	0.06764519464439042	UP	1	Heart
Heart	Male	cRNA_0262	chr15:4076947-4089478	JNC-JNC	ENSMUSG00000022186.15	protein_coding	Oxct1	UP	mmu-Oxct1_0001	mm9_circ_000453	MMU_CIRCpedia_19364	3	1.6144327551887137	0.00162659855840162	4.2727601728521245	-0.741907144789266	0.00829125258314239	DOWN	1	Heart
Heart	Male	cRNA_0447	chr6:47553470-47554601	JNC-JNC	ENSMUSG00000029687.17	protein_coding	Ezh2	DOWN	mmu-Ezh2_0018	mm9_circ_002148	MMU_CIRCpedia_21123	3	-3.181425774112399	8.524948176635955e-8	-6.2917521848737445	-0.9795008662848662	0.12453720304075723	NS	1	Heart
