gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	gene_type	tag	TargetScan_nseed	miRDB_score	miRDB_miRNA	microT_miRNA	microT_score	isTarget
ENSMUSG00000000001.5	1900.5551696192379	0.016405344990376682	0.07553348857717301	0.21719300007724712	0.8280579396183068	0.9643438955577541	Gnai3	protein_coding	NA	NA	NA	NA	mmu-miR-29b-3p	0.821084176684987	TRUE
ENSMUSG00000000028.16	24.840041936729076	0.03505378183636065	0.3406020926389096	0.10291710648273387	0.9180287607849241	0.9854040114410499	Cdc45	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000049.12	33864.06151192614	-0.45612130132568673	0.11747436047189914	-3.8827306613411596	1.0328995792362591e-4	0.004987481537195576	Apoh	protein_coding	overlapping_locus	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000056.8	1044.2684346881238	0.2236953725008134	0.09975551710031097	2.242436097803718	0.024933200988844818	0.24138459983783048	Narf	protein_coding	NA	1	93.14518	mmu-miR-29a-3p, mmu-miR-29b-3p, mmu-miR-29c-3p	mmu-miR-29b-3p,mmu-miR-29c-3p,mmu-miR-29a-3p	0.996273210890373	TRUE
ENSMUSG00000000058.7	94.207334684218	0.1078372547875489	0.1860591221211731	0.5795859593345747	0.5621938637339856	0.8865022203981763	Cav2	protein_coding	NA	1	79.797	mmu-miR-29a-3p, mmu-miR-29b-3p, mmu-miR-29c-3p	mmu-miR-29b-3p,mmu-miR-29c-3p,mmu-miR-29a-3p	0.892641968971935	TRUE
ENSMUSG00000000078.8	266.90607452552695	0.10792683936878059	0.21707313840309844	0.4971911318127424	0.6190542745433151	0.9039750632692696	Klf6	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000085.17	177.28335678659909	0.2997247630257849	0.16062392453451582	1.8660032364069044	0.062040912697609835	0.3879134126782957	Scmh1	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000088.8	2348.2863068187103	-0.08958120389094927	0.08167639102634382	-1.0967821027015732	0.2727366556733175	0.7027996228127256	Cox5a	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000093.7	65.87913736516461	0.18628549042018247	0.22146754849025702	0.8411412493166135	0.4002688089090305	0.8020048788477863	Tbx2	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000120.7	116.44597162453303	0.46710743971122654	0.21124933558760314	2.2111664323674116	0.027024313965242117	0.2503762380027224	Ngfr	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000126.12	16.31439266867691	0.22191521566903777	0.3839052061283961	0.5780469035755113	0.5632324531232319	0.8868039488338477	Wnt9a	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
ENSMUSG00000000127.16	168.2886544635422	0.2908293909002104	0.15075868588034075	1.9291053726154508	0.053717782162996996	0.36303337945467556	Fer	protein_coding	NA	1	90.89372	mmu-miR-29a-3p, mmu-miR-29b-3p, mmu-miR-29c-3p	mmu-miR-29a-3p,mmu-miR-29c-3p,mmu-miR-29b-3p	0.998280383252732	TRUE
ENSMUSG00000000131.16	832.0732079975016	0.022949109480394678	0.119321707267199	0.19232971104749927	0.847483946766686	0.9699654873085274	Xpo6	protein_coding	NA	NA	NA	NA	NA	NA	FALSE
