circID	seqnames	start	end	width	strand	type	gene_id	SameGflag	OverGflag	OverGeneID	OverGeneName	circAtlas	circBank	circBase	circPedia	Ntools
cRNA_0001	chrX	23622679	23628599	5921	+	JNC-JNC	ENSMUSG00000036769.15	TRUE	1	NA	NA	mmu-Wdr44_0013	mmu_Wdr44_0017000		MMU_CIRCpedia_13975	3
cRNA_0002	chrX	47280098	47283597	3500	-	JNC-JNC	ENSMUSG00000036985.13	TRUE	1	NA	NA	mmu-Zdhhc9_0001	mmu_Zdhhc9_0007000		MMU_CIRCpedia_21273	3
cRNA_0003	chrX	59349585	59366913	17329	-	JNC-JNC	ENSMUSG00000062949.14	TRUE	1	NA	NA	mmu-Atp11c_0019	mmu_Atp11c_0045000		MMU_CIRCpedia_24870	3
cRNA_0004	chrX	82921653	82930839	9187	+	JNC-JNC	ENSMUSG00000045103.20	TRUE	1	NA	NA	mmu-Dmd_0056	mmu_Dmd_0130000		MMU_CIRCpedia_31435	3
cRNA_0005	chrX	83315558	83356232	40675	+	JNC-JNC	ENSMUSG00000045103.20	TRUE	1	NA	NA	mmu-Dmd_0010	mmu_Dmd_0173000		MMU_CIRCpedia_31584	3
cRNA_0006	chrX	84192736	84234308	41573	+	JNC-JNC	ENSMUSG00000045103.20	TRUE	1	NA	NA	mmu-Dmd_0001	mmu_Dmd_0229000		MMU_CIRCpedia_31993	3
cRNA_0007	chrX	84789831	84805013	15183	-	JNC-JNC	ENSMUSG00000025059.17	TRUE	1	NA	NA	mmu-Gyk_0003	mmu_Gk_0030000		MMU_CIRCpedia_32144	3
cRNA_0008	chrX	84797938	84805013	7076	-	JNC-JNC	ENSMUSG00000025059.17	TRUE	1	NA	NA	mmu-Gyk_0007	mmu_Gk_0031000		MMU_CIRCpedia_32145	3
cRNA_0009	chrX	93141889	93145986	4098	-	JNC-JNC	ENSMUSG00000079509.11	TRUE	1	NA	NA	mmu-Zfx_0004	mmu_Zfx_0007000		MMU_CIRCpedia_34707	3
cRNA_0010	chrX	93141889	93157869	15981	-	JNC-JNC	ENSMUSG00000079509.11	TRUE	1	NA	NA	mmu-Zfx_0003	mmu_Zfx_0009000		MMU_CIRCpedia_34709	3
cRNA_0011	chrX	95541454	95574031	32578	+	JNC-JNC	ENSMUSG00000031209.15	TRUE	1	NA	NA	mmu-Heph_0006	mmu_Heph_0009000	mm9_circ_000211	MMU_CIRCpedia_35369	4
cRNA_0012	chrX	133162326	133168310	5985	-	JNC-JNC	ENSMUSG00000067369.13	TRUE	1	NA	NA	mmu-Trmt2b_0001	mmu_Trmt2b_0007000		MMU_CIRCpedia_8062	3
cRNA_0013	chrX	141535036	141617389	82354	+	JNC-JNC	ENSMUSG00000047045.18	TRUE	1	NA	NA	mmu-Tmem164_0009	mmu_Tmem164_0020000	mm9_circ_004752	MMU_CIRCpedia_9223	4
cRNA_0014	chrX	141615497	141617389	1893	+	JNC-JNC	ENSMUSG00000047045.18	TRUE	1	NA	NA		mmu_Tmem164_0036000	mm9_circ_014687	MMU_CIRCpedia_9253	3
cRNA_0015	chrX	150618220	150626151	7932	+	JNC-JNC	ENSMUSG00000025261.19	TRUE	1	NA	NA	mmu-Huwe1_0055	mmu_Huwe1_0026000	mm9_circ_016719	MMU_CIRCpedia_10255	4
cRNA_0016	chrX	151036420	151036857	438	+	JNC-JNC	ENSMUSG00000025332.15	TRUE	1	NA	NA	mmu-Kdm5c_0015	mmu_Kdm5c_0022000		MMU_CIRCpedia_10337	3
cRNA_0017	chr13	11695852	11702899	7048	-	JNC-JNC	ENSMUSG00000021313.17	TRUE	1	NA	NA	mmu-Ryr2_0098	mmu_Ryr2_0149000		MMU_CIRCpedia_4152	3
cRNA_0018	chr13	11784738	11800027	15290	-	JNC-JNC	ENSMUSG00000021313.17	TRUE	1	NA	NA	mmu-Ryr2_0100	mmu_Ryr2_0261000		MMU_CIRCpedia_4325	3
cRNA_0019	chr13	12469616	12474197	4582	-	JNC-JNC	ENSMUSG00000057554.14	TRUE	1	NA	NA	mmu-Lgals8_0001	mmu_Lgals8_0016000		MMU_CIRCpedia_6338	3
cRNA_0020	chr13	17924842	17947542	22701	-	JNC-JNC	ENSMUSG00000041297.9	TRUE	1	NA	NA	mmu-Cdk13_0003	mmu_Cdk13_0030000	mm9_circ_005864	MMU_CIRCpedia_12122	4
cRNA_0021	chr13	17937689	17947542	9854	-	JNC-JNC	ENSMUSG00000041297.9	TRUE	1	NA	NA	mmu-Cdk13_0012	mmu_Cdk13_0041000	mm9_circ_016768	MMU_CIRCpedia_12127	4
cRNA_0022	chr13	18994602	18998463	3862	+	JNC-JNC	ENSMUSG00000041236.9	TRUE	1	NA	NA	mmu-Vps41_0007	mmu_Vps41_0030000	mm9_circ_008691	MMU_CIRCpedia_12569	4
cRNA_0023	chr13	24248560	24278553	29994	-	JNC-JNC	ENSMUSG00000021338.18	TRUE	1	NA	NA	mmu-Lrrc16a_0004	mmu_Carmil1_0028000		MMU_CIRCpedia_14034	3
cRNA_0024	chr13	32284340	32312082	27743	-	JNC-JNC	ENSMUSG00000038372.15	TRUE	1	NA	NA	mmu-Gmds_0005	mmu_Gmds_0012000		MMU_CIRCpedia_227979	3
cRNA_0025	chr13	35974084	36000558	26475	+	JNC-JNC	ENSMUSG00000059288.15	TRUE	1	NA	NA	mmu-Cdyl_0005	mmu_Cdyl_0006000		MMU_CIRCpedia_17876	3
cRNA_0026	chr13	35999892	36000558	667	+	FULLEX	ENSMUSG00000059288.15	TRUE	NA	NA	NA	mmu-Cdyl_0006	mmu_Cdyl_0008000	mm9_circ_003780	MMU_CIRCpedia_17892	4
cRNA_0027	chr13	36416105	36430477	14373	+	JNC-JNC	ENSMUSG00000021420.14	TRUE	1	NA	NA	mmu-Fars2_0001	mmu_Fars2_0032000	mm9_circ_012541	MMU_CIRCpedia_18072	4
cRNA_0028	chr13	38072847	38083763	10917	+	JNC-JNC	ENSMUSG00000039087.18	TRUE	1	NA	NA	mmu-Rreb1_0001	mmu_Rreb1_0008000	mm9_circ_011756	MMU_CIRCpedia_18690	4
cRNA_0029	chr13	41492053	41492496	444	-	FULLEX	ENSMUSG00000021365.16	TRUE	NA	NA	NA	mmu-Nedd9_0001	mmu_Nedd9_0005000		MMU_CIRCpedia_19616	3
cRNA_0030	chr13	45888591	46110051	221461	-	JNC-JNC	ENSMUSG00000046876.17	TRUE	1	NA	NA				MMU_CIRCpedia_20667	1
cRNA_0031	chr13	49038749	49039354	606	-	JNC-JNC	ENSMUSG00000038014.8	TRUE	1	NA	NA	mmu-Fam120a_0006	mmu_Fam120a_0004000		MMU_CIRCpedia_21410	3
