UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	21
1	15
0	21
0	5
4	3
1	0
2	3
0	4
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	39
3	558
98	1056
38	121
0	714
21	78
8	467
0	173
3	0
6	0
1	890
1431	1353
3	901
0	305
4	244
14	780
0	563
20	120
3	568
96	1648
5	1632
0	55
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	594
8	995
7	130
3	680
1	71
0	16
3	812
1	249
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
28	0
0	0
0	0
0	14
0	44
16	872
0	8
0	1
0	296
0	772
0	72
0	357
0	0
2	130
3	3
0	24
1	91
8	5
0	128
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	87
0	0
0	0
0	0
0	0
0	0
533	2328
2	184
0	1
0	1537
0	416
1	89
3	2236
0	2144
0	0
7	0
1	4340
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	7
0	7
0	7
0	4
0	1
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	36
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
291	4
48	1585
66	1524
0	83
0	144
2	1260
5	2
1	2
1	0
1	2
0	2
3	1415
2	0
0	0
13	5
0	5
0	1
0	0
0	0
705	8
0	10
0	4
5	8
0	7
0	9
0	2
0	9
0	9
0	262
0	252
0	266
0	0
0	189
0	214
0	265
0	8
0	32
0	213
1	6
2	27
0	4
0	0
0	35
25	144
0	67
0	55
0	30
0	114
1	85
0	100
0	42
0	45
0	36
0	38
0	30
0	101
0	4
0	91
0	34
0	92
1	53
0	11
0	37
0	99
0	75
0	1
0	1
0	1
0	1
0	1
0	0
0	0
6	15
0	15
0	0
0	0
0	1
0	1
0	0
0	1
0	0
0	0
0	0
0	0
61	1164
0	450
3	631
0	324
14	692
1	157
1	168
0	0
0	2
62	258
4	20
0	20
0	42
0	6
0	38
2	37
0	15
0	41
0	15
0	12
1	212
0	6
19	7
0	19
4	6
3	13
0	9
0	0
0	2
0	63
2	4
2	12
0	3
0	38
0	0
891	792
0	99
0	137
1	47
0	6
0	496
0	7
0	46
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
