group	seqnames	start	end	strand	N	ID	Sample	Njunc
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_1_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_101_terrace.gtf	14
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_102_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_103_terrace.gtf	6
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_104_terrace.gtf	6
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_105_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_106_terrace.gtf	10
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_107_terrace.gtf	10
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_108_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_110_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_111_terrace.gtf	14
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_112_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_113_terrace.gtf	6
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_114_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_12_terrace.gtf	6
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_14_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_15_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_16_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_17_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_18_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_19_terrace.gtf	14
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_2_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_21_terrace.gtf	14
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_23_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_24_terrace.gtf	10
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_25_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_26_terrace.gtf	18
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_27_terrace.gtf	8
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_28_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_29_terrace.gtf	20
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_3_terrace.gtf	8
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_30_terrace.gtf	16
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_31_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_32_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_33_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_34_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_35_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_36_terrace.gtf	24
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_4_terrace.gtf	6
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_40_terrace.gtf	6
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_41_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_43_terrace.gtf	10
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_45_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_46_terrace.gtf	6
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_47_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_48_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_49_terrace.gtf	6
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_5_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_51_terrace.gtf	10
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_52_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_53_terrace.gtf	12
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_54_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_56_terrace.gtf	14
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_57_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_59_terrace.gtf	6
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_6_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_60_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_61_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_68_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_7_terrace.gtf	6
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_70_terrace.gtf	8
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_74_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_76_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_77_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_78_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_8_terrace.gtf	6
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_81_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_82_terrace.gtf	8
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_84_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_85_terrace.gtf	12
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_87_terrace.gtf	6
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_88_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_90_terrace.gtf	4
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_91_terrace.gtf	2
79	chr11	6143154	6143476	.	468	chr11:6143154-6143476	Tube_92_terrace.gtf	4
