TMS UP	TMS DOWN	ZHOU DOWN	ZHOU UP
Gm17167	Meg3	Gm49980	ENSMUSG00000121500
A530040E14Rik	B430010I23Rik	Gm43305	Gm45351
ENSMUSG00000121478	Gm44597	Rian	Gm10275
Gm16025	Oaz1-ps	Gm45909	ENSMUSG00000121378
ENSMUSG00000121342	Malat1	Meg3	Gm20559
ENSMUSG00000121482	BB365896	Gm45051	Gm14964
Gm47652	Gm10925	Gm42547	Gm37795
ENSMUSG00000121485	Gm28437	NA	ENSMUSG00000121382
Gvin-ps6	Gm20300	NA	AI504432
Gvin-ps7	Gm45470	NA	3222401L13Rik
Gvin3	NA	NA	Trbc1
ENSMUSG00000121500	NA	NA	F730043M19Rik
Gm21860	NA	NA	Gvin-ps7
Ccl19-ps2	NA	NA	AW112010
AW112010	NA	NA	Snhg15
Gm45351	NA	NA	Peg13
2410018L13Rik	NA	NA	Gm45104
Trac	NA	NA	ENSMUSG00000120996
Gm36816	NA	NA	Trac
Gm38699	NA	NA	Znf41-ps
Gm10451	NA	NA	AI662270
Gm15501	NA	NA	Gm7967
Gm15519	NA	NA	Trdc
Gm15987	NA	NA	Hmga2-ps1
Gm2619	NA	NA	Ccl19-ps2
2610016A17Rik	NA	NA	ENSMUSG00000121501
Gm20559	NA	NA	Trbc2
Gm5144	NA	NA	AU020206
AI662270	NA	NA	Gm47015
NA	NA	NA	Gm5641
