ID	Tube_1	Tube_10	Tube_100	Tube_101	Tube_102	Tube_103	Tube_104	Tube_105	Tube_106	Tube_107	Tube_108	Tube_109	Tube_11	Tube_110	Tube_111	Tube_112	Tube_113	Tube_114	Tube_12	Tube_13	Tube_14	Tube_15	Tube_16	Tube_17	Tube_18	Tube_19	Tube_2	Tube_20	Tube_21	Tube_22	Tube_23	Tube_24	Tube_25	Tube_26	Tube_27	Tube_28	Tube_29	Tube_3	Tube_30	Tube_31	Tube_32	Tube_33	Tube_34	Tube_35	Tube_36	Tube_37	Tube_38	Tube_39	Tube_4	Tube_40	Tube_41	Tube_42	Tube_43	Tube_44	Tube_45	Tube_46	Tube_47	Tube_48	Tube_49	Tube_5	Tube_50	Tube_51	Tube_52	Tube_53	Tube_54	Tube_55	Tube_56	Tube_57	Tube_58	Tube_59	Tube_6	Tube_60	Tube_61	Tube_62	Tube_63	Tube_64	Tube_65	Tube_66	Tube_67	Tube_68	Tube_69	Tube_7	Tube_70	Tube_71	Tube_72	Tube_73	Tube_74	Tube_75	Tube_76	Tube_77	Tube_78	Tube_79	Tube_8	Tube_80	Tube_81	Tube_82	Tube_83	Tube_84	Tube_85	Tube_86	Tube_87	Tube_88	Tube_89	Tube_9	Tube_90	Tube_91	Tube_92	Tube_93	Tube_94	Tube_95	Tube_96	Tube_97	Tube_98	Tube_99
chr1:5159232-5168356	0	1	1	1	1	0	1	1	5	0	1	2	0	0	3	0	2	2	1	0	4	0	0	4	1	1	0	1	2	1	6	10	1	21	10	1	9	1	3	1	0	2	1	1	5	7	1	3	0	0	7	0	0	0	3	1	0	1	4	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	4	0	0	2	0	0	0	2	0	3	1	0	3	2	2	1	2	3	2	2	1	0	0
chr1:7190418-7190839	6	3	1	4	19	6	22	12	16	4	3	1	1	3	4	7	3	4	0	0	0	3	0	0	3	2	5	1	20	10	17	9	14	25	24	3	27	4	15	1	2	3	2	6	6	3	1	0	2	1	32	29	36	11	36	33	31	27	56	0	24	19	17	14	21	16	33	19	9	34	12	11	10	12	15	2	23	11	11	9	9	6	11	0	4	3	7	1	2	11	12	3	2	4	4	3	4	2	7	1	5	2	1	0	0	0	0	4	1	2	0	0	0	0
chr1:13291531-13356249	2	1	0	5	2	10	4	12	1	0	6	2	2	0	2	1	3	3	3	3	0	0	1	2	1	3	0	1	0	3	6	5	2	6	5	6	4	2	0	6	3	9	2	4	2	0	1	2	3	1	2	0	2	2	2	0	0	0	0	1	2	2	0	0	1	3	3	1	0	0	4	0	3	3	2	1	0	0	1	1	1	4	1	3	3	4	1	2	3	0	2	1	2	0	0	1	3	0	1	3	3	0	4	0	5	1	4	3	2	2	3	0	0	1
chr1:13708455-13721108	0	0	0	1	3	2	2	2	0	2	4	3	2	0	5	8	3	1	0	0	0	0	0	1	0	0	0	1	3	15	6	14	9	7	10	6	4	0	10	6	5	8	4	8	6	6	4	4	1	7	3	5	1	0	2	0	3	4	4	0	0	0	0	0	1	1	1	0	0	3	0	8	8	2	7	5	5	1	6	3	2	0	1	0	3	3	2	2	4	4	3	0	4	3	0	0	1	1	1	0	0	2	2	0	1	0	0	1	0	0	0	0	0	0
chr1:16510547-16556374	2	1	0	1	5	1	0	13	2	1	2	2	0	0	2	4	2	7	4	3	1	3	1	0	0	2	0	0	0	3	4	2	4	7	3	2	0	1	1	2	7	6	1	2	2	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	5	6	3	1	3	5	0	3	0	0	2	0	1	0	0	0	0	0	1	4	0	0	0	1	1	2	0	0	0	1	3	0	1	6	1	0	2	0	3	0	1	8	0	1	2	6	3	2	3	3	2	1	0	1
chr1:16510547-16579632	1	0	1	8	5	0	3	10	2	5	4	0	1	4	6	6	5	6	5	1	0	0	0	0	0	0	0	1	7	14	13	14	7	6	12	7	3	1	2	11	6	9	9	9	5	6	4	3	1	2	4	0	0	2	0	1	1	1	1	2	5	0	1	0	0	3	0	0	0	0	5	0	0	0	0	4	0	0	2	3	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	1	0	1	2	6	1	0	2	0	0	0	2	2	1	0	0
chr1:16533259-16579632	0	0	2	4	6	1	0	4	3	0	1	0	0	1	8	2	2	0	0	3	3	0	2	0	0	0	0	0	2	2	9	2	1	9	4	0	11	0	5	2	4	1	2	5	5	2	1	2	0	1	0	1	0	0	0	0	0	1	1	0	0	0	0	2	2	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	6	0	0	1	0	0	1	0	0	1	3	1	0	0	0	0
chr1:20268242-20293196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	8	5	5	1	8	4	3	0	4	8	6	3	4	2	1	4	6	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1:20268242-20309662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	48	70	53	55	38	37	37	36	0	46	53	38	51	48	50	23	25	19	27	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	1	1	3	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1:20268242-20358485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	5	1	4	6	7	0	1	6	10	6	5	6	5	1	7	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
